# Zoldonrasib (RVMD).
# Zoldonrasib (RMC-9805) is Revolution Medicines' oral, covalent RAS(ON) G12D-selective tri-complex inhibitor, taken daily to progression. The modelled Phase 3 is RASolve 308 (NCT07777822, n=430, primary completion 2029-10): zoldonrasib or placebo added to pembrolizumab, pemetrexed and platinum in first-line metastatic non-squamous RAS G12D NSCLC, a design twin of SUNRAY-01 Part B in the olomorasib (LY3537982) seed. The pancreatic Phase 3s (RASolute 305, NCT07621718, primary completion 2028-12-30; RASolute 309, NCT07805954, 2029-03) read out first and address a larger population, but are not modelled: the book carries no pancreatic pool, and the Royalty Pharma royalty reaches zoldonrasib wherever its label sits inside a daraxonrasib one, which first-line PDAC would once RASolute 303 succeeds. Price: Lumakras at $98,285 per 2024 CMS Part D beneficiary, the anchor all three G12C seeds use; RVMD's own RASONQUE (daraxonrasib) WAC of $39,800 per 30 days is the case against. Uptake: the G12C seeds' 0.3387, 0.65 times the measured Lumakras plus Krazati class capture, a judgement. Ex-US: Lumakras's own filed split, 0.72.
# LOE: no molecule patent date is filed. Revolution's FY2025 10-K (0001193125-26-071563, patents section) gives only a 2031 to 2045 range across its tri-complex RAS portfolio, with no date for zoldonrasib, so the engine's default applies: 12 years from this launch year, 2043. No date is written here because none is filed.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from EXEL, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
RVMD,Zoldonrasib,,US,base,beta,,1.24,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (1.37 raw)",
RVMD,Zoldonrasib,,US,base,cogs_pct,,0.0351,,share of revenue,"comparator estimate: EXEL's row, because Exelixis is the book's oncology small-molecule company with its own filed FY2025 lines, selling oral targeted therapy through a specialty oncology salesforce as Revolution Medicines will; Revolution's RASONQUE was approved on 2026-08-26 and has no full quarter of sales to read a ratio from. RVMD has no full year of product revenue to read a ratio from. EXEL's source: EXEL FY2025, computed from the filed lines","a comparator, not a measurement; revisit when RVMD files a cost of sales"
RVMD,Zoldonrasib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
RVMD,Zoldonrasib,,US,base,debt_weight,,0.012082,,,"Revolution Medicines' 10-Q for the quarter to 2026-06-30 (0001193125-26-335104): $500.0mm of 0.50% convertible senior notes due 2033 issued 17 April 2026, and no amount drawn on the $750mm Royalty Pharma term loan facility; the liability for the sale of future royalties is left out, as it is for Alnylam; $500mm over debt plus market capitalisation: 214.3mm shares at the $190.74 close of 2026-09-23",a reading of the balance sheet
RVMD,Zoldonrasib,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
RVMD,Zoldonrasib,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: EXEL's row, because Exelixis is the book's oncology small-molecule company with its own filed FY2025 lines, selling oral targeted therapy through a specialty oncology salesforce as Revolution Medicines will; Revolution's RASONQUE was approved on 2026-08-26 and has no full quarter of sales to read a ratio from. RVMD has no full year of product revenue to read a ratio from. EXEL's source: derived: EXEL generated $1,840mm of free cash flow on $6,319mm of revenue over 2023, 2024 and 2025, a 29.12% margin, against the 25.1% its filed expense lines leave, so the charge rebuilds below nil (the house rebuild, charge_floor.measure: a 31.82% pre-tax margin on the filed lines against 38.67% the cash supports, -6.85%). Checked before interest: no interest paid on file for every year of the window, so the charge stands. Checked at replacement capex: no plant depreciation on file for every year, so the charge stands. Checked without one-off cash: no one-off cash stated for the window, so the charge stands. Restated without working capital build: the build over 2023 to 2025 is $89mm, 1.41% of revenue, which only widens the gap. Held at nil: no amortisation of acquired intangibles is on file for Exelixis, so nothing in its filed lines is non-cash enough to take the charge below nil","a comparator, not a measurement; revisit when RVMD files a cost of sales"
RVMD,Zoldonrasib,,US,base,rd_pct,,0.4198,,share of revenue,"comparator estimate: EXEL's row, because Exelixis is the book's oncology small-molecule company with its own filed FY2025 lines, selling oral targeted therapy through a specialty oncology salesforce as Revolution Medicines will; Revolution's RASONQUE was approved on 2026-08-26 and has no full quarter of sales to read a ratio from. RVMD has no full year of product revenue to read a ratio from. EXEL's source: EXEL FY2025, computed from the filed lines","a comparator, not a measurement; revisit when RVMD files a cost of sales"
RVMD,Zoldonrasib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
RVMD,Zoldonrasib,,US,base,sga_pct,,0.2269,,share of revenue,"comparator estimate: EXEL's row, because Exelixis is the book's oncology small-molecule company with its own filed FY2025 lines, selling oral targeted therapy through a specialty oncology salesforce as Revolution Medicines will; Revolution's RASONQUE was approved on 2026-08-26 and has no full quarter of sales to read a ratio from. RVMD has no full year of product revenue to read a ratio from. EXEL's source: EXEL FY2025, computed from the filed lines","a comparator, not a measurement; revisit when RVMD files a cost of sales"
RVMD,Zoldonrasib,,US,base,tax_rate,,0.2105,,effective rate,"comparator estimate: EXEL's row, because Exelixis is the book's oncology small-molecule company with its own filed FY2025 lines, selling oral targeted therapy through a specialty oncology salesforce as Revolution Medicines will; Revolution's RASONQUE was approved on 2026-08-26 and has no full quarter of sales to read a ratio from. RVMD has no full year of product revenue to read a ratio from. EXEL's source: aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as net income plus the tax charge","a comparator, not a measurement; revisit when RVMD files a cost of sales"
