# Zimislecel (VX-880): Vertex's allogeneic stem cell-derived islet cell therapy, infused once under standard immunosuppression, in its Phase 1/2/3 trial in type 1 diabetes with impaired hypoglycaemic awareness and severe hypoglycaemic events.
# Built on the US count of diagnosed type 1 diabetes narrowed to Vertex's own eligible share, priced at Casgevy's realised revenue per infusion, on Casgevy's fitted one-time uptake curve, billed once per patient through chronic mode, launching in 2029 off the trial record while Vertex's updated timelines are pending.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VRTX,VX-880,,US,base,therapy_mode,,,chronic,,"a single infusion billed once, run as chronic with every patient stopping inside the year (discontinuation 1.0 below), which the engine builds exactly as one_time: the year's new patients times the price","chosen over one_time because one_time needs a cost of goods per patient and no Vertex filing gives one, for zimislecel or for Casgevy: the FY2025 10-K (0000875320-26-000056) says only that the cost of manufacturing Casgevy as a percentage of revenue is significantly higher than for the CF medicines, and casgevy.csv's 0.75mm is its workbook's estimate. Cost of sales therefore rides as Vertex's filed share of revenue, as in mrk_intismeran_autogene.csv, which understates a cell therapy's. Vertex's Lonza-operated T1D plant in New Hampshire, leased from 2026 to ten years past its commercial approval (same 10-K), is a fixed cost this does not carry"
VRTX,VX-880,,US,base,discontinuation_pct,,1.0,,share stopping a year,"zimislecel is given once: all 12 full-dose participants in the Phase 1/2 portion received it as a single infusion (Vertex Q2 2025 results, 8-K 0000875320-25-000213), so each patient is billed once","nobody carries into the next year. A repeat infusion, which Lantidra's label allows up to twice, would add revenue this leaves out"
VRTX,VX-880,,US,base,net_price_per_patient,,1.809375,,mm USD per patient,"the price is Casgevy's realised revenue per infused patient: $115.8mm of FY2025 product revenue for 64 patients infused (Vertex FY2025 10-K, 0000875320-26-000056), with revenue recognised on infusion. Casgevy is the only one-time cell therapy Vertex prices and sells, through authorised treatment centres, and Vertex sets zimislecel the same aim, a potential one-time functional cure (8-K 0000875320-26-000256)","a comparator, not a price this product has. A realised net figure over Casgevy's global mix, so no gross-to-net is taken off it. The other documented price, Lantidra (donislecel), the one approved islet therapy for the same label population, is a wholesale acquisition cost of $300,000 an administration with up to three administrations (CMS FY2025 IPPS/LTCH PPS final rule, 89 FR 69173). It is not taken: Lantidra is deceased-donor islets from a single centre, whose cost analysis to CMS rested on two cases billed in 2022, so its price has not been tested at any scale. At that price revenue would be a sixth of this"
VRTX,VX-880,,US,base,forecast_start_year,,2029,,year,"from the trials table, because no current filing gives a timeline. Vertex last guided global submissions in 2026 in its Q2 2025 results (8-K 0000875320-25-000213); from the Q3 2025 10-Q (0000875320-25-000232) the filings drop that date, and the Q2 2026 10-Q (0000875320-26-000259) says only that Vertex expects to provide updated timelines in 2026. NCT04786262, the asset's Phase 3, has a primary completion of 2027-12-31, unchanged when the registry record was updated on 2026-09-01. Its primary outcome is insulin independence without severe hypoglycaemic events one year after independence is reached, the follow-up Vertex said it would file on (FY2024 10-K, 0000875320-25-000053), so a filing in 2028 and a first full year in 2029, the interval the book allows a primary completion late in 2027 (azn_volrustomig.csv, azn_puxitatug.csv)","the row most likely to move, and later rather than earlier: dosing was postponed for a manufacturing analysis in late 2025, resumed in 2026, and in August 2026 the trial was still enrolling and dosing, which leaves little room before the end of 2027. Move it when Vertex gives the updated timelines. NCT06832410, in people with a kidney transplant, completes earlier but sits on stray record 2906 and enrols a different population"
VRTX,VX-880,,US,base,economics_share,,1.0,,share of the asset,"Vertex FY2025 10-K (0000875320-26-000056): the T1D programme came from Vertex's acquisitions of Semma Therapeutics in 2019 and ViaCyte in 2022, both accounted for as business combinations, and the only contingent consideration Vertex carries at 2025 year-end is $678.3mm of milestones to the former holders of Exonics, a Duchenne muscular dystrophy programme","all of it. No royalty or milestone on zimislecel is disclosed. The CRISPR T1D Agreement's remaining milestones of up to $125mm and its royalties attach to the hypoimmune gene-edited cell therapies, not to zimislecel, which uses standard immunosuppression"
VRTX,VX-880,,US,base,pos,,0.524,,,"BIO, Informa and QLS, Clinical Development Success Rates 2011-2020, figure 5b: likelihood of approval from Phase III across all indications, 52.4% (n=3,381)","argued down from the 0.65 Phase 3 midpoint on Vertex's own filings. Vertex postponed completion of dosing pending an internal manufacturing analysis (Q3 2025 10-Q, 0000875320-25-000232), the analysis was still ongoing at the FY2025 10-K, and dosing resumed only once it was complete (Q1 2026 10-Q, 0000875320-26-000173). That is a risk to the filing the midpoint does not carry. Held at the base rate rather than below it: the Phase 1/2 portion met its primary endpoint, elimination of severe hypoglycaemic events with HbA1c under 7%, in all 12 full-dose participants (8-K 0000875320-25-000213), and Vertex cites positive regulatory interactions since (8-K 0000875320-26-000256)"
VRTX,VX-880,"Diabetes Mellitus, Type 1",US,base,prevalence,,2100000,,patients,"CDC National Diabetes Statistics Report, updated 2026-01-21: an estimated 2.1 million people with diagnosed type 1 diabetes in the US in 2023, 1.8 million adults 20 and over and 314,000 under 20","all diagnosed type 1 diabetes, the denominator Vertex states its eligible population against, so the narrowing sits in eligible_pct"
VRTX,VX-880,"Diabetes Mellitus, Type 1",US,base,eligible_pct,,0.01625,,share of the pool,"Vertex FY2025 10-K (0000875320-26-000056): approximately four million people diagnosed with T1D in the US and Europe, and approximately 65,000 people with high unmet need who experience severe hypoglycemic events expected to be eligible for zimislecel at initial launch. 65,000 over 4,000,000 is 1.625%","the population the trial enrols and a label would follow, not all type 1 diabetes: NCT04786262 takes adults 18 to 65 with type 1 diabetes, impaired hypoglycaemic awareness, at least five years of insulin dependence and at least two documented severe hypoglycaemic events in the prior 12 months, treated under standard immunosuppression. On the CDC count it is 34,125 US patients. Vertex's ratio covers the US and Europe together and is taken to hold for the US alone"
VRTX,VX-880,"Diabetes Mellitus, Type 1",US,base,incidence,,64000,,patients a year,"Rogers MAM, Kim C, Banerjee T, Lee JM, Fluctuations in the incidence of type 1 diabetes in the United States from 2001 to 2015, BMC Medicine 2017 (PMC5688827): about 64,000 new US cases of type 1 diabetes a year at ages 0 to 64, 27,000 in youth and 37,000 in adults","the engine filters this by the eligible share, about 1,040 a year. A steady-state proxy: people reach this population after years of insulin dependence (the trial requires five), not at diagnosis, and the identity has no mortality term, so the untreated pool grows across the window rather than holding"
VRTX,VX-880,"Diabetes Mellitus, Type 1",US,base,ramp_steepness,,1.2,,logistic k,"Casgevy's one-time curve as casgevy.csv carries it: a least-squares fit of the pool identity at k=1.2, a peak of 1.1% of the untreated pool a year, and half of that peak three years after the first launch year (midpoint 2027 on a 2024 start). Checked against what Vertex has since filed for Casgevy: 64 infusions in 2025 (FY2025 10-K, 0000875320-26-000056) are 0.11% of the more than 60,000 eligible patients Vertex names (8-K 0000875320-26-000034), against 0.09% on this curve in its second year; first-half 2026 revenue of $43mm and $76.4mm (10-Qs 0000875320-26-000173 and 0000875320-26-000259) is about 66 infusions at 2025's realised price, 0.22% of that pool annualised, against 0.25% in its third year","Vertex's own one-time curve, the only one this book holds for a cell therapy sold through treatment centres"
VRTX,VX-880,"Diabetes Mellitus, Type 1",US,base,ramp_midpoint_year,,3,,years from the forecast start,"Casgevy's one-time curve as casgevy.csv carries it: a least-squares fit of the pool identity at k=1.2, a peak of 1.1% of the untreated pool a year, and half of that peak three years after the first launch year (midpoint 2027 on a 2024 start). Checked against what Vertex has since filed for Casgevy: 64 infusions in 2025 (FY2025 10-K, 0000875320-26-000056) are 0.11% of the more than 60,000 eligible patients Vertex names (8-K 0000875320-26-000034), against 0.09% on this curve in its second year; first-half 2026 revenue of $43mm and $76.4mm (10-Qs 0000875320-26-000173 and 0000875320-26-000259) is about 66 infusions at 2025's realised price, 0.22% of that pool annualised, against 0.25% in its third year","three years from launch, as Casgevy's calendar midpoint of 2027 sits three years after its 2024 start"
