# PF-07248144 (prifetrastat): Pfizer's KAT6A/B inhibitor, a daily tablet taken with fulvestrant in HR-positive HER2-negative metastatic breast cancer after a CDK4/6 inhibitor, wholly Pfizer's and in Phase 3 against everolimus with endocrine therapy.
# Built on its one Phase 3 indication, the second and third lines, with the chemotherapy and CDK4/6 rechallenge shares taken out so the patients Ibrance already treats are not counted twice.
# Priced off Truqap, turned over at the Phase 1 median PFS and dated from the Phase 3's July 2027 primary completion.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,PF-07248144,,US,base,therapy_mode,,,chronic,,"NCT07062965, the Phase 3 (400 patients): PF-07248144 tablets by mouth with fulvestrant injections against everolimus with exemestane or fulvestrant, primary endpoint progression-free survival by blinded independent central review. The Phase 1 took 5 mg once daily as the dose for the fulvestrant combination (Mukohara et al., Nat Med 2024, doi:10.1038/s41591-024-03060-0)","a daily tablet taken while the disease is controlled, not a single course"
PFE,PF-07248144,,US,base,list_price_per_patient,,0.081962,,mm USD,"Truqap, CMS Medicare Part D 2024: $184,169,026 over 2,247 beneficiaries, $81,962 a beneficiary (drug_demand). Truqap is capivasertib, an oral targeted agent added to fulvestrant after endocrine therapy, and 69.1% of its CAPItello-291 patients had already had a CDK4/6 inhibitor (Turner et al., N Engl J Med 2023, doi:10.1056/NEJMoa2214131): the same design as this combination, and the comparator the camizestrant seed uses","a comparator, not a price this product has. 2024 was Truqap's first full year, so part-year patients weigh the figure down; Piqray, alpelisib with fulvestrant, cost $93,255 a Part D beneficiary in 2024 and Ibrance $127,804"
PFE,PF-07248144,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates in a competitive Part D class, as every Part D-priced pipeline seed in this book takes it","an oral cancer medicine sits in a protected Part D class where rebates usually run thinner, so this leans low. Pfizer puts Ibrance's lower US net price in FY2025 down largely to higher manufacturer discounts under the IRA Medicare Part D redesign (10-K 0000078003-26-000026), which this product would carry too"
PFE,PF-07248144,,US,base,discontinuation_pct,,0.5404,,share stopping a year,"Mukohara et al., Nat Med 2024 (doi:10.1038/s41591-024-03060-0): median progression-free survival of 10.7 months for PF-07248144 with fulvestrant in 43 patients whose disease had progressed after CDK4/6 inhibitors and endocrine therapy. At a constant hazard 0.5^(12/10.7) = 45.96% remain after a year, so 54.04% stop","a single-arm Phase 1 cohort whose confidence interval runs from 5.3 months to not evaluable. Fulvestrant alone gave 3.6 months in CAPItello-291's placebo arm (Turner et al.), so if the Phase 3 falls short of the Phase 1 the stock turns over faster than this"
PFE,PF-07248144,,US,base,forecast_start_year,,2029,,year,"NCT07062965 has an estimated primary completion of 22 July 2027, and the book's pipeline seeds put the first full year two calendar years after it. No filing, acceptance or PDUFA date is stated in the FY2025 10-K (0000078003-26-000026) or either 2026 10-Q (0000078003-26-000054, 0000078003-26-000095)",the 10-K lists prifetrastat among new drug candidates in late-stage development for 2nd line/3rd line HR+/HER2- metastatic breast cancer; the trials table holds no other Phase 3 for it
PFE,PF-07248144,,US,base,economics_share,,1,,share,"the FY2025 10-K late-stage table (0000078003-26-000026) lists prifetrastat (PF-07248144) with no collaboration footnote, where it names the partner on every shared programme in the same table (Astellas for Padcev, Valneva for VLA15, RemeGen for disitamab vedotin); neither 2026 10-Q names a partner, licence or royalty for it",held as wholly Pfizer's; no royalty or milestone is stated
PFE,PF-07248144,Breast Neoplasms,US,base,prevalence,,160000,,patients,"roughly 160,000 US women live with metastatic HR-positive HER2-negative breast cancer, the pool the camizestrant, Truqap and sacituzumab tirumotecan seeds use",the population the second and third lines are drawn from
PFE,PF-07248144,Breast Neoplasms,US,base,incidence,,65000,,patients a year,"about 310,000 new US breast cancers a year, roughly 70% HR-positive HER2-negative, of which about 30% become metastatic: the camizestrant seed's inflow",the inflow into the same pool
PFE,PF-07248144,Breast Neoplasms,US,base,eligible_pct,,0.133,,share of the pool,"three shares multiplied. 47.9% of patients starting first-line therapy for HR-positive HER2-negative metastatic breast cancer went on to a second line (Goyal et al., Breast Cancer Res Treat 2023, doi:10.1007/s10549-022-06845-4: 1,581 of 3,244, SEER-Medicare). Of second-line patients 31.6% took chemotherapy and 21.5% a CDK4/6 inhibitor again with endocrine therapy (Mahtani et al., Breast 2026, doi:10.1016/j.breast.2026.104732), leaving 46.9%. And 59.2% carry no PIK3CA, AKT1 or PTEN alteration, which NCT07062965 excludes (289 of 708 altered in CAPItello-291, Turner et al., N Engl J Med 2023, doi:10.1056/NEJMoa2214131). 0.479 x 0.469 x 0.592 = 0.133, about 21,300 of the pool and 8,600 a year","the CDK4/6 rechallenge share is left out because that is where this would take patients Ibrance already treats: after first-line palbociclib, CDK4/6-containing regimens were 42.3% of subsequent treatments (Brufsky et al., Oncologist 2026, doi:10.1093/oncolo/oyag182). The trial also excludes prior chemotherapy for advanced disease and more than two prior lines, both inside this number. Goyal's cohort is 65 and over and ends in 2019, and Mahtani's mixes US and European patients. As a check, Rigel's Q2 2026 10-Q (0001034842-26-000052) estimates about 20,000 US patients with second- or third-line ESR1-mutated disease, and ESR1 mutations run about 30% at second line and 40% at third (Liao et al., Mol Diagn Ther 2026, doi:10.1007/s40291-026-00876-z), implying 50,000 to 67,000 second- and third-line patients against the 76,600 this pool sends to a second line before the treatment and biomarker filters"
PFE,PF-07248144,Breast Neoplasms,US,base,exus_multiple,,0.521,,x US,"Ibrance, Pfizer's own oral breast cancer medicine sold on worldwide rights: FY2025 revenues of $1,412mm International against $2,710mm U.S. (10-K 0000078003-26-000026, product revenue table; asset_revenue_regions), a ratio of 0.521","steady: $1,518mm against $2,849mm in FY2024, 0.533. Pfizer names generic entry in certain international markets in FY2025, so the ratio leans low for a product still under patent"
