# Regeneron revenue that no asset on file carries, which is most of the company.
#
# Regeneron sells four products in the United States and books the rest of what it earns
# as collaboration revenue: its share of the profits Sanofi makes on Dupixent and Kevzara,
# and its share of what Bayer makes on EYLEA outside the United States. In FY2025 that was
# $7,307mm of $14,343mm, more than half the company, and no asset row could hold any of it.
# Dupixent in particular is Sanofi's to record; giving Regeneron the $6.0bn of global sales
# it reports would model the same drug twice and at the wrong company.
#
# So the collaborations are lines, not assets, carried at what Regeneron itself books.
# The Sanofi collaboration was one until 2026-09-17; it is now carried on the Dupixent
# asset (data/assumptions/regn_dupixent.csv), so it keeps Dupixent's growth and loses
# exclusivity when Dupixent does, which a line cannot.
#
# Margins and the discount rate are the company's, from the same filed lines every
# Regeneron asset carries. Regeneron tags no cost of revenue at all, which the free cash
# calibration in other_costs_pct absorbs: the derivation targets what the company actually
# turned into cash, so a missing expense line cannot flatter the result.
ticker,line,scenario,key,value,text_value,unit,source,note
REGN,Bayer collaboration,base,base_revenue,1422.4,,mm USD,"Regeneron FY2025 10-K (0000872589-26-000008), revenues table: Bayer collaboration revenue of $1,422.4mm",Regeneron's share of what Bayer earns on EYLEA outside the United States
REGN,Bayer collaboration,base,revenue_growth_pct,-0.2575,,"annual, near term",the halves in the Q2 2026 10-Q (0000872589-26-000025): $563.5mm in the first half of 2026 against $758.9mm a year earlier,"EYLEA is losing share to biosimilars outside the United States as it is inside, and this line falls with it"
REGN,Bayer collaboration,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
REGN,Bayer collaboration,base,growth_fade_years,5,,years,convention: a recent rate describes next year,
REGN,Bayer collaboration,base,forecast_start_year,2026,,year,the year after the last reported full year,
REGN,Bayer collaboration,base,forecast_years,15,,years,the horizon Regeneron's marketed assets carry,
REGN,Bayer collaboration,base,pos,1.0,,,booked revenue,"stated, because no development phase applies"
REGN,Bayer collaboration,base,cogs_pct,0.0000,,share of revenue,"REGN FY2025: no cost of revenue is tagged, so this is nil and other_costs_pct carries it",
REGN,Bayer collaboration,base,sga_pct,0.1882,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Bayer collaboration,base,rd_pct,0.4079,,share of revenue,"REGN FY2025, from the filed lines",
