# Zodasiran (ARWR).
# Zodasiran (ARO-ANG3) is Arrowhead's wholly owned GalNAc siRNA against ANGPTL3, dosed 200 mg subcutaneously once every 3 months. Its Phase 3 is YOSEMITE (NCT07037771): 70 patients aged 12 and over with genetically or clinically diagnosed HoFH on maximally tolerated lipid-lowering therapy, randomised 2:1 to zodasiran or placebo, primary endpoint percent change in fasting LDL-C at month 12, primary completion 2027-08-20; enrolment completed July 2026 and a 12-patient adolescent Phase 3 (NCT07473843) follows.
# Price anchor: Evkeeza (evinacumab), the only marketed ANGPTL3 drug and labelled for HoFH, at $346,737 per Medicare Part B beneficiary in 2024, less the Part B add-on (net $327,110). Pool: HoFH at 1 in 300,000 (Sjouke et al., Eur Heart J, molecular diagnosis) on 340.1mm US residents, 1,134 patients and 12.1 affected births a year, 86% of them aged 12 and over. The book carries no HoFH pool; its Hypercholesterolemia pool is adult ASCVD and is not narrowed for this.
# Uptake anchor: the engine's own identity fitted to Evkeeza's filed US sales, 2021 to H1 2026, at this seed's net price reads a peak of 0.297 of the untreated pool a year (k 0.657, midpoint 2.13 years). Zodasiran is set at half of that, 0.149 (judgement): by its 2029 launch Evkeeza will hold most of this small pool, so its starts are mostly switches. No hold: zodasiran does not cannibalise Arrowhead's own Redemplo (APOC3, FCS and sHTG), a different target, lipid and population.
# LOE: no molecule patent date is filed. Arrowhead's FY2025 10-K (0000879407-25-000029, patents section) names no expiry for zodasiran, so the engine's default applies: 12 years from this launch year, 2041. No date is written here because none is filed.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ARWR,Zodasiran,,US,base,beta,,1.5,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (1.75 raw)",
ARWR,Zodasiran,,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNAi company, with its own filed FY2025 lines from its first year of profit, selling subcutaneous siRNA to specialists as Arrowhead sells Redemplo; Arrowhead's FY2025 (to September) lines break even on $829mm of revenue that is mostly Sarepta licence income, not a product margin. Arrowhead's product revenue from Redemplo has only just begun and gives no steady-state margin yet. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when ARWR files a cost of sales"
ARWR,Zodasiran,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ARWR,Zodasiran,,US,base,debt_weight,,0.08524,,,"Arrowhead's 10-Q for the quarter to 2026-06-30 (0000879407-26-000057, balance sheet and Notes): $700.0mm principal of 0.00% convertible notes due 2032, issued January 2026, and the Sixth Street credit facility carried at $181.4mm ($40.0mm current, $141.4mm non-current, 15% interest paid in kind), $881.4mm; the liability for the sale of future royalties is left out, as it is for Alnylam; over debt plus market capitalisation: 141.3mm shares at the $66.96 close of 2026-09-23",a reading of the balance sheet
ARWR,Zodasiran,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
ARWR,Zodasiran,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNAi company, with its own filed FY2025 lines from its first year of profit, selling subcutaneous siRNA to specialists as Arrowhead sells Redemplo; Arrowhead's FY2025 (to September) lines break even on $829mm of revenue that is mostly Sarepta licence income, not a product margin. Arrowhead's product revenue from Redemplo has only just begun and gives no steady-state margin yet. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when ARWR files a cost of sales"
ARWR,Zodasiran,,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNAi company, with its own filed FY2025 lines from its first year of profit, selling subcutaneous siRNA to specialists as Arrowhead sells Redemplo; Arrowhead's FY2025 (to September) lines break even on $829mm of revenue that is mostly Sarepta licence income, not a product margin. Arrowhead's product revenue from Redemplo has only just begun and gives no steady-state margin yet. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when ARWR files a cost of sales"
ARWR,Zodasiran,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ARWR,Zodasiran,,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's other RNAi company, with its own filed FY2025 lines from its first year of profit, selling subcutaneous siRNA to specialists as Arrowhead sells Redemplo; Arrowhead's FY2025 (to September) lines break even on $829mm of revenue that is mostly Sarepta licence income, not a product margin. Arrowhead's product revenue from Redemplo has only just begun and gives no steady-state margin yet. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when ARWR files a cost of sales"
ARWR,Zodasiran,,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's other RNAi company, with its own filed FY2025 lines from its first year of profit, selling subcutaneous siRNA to specialists as Arrowhead sells Redemplo; Arrowhead's FY2025 (to September) lines break even on $829mm of revenue that is mostly Sarepta licence income, not a product margin. Arrowhead's product revenue from Redemplo has only just begun and gives no steady-state margin yet. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when ARWR files a cost of sales"
