# Telitacicept (VOR).
# Telitacicept is RemeGen's dual-target fusion protein that inhibits BAFF (also called BLyS) and APRIL (Vor's description), given 240 mg subcutaneously once a week. Vor Bio holds exclusive rights outside Greater China under a June 2025 licence and pays RemeGen tiered royalties from high single digit to mid-teen percentages (FY2025 10-K 0001193125-26-130451, Note 10). Registrational trials: UPSTREAM MG (NCT06456580; 180 AChR- or MuSK-positive gMG adults; MG-ADL at week 24; topline 1H 2027) and UPSTREAM SjD (NCT07404865; 250 adults with ESSDAI of 5 or more; ESSDAI at week 48; primary completion 2028-12). China has approved it for gMG, SLE, RA and Sjogren's, and conditionally for IgAN. Price anchor: Vyvgart Hytrulo, the self-injected gMG incumbent, at $191,644 per CMS Part D beneficiary in 2024. The engine carries one price for both indications. Uptake anchors: a quarter of Vyvgart's solved plateau share in gMG, the multiple the book's cemdisiran seed uses, and the book's Sjogren's follower share (dazodalibep, 0.0514). Vor's share is 0.70: a 7% royalty struck on argenx's margin, because Vor has no cost rows in the book.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows: own beta and debt; cost lines borrowed from ARGX, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VOR,Telitacicept,,US,base,beta,,1.73,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (2.10 raw)",
VOR,Telitacicept,,US,base,cogs_pct,,0.1086,,share of revenue,"comparator estimate: ARGX's row, because argenx sells Vyvgart, the gMG incumbent telitacicept is priced against, as a single-franchise autoimmune biologic company, and its margin is the one the verified economics share of 0.700214 was already struck on. VOR has no product revenue of its own to read a ratio from. ARGX's source: ARGX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when VOR files a cost of sales"
VOR,Telitacicept,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
VOR,Telitacicept,,US,base,debt_weight,,0,,,"no borrowings: Vor's 10-Q for the quarter to 2026-06-30 (0001193125-26-343607) lists total liabilities of $681.3mm as payables, accrued liabilities, operating leases and $653.9mm of warrant liabilities, which are equity-linked and fair-valued, not debt; no LongTermDebt, DebtCurrent or ShortTermBorrowings is tagged in its SEC company facts",a reading of the balance sheet
VOR,Telitacicept,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
VOR,Telitacicept,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ARGX's row, because argenx sells Vyvgart, the gMG incumbent telitacicept is priced against, as a single-franchise autoimmune biologic company, and its margin is the one the verified economics share of 0.700214 was already struck on. VOR has no product revenue of its own to read a ratio from. ARGX's source: derived: ARGX generated $679mm of free cash flow on $4,151mm of revenue in 2025, its first full year of profit, a 16.36% margin, against the 20.3% its filed expense lines leave. Restated before interest: argenx paid $0.9mm of interest inside operating cash flow, 0.02% of revenue. Checked at replacement capex: no plant depreciation on file, so the charge stands. Checked without one-off cash: no one-off cash stated for the year, so the charge stands. Restated without working capital build: receivables and inventory of a product growing 90% a year tied up $289mm, 6.96% of revenue, once. With those the cash supports a 26.79% pre-tax margin against 23.35% on the filed lines, so the charge rebuilds at -3.44% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for argenx","a comparator, not a measurement; revisit when VOR files a cost of sales"
VOR,Telitacicept,,US,base,rd_pct,,0.3286,,share of revenue,"comparator estimate: ARGX's row, because argenx sells Vyvgart, the gMG incumbent telitacicept is priced against, as a single-franchise autoimmune biologic company, and its margin is the one the verified economics share of 0.700214 was already struck on. VOR has no product revenue of its own to read a ratio from. ARGX's source: ARGX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when VOR files a cost of sales"
VOR,Telitacicept,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
VOR,Telitacicept,,US,base,sga_pct,,0.3293,,share of revenue,"comparator estimate: ARGX's row, because argenx sells Vyvgart, the gMG incumbent telitacicept is priced against, as a single-franchise autoimmune biologic company, and its margin is the one the verified economics share of 0.700214 was already struck on. VOR has no product revenue of its own to read a ratio from. ARGX's source: ARGX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when VOR files a cost of sales"
VOR,Telitacicept,,US,base,tax_rate,,0.129,,effective rate,"comparator estimate: ARGX's row, because argenx sells Vyvgart, the gMG incumbent telitacicept is priced against, as a single-franchise autoimmune biologic company, and its margin is the one the verified economics share of 0.700214 was already struck on. VOR has no product revenue of its own to read a ratio from. ARGX's source: argenx half year 2026 results (release of 2026-07-23; 6-K 0001697862-26-000033): income tax expense of $119mm for the six months to 30 June 2026 ($230mm current less a $110mm deferred benefit) against a profit of $0.8bn, so about $0.92bn before tax and 12.9% effective","a comparator, not a measurement; revisit when VOR files a cost of sales"
