# Bomedemstat (MK-3543): an oral LSD1 inhibitor from the Imago acquisition, in essential thrombocythaemia needing cytoreduction
# and polycythaemia vera after hydroxyurea fails. Chronic dosing at Jakafi's Medicare price, with attrition from its own phase 2
# and pools from US health-plan prevalence and SEER incidence. Myelofibrosis is left out: its only phase 3 record is an extension study.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Bomedemstat,,US,base,therapy_mode,,,chronic,,"a daily oral capsule (NCT06079879, NCT06456346) for cytoreduction in a chronic myeloproliferative neoplasm, taken for as long as it controls counts",
MRK,Bomedemstat,,US,base,list_price_per_patient,,0.132549,,mm USD,"the price is Jakafi's $132,549 a Medicare Part D beneficiary in 2024 (CMS, drug_demand): ruxolitinib is in the best-available-therapy arm of MK-3543-006 and the comparator of MK-3543-025, and is the only branded oral cytoreductive in these diseases on file","a comparator, not a price this product has. First-line hydroxyurea is generic"
MRK,Bomedemstat,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates in a competitive class, as every pipeline seed in this book takes it",
MRK,Bomedemstat,,US,base,discontinuation_pct,,0.25,,share stopping a year,"bomedemstat's own phase 2 in ET (IMG-7289-CTP-201, 73 patients; Goethert et al., Blood 2023;142 suppl 1, doi 10.1182/blood-2023-179329): 86% remained on study at week 24 and 75% at week 48","first-year attrition, which usually exceeds later years, applied to the whole stock every year, so this understates the stock rather than flattering it. The full report (Gill et al., Blood Advances 2026) gives 86% continuing past week 24"
MRK,Bomedemstat,,US,base,forecast_start_year,,2029,,year,"MK-3543-006 (NCT06079879) has the earliest primary completion among this asset's phase 3 trials, 2027-07-30, plus the time to file and launch: the book's pipeline seeds put the first full year two calendar years after the earliest phase 3 primary completion","no Merck filing states a submission or PDUFA date: both 2026 10-Qs (0001628280-26-029802, 0000310158-26-000212) list it in Phase 3, not under review"
MRK,Bomedemstat,,US,base,economics_share,,1.0,,,"MRK FY2025 10-K (0000310158-26-000063), Note 3: Merck acquired Imago BioSciences in January 2023 for $1.35bn, bomedemstat was substantially all of the fair value acquired, and there are no future contingent payments associated with the acquisition","wholly owned, with no royalty"
MRK,Bomedemstat,"Thrombocythemia, Essential",US,base,prevalence,,126815,,patients,"ET prevalence of 38 to 57 per 100,000 in two large US health plans, 2008 to 2010 (Mehta et al., Leukemia & Lymphoma 2014). The midpoint, 47.5, applied to the 266,978,268 US adults of 1 July 2024 (Census SCPRC-EST2024-18+POP) the book's obesity seeds use",
MRK,Bomedemstat,"Thrombocythemia, Essential",US,base,incidence,,4806,,patients a year,"1.8 new ET cases per 100,000 person-years among adults in SEER-17, 2000 to 2021, 24,172 patients (Singhal et al., Leukemia 2026, doi 10.1038/s41375-026-03124-9), applied to the same adult population",
MRK,Bomedemstat,"Thrombocythemia, Essential",US,base,eligible_pct,,0.33,,share of the pool,"33% of 2023's prevalent US ET patients received cytoreductive treatment, hydroxyurea for 30% (Veeva Compass claims, about 41,400 patients; ISPOR 2025 poster, Identifying treatment patterns for essential thrombocythemia using real-world data)","about 41,800 patients: those needing cytoreduction, which both phase 3 trials require, MK-3543-007 first-line against hydroxyurea and MK-3543-006 after it fails. A conference poster and the only prevalent-patient treatment rate found. SEER-Medicare puts treatment at 77.5% of ET patients diagnosed at 66 or over (Podoltsev et al., JNCCN 2019), so the rate is higher in the older half of the pool"
MRK,Bomedemstat,"Thrombocythemia, Essential",US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years","Merck lists bomedemstat in its cancer pipeline under myeloproliferative disorders (FY2025 10-K), so the oncology curve is the book's closest"
