# Trikafta / Kaftrio (VRTX). The CF franchise, and the largest single line in the
# company. Marketed, so revenue is anchored on the FY2025 product axis rather than
# built from patients.
#
# The revenue line and the Orange Book row used to sit on different assets, so the
# franchise had no exclusivity to erode against and no modality to take an erosion
# curve from. A curated alias folded them: this seeds against the surviving row,
# which carries NDA217660, the small-molecule erosion default, and a drug substance
# patent running to 2037.
#
# The horizon is set to fifteen years so that 2037 falls inside it. At ten the cliff
# sits past the window, nothing erodes, and half the value is terminal.
#
# Growth is no longer a franchise average. The Q2 2026 8-K prints TRIKAFTA/KAFTRIO and
# ALYFTREK on their own lines for both halves, so the switch between them is read rather
# than assumed: Trikafta -4.6%, Alyftrek +374%. What is left as a judgement is the path
# after FY2026, because the two products share one pool of patients and this engine
# values them separately.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VRTX,Trikafta (Copackaged),,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
VRTX,Trikafta (Copackaged),,US,base,pos,,1.0,,,approved and selling; the phase ramp does not apply to a Phase 4 product,development risk is retired. Commercial risk lives in the growth rate
VRTX,Trikafta (Copackaged),,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
VRTX,Trikafta (Copackaged),,US,base,therapy_mode,,,franchise,,"the other half of the same pool. Trikafta's decline is not a growth rate, it is Alyftrek's share seen from the other side",read the two together. Neither number means anything alone
VRTX,Trikafta (Copackaged),,US,base,franchise_revenue,,11150.5,,mm USD,"TRIKAFTA/KAFTRIO 10,312.7 plus ALYFTREK 837.8, FY2025 reported, from the 10-K product axis","the same pool Alyftrek carries, and it must be the same number"
VRTX,Trikafta (Copackaged),,US,base,franchise_growth_pct,,0.089252,,"annual, near term","the pool reaches 12,145.7mm in FY2026 against 11,150.5mm in FY2025. FY2026 is Vertex's own guidance decomposition: the $13,150mm midpoint less the $500mm or more of non-CF revenue the release names, less the other CF products carried on their own halves. Vertex states about 150bp of the year's growth is foreign exchange, which does not repeat","the same pool growth Alyftrek carries, and it must be the same number"
VRTX,Trikafta (Copackaged),,US,base,share_now,,0.924864,,share of the pool,"TRIKAFTA/KAFTRIO 10,312.7mm of the 11,150.5mm pool, FY2025 reported",
VRTX,Trikafta (Copackaged),,US,base,share_plateau,,0.1,,share of the pool,"one less Alyftrek's plateau. With two members of a franchise the complement is exact, so this is derived from that judgement rather than a second one","the share Trikafta keeps: patients who do not switch. It reaches its 2037 cliff holding about a quarter of the pool rather than all of it, which is the whole point of the switch and what the two separate growth rates could not see"
VRTX,Trikafta (Copackaged),,US,base,share_ramp_pct,,0.150084,,"share of the gap, per year",derived rather than chosen: the rate that carries Alyftrek from its FY2025 share of 7.51% to the FY2026 share of 19.01% that guidance implies. A half-life of 4.6 years on the remaining gap,"every member of a franchise carries the same ramp. That is what makes the shares sum to one in every year rather than approximately: with a common ramp the sum is sum(plateau) plus sum(share_now) less sum(plateau), decayed, so one at the base year and one at the plateau means one throughout"
VRTX,Trikafta (Copackaged),,US,base,erp,,0.05,,,Damodaran US ERP estimate,
VRTX,Trikafta (Copackaged),,US,base,beta,,0.69,,,"computed from 262 weekly returns vs S&P 500 over five years, Blume-adjusted",Casgevy keeps the workbook's 1.15 on purpose: that is the analyst's own figure and this one is measured
VRTX,Trikafta (Copackaged),,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED), 2026-08-26",
VRTX,Trikafta (Copackaged),,US,base,debt_weight,,0.05,,,Vertex near-zero debt (CASGEVY workbook C35),"no TotalDebt is tagged in the filings, so the workbook's curated figure stands"
VRTX,Trikafta (Copackaged),,US,base,cogs_pct,,0.1376,,share of revenue,"VRTX FY2025 10-K, computed from the filed lines",
VRTX,Trikafta (Copackaged),,US,base,sga_pct,,0.1461,,share of revenue,"VRTX FY2025 10-K, computed from the filed lines",
VRTX,Trikafta (Copackaged),,US,base,rd_pct,,0.3258,,share of revenue,"VRTX FY2025 10-K, computed from the filed lines",
VRTX,Trikafta (Copackaged),,US,base,tax_rate,,0.1486,,effective rate,"VRTX FY2025 10-K, computed from the filed lines",
VRTX,Trikafta (Copackaged),,US,base,forecast_years,,15,,years,set to reach past the 2037 drug substance patent,"a ten-year window ends in 2035 and the cliff never happens inside it, which prices the franchise as a perpetuity it is not"
VRTX,Trikafta (Copackaged),,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to zero, which is what the terminal value already assumes, so the two halves of the model agree. Held flat instead, this rate reaches 31bn of Trikafta by its 2037 LOE, close to three times the entire US CF population at its net price, and 570bn of Journavx by 2043"
VRTX,Trikafta (Copackaged),,US,base,growth_fade_years,,5,,years,convention: a guided rate describes next year,"five years to the long-run rate. A guided rate describes next year, not the decade after it"
VRTX,Trikafta (Copackaged),,US,base,other_costs_pct,,0.103344,,share of revenue,"derived: Vertex generated $12,074mm of free cash flow on $49,396mm of revenue over the five years to 2025, a 24.44% margin, against the 33.0% its cost of sales, SG&A and R&D leave. Five years rather than three because operating cash flow was negative $493mm in 2024 on the Alpine acquisition, which takes a three-year window to 17.5% and lets one deal set the rate. Solved so the modelled book reproduces the margin rather than taken off a single line","acquired IPR&D charges above all, then amortisation, restructuring and capital spending. Casgevy is left at zero: it reproduces the CASGEVY workbook line for line and is what this engine was validated against, so its cost basis stays the workbook's"
