# Vyalev (ABBV). $482mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients.
#
# The 2026 anchor is the first half as reported, $457mm, plus the second
# quarter's $256mm twice: $969mm, +101.0% on FY2025. Both from the
# 10-Q for the quarter to 30 June 2026 (0001551152-26-000026).
#
# Loss of exclusivity. The loader reads the date from the book.
# AbbVie states no US loss of exclusivity date for Vyalev in the FY2025 10-K
# (0001551152-26-000008) or in either 2026 10-Q (0001551152-26-000017,
# 0001551152-26-000026). Its patent discussion dates Skyrizi and Rinvoq only and then
# says: "AbbVie believes that no other single patent, license, trademark (or related
# group of patents, licenses, or trademarks), is material in relation to the company's
# business as a whole."
#
# The book sets 2035-10-21 on the Orange Book drug substance patent 9446059
# (10730895, also drug substance, and the product patent 10174061 end the same
# day). A method of use patent, 12251365, runs to 2040-06-10, and new product
# exclusivity ends 2027-10-16.
#
# The anchor is steep. AbbVie says Vyalev "increased greater than 100% for the
# three and six months ended June 30, 2026 primarily driven by strong market
# share uptake" (10-Q 0001551152-26-000026). Faded to nought over five years, +101% compounds
# to about $4,751mm by 2030. No filing supports or rules that out, so it is the
# first number to look at.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
#
# Based on the 2026 run rate and held flat: no filing gives a peak, so the value is a floor.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Vyalev,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
ABBV,Vyalev,,US,base,base_revenue,,969,,mm USD,"AbbVie Q2 2026 10-Q (0001551152-26-000026): the first half of 2026 as reported, $457mm, plus the second quarter's $256mm twice, $969mm. FY2025 was $482mm (10-K 0001551152-26-000008)","the launch convention: a product not yet at a steady run rate is anchored on the 2026 the filed quarters imply, and forecast from 2027"
ABBV,Vyalev,,US,base,revenue_growth_pct,,0,,"annual, near term","held at the 2026 run rate: AbbVie publishes no peak for Vyalev, and fading the +101% of 2026 over five years would put it at $4.8bn by 2030 on nothing but arithmetic","a floor, not a forecast: the launch is still growing"
ABBV,Vyalev,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
ABBV,Vyalev,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
ABBV,Vyalev,,US,base,forecast_start_year,,2027,,year,the year after the 2026 anchor,
ABBV,Vyalev,,US,base,forecast_years,,15,,years,"set to run past the 2035 loss of exclusivity the book holds (Orange Book drug substance patent 9446059, 2035-10-21) and through the erosion tail",
ABBV,Vyalev,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
ABBV,Vyalev,,US,base,cogs_pct,,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,sga_pct,,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,rd_pct,,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,tax_rate,,0.1081,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,beta,,0.53,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.29 raw)","ABBV's own, as every ABBV asset carries"
ABBV,Vyalev,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","ABBV's own, as every ABBV asset carries"
