# Inflectra / Remsima (PFE). 646mm USD in FY2025, +26.9% on FY2024.
#
# Marketed, anchored on the reported year and grown against the year before it:
# 646 in FY2025 from the SEC financial statement data sets, against 509 in FY2024 from the same source.
#
# The company ratios and the discount rate below are PFE's own, taken from
# pfe_abrysvo.csv so every product of this company runs on one basis.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Inflectra / Remsima,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
PFE,Inflectra / Remsima,,US,base,base_revenue,,646.0,,mm USD,"PFE FY2025 reported product revenue, from the SEC financial statement data sets",the anchor
PFE,Inflectra / Remsima,,US,base,revenue_growth_pct,,0.269155,,"annual, near term","646 in FY2025 from the SEC financial statement data sets, against 509 in FY2024 from the same source",the last reported year over the one before it
PFE,Inflectra / Remsima,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
PFE,Inflectra / Remsima,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
PFE,Inflectra / Remsima,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
PFE,Inflectra / Remsima,,US,base,forecast_years,,10,,years,"convention, and the horizon every marketed asset carries","no exclusivity on file, so nothing erodes the tail"
PFE,Inflectra / Remsima,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
PFE,Inflectra / Remsima,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,other_costs_pct,,0.22177,,share of revenue,"derived: Pfizer generated $23,703mm of free cash flow on $185,759mm of revenue over 2023, 2024 and 2025, a 12.76% margin, against the 33.8% its cost of sales, SG&A and R&D leave. The 2021 and 2022 COVID years are excluded because a 36% margin on a vaccine windfall is not what this company earns","amortisation of acquired intangibles above all, then restructuring and the rest. Pfizer bought Seagen and its filed expense lines do not carry what that cost. Without this row the model values the company at nearly three times the cash it makes"
PFE,Inflectra / Remsima,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,Inflectra / Remsima,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
