# Eloralintide (LLY). obesity, selective amylin agonist, Phase 3.
#
# The retatrutide scaffold: the same obesity pool, price comparator, discontinuation and
# ramp shape, each carrying its own source, and the discount rate and ratios Lilly's own.
# Two numbers are this programme's: the launch year and the uptake. Both are stated
# judgements, and both are said to be so on their rows.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
LLY,Eloralintide,,US,base,therapy_mode,,,chronic,,dosing schedule of the programme,"continuing therapy, not a one-time treatment"
LLY,Eloralintide,,US,base,forecast_start_year,,2030,,year,"judgement: Lilly's 10-K for 2025 (filed 2026-02-12) lists the obesity Phase 3 trial as initiated; retatrutide's obesity Phase 3 programme began in 2023 and its seed launches in 2027, and the same interval from late 2025 is 2030",move it when Lilly guides a submission
LLY,Eloralintide,,US,base,cogs_pct,,0.1696,,share of revenue,"LLY FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
LLY,Eloralintide,,US,base,rd_pct,,0.2046,,share of revenue,"LLY FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
LLY,Eloralintide,,US,base,sga_pct,,0.1702,,share of revenue,"LLY FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
LLY,Eloralintide,,US,base,tax_rate,,0.1979,,effective rate,"LLY FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
LLY,Eloralintide,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","market-level, shared with the CASGEVY model"
LLY,Eloralintide,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","market-level, shared with the CASGEVY model"
LLY,Eloralintide,,US,base,beta,,0.69,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted (0.67 raw + 0.33)","five-year weekly is the conventional window; the two-year one puts JNJ at -0.03, which is a real measurement and not a forward input"
LLY,Eloralintide,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",market-level for investment-grade pharma; edit where the issuer's own spread is known
LLY,Eloralintide,,US,base,debt_weight,,0.047,,,"filed TotalDebt over debt plus market cap, at the 2026-08-27 close",
LLY,Eloralintide,,US,base,list_price_per_patient,,0.006642,,mm USD per year,"comparator estimate: incretins in CMS Part D 2024: Ozempic 6,642, Mounjaro 7,084, Wegovy 5,689 per beneficiary; median taken. Zepbound's 1,581 excluded, 245 beneficiaries in a launch year","CMS Part D spending is gross of manufacturer rebates, so this is an upper bound and the haircut below is what makes it a net price"
LLY,Eloralintide,,US,base,gross_to_net_pct,,0.5,,share,"convention, measured: on the nine cycle-one IRA drugs that carry a demand row, a gross CMS figure halved lands at a median 96% of CMS's own negotiated net annual price, spread 65% on Imbruvica to 167% on Januvia, so the gross basis and the part-year basis cancel and this is sound for a book and loose for one asset (backend/gross_to_net.py). Manufacturer rebates in a competitive Part D retail class. Edit per asset; this is the visible half of the estimate",
LLY,Eloralintide,Obesity,US,base,prevalence,,107592242,,patients,"CDC NHANES Aug 2021-Aug 2023: 40.3% of adults 20+ have obesity (BMI>=30), applied to the US resident population 18+, 266,978,268, Census SCPRC-EST2024-18+POP, 1 Jul 2024","the prevalence definition and the label criterion are the same threshold, so eligible_pct is 1.0 here and the narrowing belongs in the funnel: diagnosed_pct, referred_pct, payer_approved_pct, accepts_pct"
LLY,Eloralintide,Obesity,US,base,eligible_pct,,1.0,,share,"the label criterion is the prevalence threshold, BMI>=30","narrow with the funnel factors, not here"
LLY,Eloralintide,,US,base,discontinuation_pct,,0.648,,share of the stock per year,"GLP-1 discontinuation at 1 year in adults with overweight or obesity and no type 2 diabetes, 64.8%. JAMA Network Open, Jan 2025, 125,474 adults, US EHR data 2018-2023","the study measures the share of a starting cohort that stops within 12 months; the engine applies it to the whole stock each year. First-year attrition runs higher than later-year, so this understates the stock rather than flattering it"
LLY,Eloralintide,Obesity,US,base,incidence,,4478747,,patients per year,"28.1 new cases per 1,000 person-years, national prospective cohort 2001-2017 (13,888 adults, 115,797 person-years), applied to the 159.4m US adults who do not have obesity",
LLY,Eloralintide,Obesity,US,base,ramp_steepness,,1.402,,,"logistic k implied by Mounjaro's observed CMS Part D uptake, 54,202 beneficiaries in 2022 to 894,581 in 2024. The closest structural analogue: a new incretin launching into a category the class had already built","Ozempic over 2020-2024 implies 0.495, the slower path into a category still being created. Both are real; this takes the faster one because retatrutide launches into an established market"
LLY,Eloralintide,Obesity,US,base,penetration_peak_pct,,0.021941,,share of the untreated pool per year,"Zepbound's observed capture of the untreated obese pool, computed in capture_anchor from Eli Lilly's reported revenue (10-K 0000059478-26-000013; 8-K exhibit 0000059478-26-000077) at a net 3,321 per patient-year, net of the 64.8% who stop each year, against a pool of 107.6mm: 1.38% in 2024, 3.35% in 2025, 4.39% in 2026, on the latest quarter annualised. This asset is set at 0.500x that rate, an analyst's judgement of its competitive position: half: Phase 2 weight loss matches tirzepatide's and it enters a pool Lilly already serves",the one analyst input in this file; the rest of the pool is measured
LLY,Eloralintide,Obesity,US,base,ramp_midpoint_year,,3,,years from the forecast start,"the retatrutide seed's midpoint, from Mounjaro's observed CMS Part D uptake","set to three and not two. Both analogues launched with an advantage retatrutide will not have: Mounjaro opened the category with no direct competitor, and Zepbound was a molecule already manufactured at scale and already on formulary for diabetes. A new molecule displacing established incumbents is given a year longer"
LLY,Eloralintide,,US,base,net_price_decline_pct,,0.0654,,"annual, real","the filer's own published figure, carried onto its own asset. Lilly's FY2025 components-of-change table (LLY 10-K 0000059478-26-000013) prints, for the United States, Volume 53%, Price (10)%, foreign exchange 0%, percent change 43%. Those rows are CONTRIBUTIONS in points of prior-year revenue and not rates: each of the three columns sums exactly to its printed total, which settles how the table is built. The change in realised price per unit is therefore 1.43/1.53 - 1 = -6.54%, not the -10% the figure reads as at a glance. Attributed by the filer mainly to Mounjaro and Zepbound. Loss of exclusivity is charged separately and the decline stops at the cliff","if anything an understatement of the trend: Lilly attributes part of both the Q1 and the Q2 figure to favourable one-time adjustments to rebate estimates, and says that excluding them the Q2 US price would have fallen about 9%. A single quarter is not a decade either way, which is why three are averaged. This is competitive and payer pressure only. Loss of exclusivity is a separate input and falls outside this asset's 2027 to 2036 window, so nothing here is counted twice"
