# GSK revenue that no asset on file can carry, so that the model reconciles to the
# reported total of GBP 32,667mm rather than to the product rows alone.
#
# "Seretide/Advair" is one row in GSK's sales table and two products in the database:
# Advair Hfa and Advair Diskus 500/50, each with its own approval. Neither can be given
# the row, because GSK does not split it and a split would be invented, and giving it to
# both would count it twice. The line carries the pair instead, and both assets stay
# blocked until GSK splits them. It is running off as the inhaled respiratory portfolio
# gives way to Trelegy.
#
# Margins and the discount rate are the company's, from the same filed lines every GSK
# asset carries, so the assets and this line together are the company's own P&L.
ticker,line,scenario,key,value,text_value,unit,source,note
GSK,Seretide/Advair,base,base_revenue,858,,mm GBP,"GSK full-year 2025 results (6-K 0001654954-26-000892, filed 2026-02-04), General Medicines sales table: Seretide/Advair GBP 858m for the year","one row, two products on file. Neither Advair asset can hold it"
GSK,Seretide/Advair,base,revenue_growth_pct,-0.19,,"annual, near term",the same table states the year at -19% at actual exchange rates against 2024,held at this rate rather than faded: a franchise being replaced does not level off
GSK,Seretide/Advair,base,terminal_growth_pct,-0.19,,"annual, long run",the same rate carried through,"no fade, for the reason above"
GSK,Seretide/Advair,base,forecast_start_year,2026,,year,the year after the last reported full year,
GSK,Seretide/Advair,base,forecast_years,15,,years,the horizon GSK's marketed assets carry,long enough for the run-off to be nearly complete inside the window
GSK,Seretide/Advair,base,pos,1.0,,,approved and selling,"stated, because no development phase applies"
GSK,Seretide/Advair,base,cogs_pct,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Seretide/Advair,base,sga_pct,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Seretide/Advair,base,rd_pct,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Seretide/Advair,base,other_costs_pct,-0.024734,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against what its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 0.56% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Seretide/Advair,base,tax_rate,0.1413,,effective rate,aggregate effective rate over the three years to 2025,
GSK,Seretide/Advair,base,risk_free,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Seretide/Advair,base,erp,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,Seretide/Advair,base,beta,0.55,,,"computed from weekly returns vs S&P 500, Blume-adjusted","the company's, as every GSK asset carries"
GSK,Seretide/Advair,base,cost_of_debt,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Seretide/Advair,base,debt_weight,0.194899,,,filed TotalDebt over debt plus market capitalisation,"the company's, as every GSK asset carries"
#
# The rest of GSK's product table, GBP 5,404mm in FY2025, which no product on file carries.
#
# GSK's FY2025 results announcement (6-K 0001654954-26-000892) lists turnover by product; its
# sub-groups tie to the FY2025 20-F turnover note (0001131399-26-000004). The 26 products and
# Seretide/Advair above sum to GBP 27,263mm; the rest, below, brings the total to 32,667 in
# 2025 and 31,376 in 2024 (FY2024 results, 6-K 0001654954-25-001166).
#
# Established vaccines: Fluarix/FluLaval, hepatitis (Engerix, Twinrix, Havrix), Infanrix/
# Pediarix, Priorix, Synflorix, meningitis other and established vaccines other. 2024
# included around GBP 130mm of non-repeating contracted sales, which GSK names but does not
# place in a line, so the decline is read as filed. General Medicines: Augmentin, other
# respiratory and other General Medicines, which holds Avodart and dermatology. Specialty
# other: other HIV, other immunology, other oncology, Blenrep and pandemic sales.
GSK,Established vaccines,base,base_revenue,2223.0,,mm GBP,"GSK FY2025 results (6-K 0001654954-26-000892), turnover by product: Fluarix/FluLaval 303, Hepatitis 643, Infanrix/Pediarix 519, Priorix/Priorix Tetra/Varilrix 425, Synflorix 159, Established Vaccines other 151, Meningitis other 23, GBP mm","Shingrix, Arexvy, Bexsero, Menveo, Boostrix, Rotarix, Cervarix and Penmenvy are modelled as products"
GSK,Established vaccines,base,revenue_growth_pct,-0.091541,,"annual, near term","the same lines a year earlier (FY2024 results, 6-K 0001654954-25-001166): 408, 692, 512, 323, 226, 246 and 40, together 2,447, so -9.2% in GBP","2024 held around GBP 130mm of non-repeating contracted sales including divested brands, by GSK's own figure"
GSK,Established vaccines,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat: a collection of products does not renew itself, the launch line does that"
GSK,Established vaccines,base,growth_fade_years,5,,years,convention: a recent rate describes next year,
GSK,Established vaccines,base,forecast_start_year,2026,,year,the year after the last reported full year,
GSK,Established vaccines,base,forecast_years,10,,years,the horizon most of GSK's marketed assets carry,
GSK,Established vaccines,base,pos,1.0,,,booked revenue,"stated, because no development phase applies"
GSK,Established vaccines,base,cogs_pct,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Established vaccines,base,sga_pct,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Established vaccines,base,rd_pct,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Established vaccines,base,other_costs_pct,-0.024734441485290967,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.44% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Established vaccines,base,tax_rate,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
GSK,Established vaccines,base,risk_free,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Established vaccines,base,erp,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,Established vaccines,base,beta,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,Established vaccines,base,cost_of_debt,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Established vaccines,base,debt_weight,0.194899,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
GSK,General Medicines other,base,base_revenue,3118.0,,mm GBP,"GSK FY2025 results (6-K 0001654954-26-000892), turnover by product: Augmentin 602, Other Respiratory 541, Other General Medicines 1,975, GBP mm","Other General Medicines holds Avodart/Duodart (297) and dermatology (204), by the 20-F"
GSK,General Medicines other,base,revenue_growth_pct,-0.08186,,"annual, near term","the same lines a year earlier (FY2024 results, 6-K 0001654954-25-001166): 635, 586 and 2,175, together 3,396, so -8.2% in GBP",81% of Other General Medicines is sold outside the US and Europe
GSK,General Medicines other,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat: a collection of products does not renew itself, the launch line does that"
GSK,General Medicines other,base,growth_fade_years,5,,years,convention: a recent rate describes next year,
GSK,General Medicines other,base,forecast_start_year,2026,,year,the year after the last reported full year,
