# TSHA-102 (TSHA).
# TSHA-102 is Taysha's self-complementary AAV9 gene therapy carrying a MECP2 minigene under miRARE auto-regulation, given once by lumbar intrathecal injection (1x10^15 total vg) for Rett syndrome. The registrational study is the REVEAL pivotal trial (Part B of NCT05606614): single-arm and open-label in 17 females aged 6 to <22 in the developmental plateau population with a MECP2 loss-of-function mutation. The primary endpoint is the share who gain or regain at least one of 28 natural-history milestones, with 33% the success bar against a 6.7% null. Dosing finished in June 2026, and a 6-month interim is the planned BLA basis, with topline data and FDA feedback in 1H 2027. ASPIRE (NCT07480564, 4 girls aged 2 to <4) supplies safety for a planned label of age 2 and over (8-K 0001193125-26-344594). Price anchor: Itvisma, Novartis's one-time intrathecal AAV9 therapy for SMA from age 2 into adulthood, at its $2.59mm WAC, less the 0.36 Zolgensma discount the book's NTLA-2002 seed measured. Net is $1.658mm a course. Uptake anchor: Daybue, the only approved Rett therapy. More than 1,500 US patients had started it by October 2024, 18 months after launch: 25.3% of the 5,940 female Rett patients counted in US claims. TSHA-102 is set to treat the same share of its eligible pool by the end of year five, which peaks at 483 patients and about $801mm US net in 2032. Taysha holds unencumbered rights since Astellas's option lapsed in October 2025. It pays Abeona a high single-digit royalty, netted at 7% over Alnylam's 0.1363 margin (the book's cost-block proxy for rare-disease genetic medicine companies), so Taysha keeps 0.486427 of the asset.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
TSHA,TSHA-102,,US,base,beta,,1.73,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (2.09 raw)",
TSHA,TSHA-102,,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines, the book's comparator for the other pre-revenue genetic medicine companies (Dyne, Capricor, Intellia, Solid), and the margin the verified economics share of 0.486427 was struck on. TSHA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when TSHA files a cost of sales"
TSHA,TSHA-102,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
TSHA,TSHA-102,,US,base,debt_weight,,0.030306,,,"Taysha's 10-Q for the quarter to 2026-06-30 (0001193125-26-344610, balance sheet and Notes): Tranche A of the 2025 Trinity term loans, $50.0mm principal (carried at fair value, $49.3mm), with a further $25.0mm available only on a BLA submission; over debt plus market capitalisation: 325.8mm shares at the $4.91 close of 2026-09-23",a reading of the balance sheet
TSHA,TSHA-102,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
TSHA,TSHA-102,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines, the book's comparator for the other pre-revenue genetic medicine companies (Dyne, Capricor, Intellia, Solid), and the margin the verified economics share of 0.486427 was struck on. TSHA has no product revenue of its own to read a ratio from. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when TSHA files a cost of sales"
TSHA,TSHA-102,,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines, the book's comparator for the other pre-revenue genetic medicine companies (Dyne, Capricor, Intellia, Solid), and the margin the verified economics share of 0.486427 was struck on. TSHA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when TSHA files a cost of sales"
TSHA,TSHA-102,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
TSHA,TSHA-102,,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines, the book's comparator for the other pre-revenue genetic medicine companies (Dyne, Capricor, Intellia, Solid), and the margin the verified economics share of 0.486427 was struck on. TSHA has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when TSHA files a cost of sales"
TSHA,TSHA-102,,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines, the book's comparator for the other pre-revenue genetic medicine companies (Dyne, Capricor, Intellia, Solid), and the margin the verified economics share of 0.486427 was struck on. TSHA has no product revenue of its own to read a ratio from. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when TSHA files a cost of sales"
