# Etavopivat A (NVO).
# Etavopivat (NN7535, formerly FT-4202) is an oral, once-daily pyruvate kinase R activator that Novo owns through Forma Therapeutics, bought in 2022. "Etavopivat A" is the book's name for it: a formulation arm label in the extension NCT06609226, not a second molecule. HIBISCUS (NCT04624659, primary completion 2026-02-06) randomised 385 people aged 12 and over with sickle cell disease to 400 mg or placebo for 52 weeks and met both co-primary endpoints: the annualised crisis rate fell 27% and 48.7% against 7.2% gained more than 1 g/dL of haemoglobin at week 24. Novo plans its first submission in the second half of 2026 (6-K 0001171843-26-002549, 2026-04-20); no filing acceptance was found, so the engine's Phase 3 probability applies. HIBISCUS 2 (NCT06612268, 510 patients, primary completion 2027-08-27) is recruiting and the filing does not wait for it.
# What is modelled: US sickle cell disease aged 12 and over, the population a label written from HIBISCUS would name, priced on Adakveo's 2025 CMS Part B basis and sized to GlobalData's forecast of $174mm in 2032, on the launch shape Oxbryta's Medicare series measures. Not modelled: thalassaemia, whose only Phase 3 is the long-term extension NCT06609226.
#
# Written 2026-09-24 on branch claude/youthful-curie-bux19h; verified 2026-09-26, when every source was reopened. Corrections then: the brand column set to the book's name, Etavopivat A (the file had been skipped by the loader); the price moved to Adakveo's 2025 CMS Part B basis; the pool widened from the trial's entry window (6.8% of patients) to the label population aged 12 and over, because the old anchor applied Newman's 4.6%, a share of all people with the disease, to a pool one fifteenth that size, and neither GlobalData's forecast nor Oxbryta's own record fits inside it; uptake re-solved to GlobalData's 2032 figure; the ramp refitted on the engine's own path to Oxbryta's Medicare series; the incidence source corrected to the osivelotor seed it matches.
# Company-level rows copied from nvo_awigli.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVO,Etavopivat A,,US,base,beta,,0.85,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.78 raw)",
NVO,Etavopivat A,,US,base,cogs_pct,,0.1902,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Etavopivat A,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Etavopivat A,,US,base,debt_weight,,0.015446,,,"filed TotalDebt of 130,958mm DKK at 2025-12-31 over debt plus market capitalisation",
NVO,Etavopivat A,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
NVO,Etavopivat A,,US,base,other_costs_pct,,-0.021125,,share of revenue,"derived: NVO turned 25.95% of revenue into free cash over 2023 to 2025 against the 49.5% its filed expense lines leave. Restated before interest: NVO paid 4,522mm DKK of interest inside operating cash flow over 2023 to 2025, 0.54% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 29.59% to 29.04%. Restated at replacement capex: NVO spent 133,110mm DKK on plant over 2023 to 2025 against 19,625mm DKK of plant depreciation, 13.64% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 29.04% to 11.89%. Restated with selling costs: SG&A now carries NVO's filed selling or distribution costs, 20.81% of revenue this charge was absorbing, so it falls from 11.89% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 41.40% pre-tax margin where the cash over 2023 to 2025 supports 50.32%, so the charge rebuilds at -8.92%. It was held at nil, but NVO books 6,529mm DKK of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000353278-26-000012), 2.11% of revenue, so the charge stops at that floor: -2.11%. Restated without working capital build: over 2023 to 2025 NVO's cash flow statement shows receivables up 20,296mm DKK, inventories up 25,235mm DKK, payables up 15,158mm DKK, a working capital build of 30,373mm DKK, 3.65% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at the amortisation floor, -2.11% where the filed figures rebuild it at -8.92%, and stays there.","amortisation, restructuring and capital spending, none of which the filed lines carry"
NVO,Etavopivat A,,US,base,rd_pct,,0.1684,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Etavopivat A,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Etavopivat A,,US,base,sga_pct,,0.227393,,share of revenue,"NVO FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, 5,969mm DKK for FY2025, leaves out the 64,310mm DKK of selling or distribution costs NVO reports as a line of its own, tagged under its own concept SellingExpenseAndDistributionCosts (20-F 0000353278-26-000012, SEC financial statement data sets), so SG&A rises from 1.93% to 22.74% of revenue.",
NVO,Etavopivat A,,US,base,tax_rate,,0.2044,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
NVO,Etavopivat A,,US,base,therapy_mode,,,chronic,,"Novo Nordisk 6-K, 2026-04-20 (0001171843-26-002549): etavopivat is an oral, once-daily PKR activator; HIBISCUS gave 400 mg or placebo for 52 weeks on top of standard of care. The extension NCT06609226 (registry) keeps patients on long-term treatment","A daily oral taken for as long as it works, the same mode the osivelotor seed takes. discontinuation_pct carries who stops"
NVO,Etavopivat A,,US,base,list_price_per_patient,,0.402332,,mm DKK per patient-year,"Adakveo (crizanlizumab, HCPCS J0791), CMS Medicare Part B 2025 from the quarterly companion bf6a5b3b-31ee-4abb-b1ad-2607a1e7510a, row '2025 (Q1-Q4)': $26,039,258.82 over 424 beneficiaries = $61,413.35 a beneficiary. Converted at the ECB rate of 0.152643266 USD per DKK on 2026-09-23 (fetchers/fx_ecb.py, the rate the other Novo seeds use): DKK 402,332.50","Judgement on the comparator. Adakveo is the one branded disease-modifying drug on the US market labelled to cut sickle cell crises (openFDA label BLA761128, effective 2026-06-04), and a crisis rate is a co-primary endpoint of HIBISCUS. Part B is its main channel: its 2025 Part D row is 84 beneficiaries at $65,238.48 (quarterly companion 4ff7c618-4e40-483a-b390-c8a58c94fa15), against 424 in Part B. The 2024 basis was $62,060. No oral comparator in the same patients has a 2025 row: Pfizer withdrew Oxbryta in September 2024 (Q4 2024 8-K exhibit 99, 0000078003-25-000017), and Endari, a glutamine powder, reads $12,644.90 in Part D 2025. Mitapivat, the first PKR activator, is not approved in sickle cell disease (openFDA labels NDA216196: Pyrukynd in PK deficiency, Aqvesme in thalassaemia), and its Part D figure of $242,256.47 a beneficiary in 2025 is an ultra-rare price, not one for a population of 100,000. The net here, $57,937, sits within 2% of Oxbryta's measured net on the osivelotor seed ($56,990). The case against: an infused monthly antibody prices an oral daily pill"
NVO,Etavopivat A,,US,base,gross_to_net_pct,,0.056604,,share taken off list,"house convention on a CMS Part B anchor (backend/gross_to_net.py): Part B pays 106% of the average sales price (Social Security Act section 1847A), which is already net of discounts, so only the add-on comes off: 1 - 1/1.06 = 0.056604","Direction checked: 0.056604 is the share taken off, so net is 94.34% of the Part B figure, $57,937 or DKK 379,559 a patient-year. The 0.5 Part D convention does not apply to a Part B anchor. The case against: a Part D oral in a mostly Medicaid population pays Medicaid rebates of its own, so the realised discount on a launch price would be deeper"
