# Blincyto (AMGN). $1,559mm in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier. Both figures come from the SEC financial statement data sets, tagged
# in the same filing, so the pair needs no reading of a table to establish.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AMGN,Blincyto,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
AMGN,Blincyto,,US,base,base_revenue,,1559.0,,mm USD,"AMGN FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
AMGN,Blincyto,,US,base,revenue_growth_pct,,0.174471,,"annual, near term","the 2026 the filed quarters imply against the FY2025 reported 1,559mm: the first half of 2026 as reported, 887mm, and the second half at the second quarter's pace, 472mm twice, 1,831mm. Amgen 10-Q for the quarter to 2026-06-30 (0000318154-26-000126), Note 3 revenues table, BLINCYTO","replaces +28.2%, FY2025 over FY2024, which predates the first half of 2026"
AMGN,Blincyto,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
AMGN,Blincyto,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
AMGN,Blincyto,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
AMGN,Blincyto,,US,base,forecast_years,,11,,years,set to run past the 2031 loss of exclusivity and through the erosion tail,
AMGN,Blincyto,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
AMGN,Blincyto,,US,base,cogs_pct,,0.3275,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Blincyto,,US,base,sga_pct,,0.1918,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Blincyto,,US,base,rd_pct,,0.1979,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,Blincyto,,US,base,other_costs_pct,,-0.117004,,share of revenue,"derived and found to be nil: AMGN's filed expense lines already leave less than the 26.28% of revenue it turned into free cash over 2023 to 2025, so there is nothing left to charge. Restated before interest: AMGN paid $8,600mm of interest inside operating cash flow over 2023 to 2025, 8.74% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so adding it back only widens a gap the filed lines already leave, and the charge stays nil. Restated at replacement capex: AMGN spent $4,066mm on plant over 2023 to 2025 against $2,142mm of plant depreciation, 1.96% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: AMGN's free cash flow over 2023 to 2025 carried $1,800mm of US transition tax (2025 instalment 1,800mm). None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 28.28% pre-tax margin where the cash over 2023 to 2025 supports 43.05%, so the charge rebuilds at -14.77%. It was held at nil, but AMGN books $4,300mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000318154-26-000010), 11.70% of revenue, so the charge stops at that floor: -11.70%.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
AMGN,Blincyto,,US,base,tax_rate,,0.1236,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
AMGN,Blincyto,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
AMGN,Blincyto,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
AMGN,Blincyto,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.41 raw)",
AMGN,Blincyto,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",
AMGN,Blincyto,,US,base,debt_weight,,0.194802,,,"filed TotalDebt of $57,304mm over debt plus market capitalisation: 540.6mm shares at 2026-07-30 at the $438.12 close of 2026-09-01",
