# Mavyret (ABBV). $1,317mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients.
#
# The 2026 anchor is the first half as reported, $646mm, plus the second
# quarter's $295mm twice: $1,236mm, -6.2% on FY2025. Both from the
# 10-Q for the quarter to 30 June 2026 (0001551152-26-000026).
#
# Loss of exclusivity. The loader reads the date from the book.
# AbbVie states no US loss of exclusivity date for Mavyret in the FY2025 10-K
# (0001551152-26-000008) or in either 2026 10-Q (0001551152-26-000017,
# 0001551152-26-000026). Its patent discussion dates Skyrizi and Rinvoq only and then
# says: "AbbVie believes that no other single patent, license, trademark (or related
# group of patents, licenses, or trademarks), is material in relation to the company's
# business as a whole."
#
# The book sets 2035-06-05 on the Orange Book drug substance patent 9321807
# (2035-12-05 with its paediatric extension). RE48923, also flagged drug
# substance, runs to 2035-05-08, and the product patent 11246866 to 2036-06-24.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ABBV,Mavyret,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
ABBV,Mavyret,,US,base,base_revenue,,1317.0,,mm USD,"AbbVie FY2025 10-K (0001551152-26-000008), MD&A net revenues table: Mavyret United States $635mm, International $682mm, total 1,317mm in FY2025 and 1,311mm in FY2024",the anchor
ABBV,Mavyret,,US,base,revenue_growth_pct,,-0.061503,,"annual, near term","the 2026 the filed quarters imply against the FY2025 reported 1,317mm: the first half of 2026 as reported, 646mm, and the second half at the second quarter's pace, 295mm twice, 1,236mm. AbbVie 10-Q for the quarter to 2026-06-30 (0001551152-26-000026), MD&A net revenues table, Mavyret; the same figures in the results exhibit (8-K 0001551152-26-000023, filed 2026-07-31)",the book's 2026 anchor convention; the rate fades to nought over five years
ABBV,Mavyret,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
ABBV,Mavyret,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
ABBV,Mavyret,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
ABBV,Mavyret,,US,base,forecast_years,,15,,years,"set to run past the 2035 loss of exclusivity the book holds (Orange Book drug substance patent 9321807, 2035-06-05) and through the erosion tail",
ABBV,Mavyret,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
ABBV,Mavyret,,US,base,cogs_pct,,0.2976,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,sga_pct,,0.2291,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,rd_pct,,0.1487,,share of revenue,"ABBV FY2025, computed from the filed lines","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,tax_rate,,0.1081,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,beta,,0.53,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.29 raw)","ABBV's own, as every ABBV asset carries"
ABBV,Mavyret,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","ABBV's own, as every ABBV asset carries"
