# SRP-9003 (SRPT).
# SRP-9003 (bidridistrogene xeboparvovec) is Sarepta's one-time AAVrh74 gene therapy that restores beta-sarcoglycan in limb-girdle muscular dystrophy type 2E/R4. EMERGENE (NCT06246513) is an open-label, single-arm Phase 3 in 17 (registry count) ambulatory and non-ambulatory patients aged 4 and over, primary endpoint beta-sarcoglycan expression at day 60; primary completion 2025-03-04 (actual). It is the one LGMD programme Sarepta kept in the July 2025 restructuring, but it has been on FDA clinical hold since July 2025, and in December 2025 the FDA said it needs sirolimus immunosuppression data (ENDEAVOR Cohort 8, 12-week data Q1 2027) before it will accept a BLA, so launch is modelled from 2029. Price anchor: Elevidys, Sarepta's own AAVrh74 gene therapy, at its $3.2mm list, less Sarepta's filed FY2025 gross-to-net of 21.4%. Pool: 0.86 per million (Fanin 1997, the rate the Nationwide Children's natural-history paper cites) on 340.1mm US residents, 292 patients, 86.1% of them AAVrh74-seronegative. Uptake anchor: Elevidys captured 3.5% of its eligible untreated DMD pool a year in 2025 (revenue-parity patients), held at a multiple of 1.0: about 8 patients and $20mm a year.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
SRPT,SRP-9003,,US,base,beta,,0.99,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.98 raw)",
SRPT,SRP-9003,,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines from a year of profit; Sarepta's own FY2025 lines are a loss of $713mm on $2,198mm of revenue after the Elevidys safety events and its restructuring, so they give no steady-state margin. Sarepta's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when SRPT files a cost of sales"
SRPT,SRP-9003,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SRPT,SRP-9003,,US,base,debt_weight,,0.344508,,,"Sarepta's 10-Q for the quarter to 2026-06-30 (0001193125-26-335003, Notes): about $158.6mm principal of 1.25% convertible notes due 2027 and $893.4mm of 4.875% notes due 2030 after the 2025 exchanges, $1,052.0mm (carried at $847.6mm), with nothing outstanding on the revolving credit facility; over debt plus market capitalisation: 105.6mm shares at the $18.95 close of 2026-09-23",a reading of the balance sheet
SRPT,SRP-9003,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
SRPT,SRP-9003,,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines from a year of profit; Sarepta's own FY2025 lines are a loss of $713mm on $2,198mm of revenue after the Elevidys safety events and its restructuring, so they give no steady-state margin. Sarepta's own filed lines are a loss, so they give no margin to read. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when SRPT files a cost of sales"
SRPT,SRP-9003,,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines from a year of profit; Sarepta's own FY2025 lines are a loss of $713mm on $2,198mm of revenue after the Elevidys safety events and its restructuring, so they give no steady-state margin. Sarepta's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when SRPT files a cost of sales"
SRPT,SRP-9003,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
SRPT,SRP-9003,,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines from a year of profit; Sarepta's own FY2025 lines are a loss of $713mm on $2,198mm of revenue after the Elevidys safety events and its restructuring, so they give no steady-state margin. Sarepta's own filed lines are a loss, so they give no margin to read. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when SRPT files a cost of sales"
SRPT,SRP-9003,,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease genetic medicine company with its own filed FY2025 lines from a year of profit; Sarepta's own FY2025 lines are a loss of $713mm on $2,198mm of revenue after the Elevidys safety events and its restructuring, so they give no steady-state margin. Sarepta's own filed lines are a loss, so they give no margin to read. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when SRPT files a cost of sales"
SRPT,SRP-9003,,US,base,therapy_mode,,,one_time,,"Book trials table: NCT05876780 'A Gene Transfer Single Dose Study to Evaluate the Safety, Tolerability and Efficacy of SRP-9003'; Sarepta 10-Q for Q2 2026 (0001193125-26-335003, filed 2026-08-05, MD&A): SRP-9003 'is designed to transfect a gene that codes for and restores beta-sarcoglycan protein', AAVrh.74 vector, the same as SRP-9001 (ELEVIDYS)","A single IV infusion of an AAV vector, not repeated (AAV dosing raises neutralising antibodies). Billed once, so each year's treated patients are that year's revenue, as the book models Casgevy and lonvo-z (NTLA-2002)"
SRPT,SRP-9003,,US,base,list_price_per_patient,,3.2,,mm USD per course (one infusion),"ELEVIDYS (delandistrogene moxeparvovec) wholesale acquisition cost $3.2mm per treatment: BioPharma Dive, 'Sarepta prices Duchenne gene therapy at $3.2M' (biopharmadive.com/news/sarepta-duchenne-elevidys-price-million-gene-therapy/653720/); Managed Healthcare Executive, 'First Gene Therapy for Duchenne Priced at $3.2 Million' (managedhealthcareexecutive.com/view/first-gene-therapy-for-duchenne-priced-at-3-2-million). Read from search summaries; pages not opened. Book: drug_demand holds no CMS rows for ELEVIDYS (lookup.py demand Elevidys returns nothing)","JUDGEMENT: parity with ELEVIDYS. Sarepta has set no price for SRP-9003. ELEVIDYS is Sarepta's only marketed gene therapy and uses the same AAVrh74 vector, the same manufacturing network (Catalent, Aldevron per the 10-Q) and the same neuromuscular infusion centres, so it is the house precedent. A published WAC beats the CMS convention, and there is no CMS row anyway. Case for higher: LGMD2E/R4 is roughly 40 times rarer than DMD (292 against 11,952 US patients), and ultra-rare one-time gene therapies list higher (e.g. Lenmeldy and Kebilidi, not sourced here); adults need more vector at a weight-based dose. Case for lower: an accelerated approval on beta-sarcoglycan expression rather than function, the AAVrh74 liver-safety record (ELEVIDYS boxed warning and non-ambulatory indication removed; a fatal case in the SRP-9004 LGMD trial), and payer resistance after ELEVIDYS"
