# Opevesostat (MK-5684): an oral CYP11A1 inhibitor in metastatic castration-resistant prostate cancer after a novel hormonal agent,
# held under an exclusive global license from Orion. Built on the book's prostate pool narrowed to post-NHA patients, priced at
# Xtandi's Medicare spend and ramped on Enhertu's fitted oncology curve.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Opevesostat,,US,base,therapy_mode,,,chronic,,"an oral agent in metastatic disease compared against an alternative NHA (NCT06136650, NCT06136624), taken until progression as the NHAs it is compared with are",
MRK,Opevesostat,,US,base,list_price_per_patient,,0.096157,,mm USD,"the price is Xtandi's $96,157 a Medicare Part D beneficiary in 2024 (CMS, drug_demand): enzalutamide is in the alternative-NHA comparator arm of both phase 3 trials","a comparator, not a price this product has. Erleada's $104,603 and Nubeqa's $86,211 in the same year bracket it"
MRK,Opevesostat,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates in a competitive class, as every pipeline seed in this book takes it",
MRK,Opevesostat,,US,base,discontinuation_pct,,0.8,,share stopping a year,"first-line NHA treatment in mCRPC lasted a median 5.1 months among 5,213 US patients (Flatiron, 2013 to 2019; Advances in Therapy 2021, doi 10.1007/s12325-021-01823-6). At a constant hazard that stops 80% of the treated stock within a year: 1 - 0.5^(12/5.1)","opevesostat is used after an NHA, where therapy runs shorter than first line, so this does not flatter the stock. The book's other mCRPC seed, pasritamig, takes the 0.55 solid tumour convention instead"
MRK,Opevesostat,,US,base,forecast_start_year,,2030,,year,"MK-5684-004 (NCT06136650) has the earliest primary completion among this asset's phase 3 trials, 2028-05-10, plus the time to file and launch: the book's pipeline seeds put the first full year two calendar years after the earliest phase 3 primary completion","no Merck filing states a submission or PDUFA date: both 2026 10-Qs (0001628280-26-029802, 0000310158-26-000212) list it in Phase 3, not under review"
MRK,Opevesostat,,US,base,economics_share,,1.0,,,"MRK FY2025 10-K (0000310158-26-000063), Note 3: in July 2024 Merck and Orion mutually exercised the option converting their co-development and co-commercialization agreement for opevesostat into an exclusive global license for Merck, which assumed all past and future development and commercialization expenses","Merck holds all rights and pays Orion royalties tiered annually from a low double-digit rate up to a rate in the low twenties on net sales, plus up to $30mm of development, $625mm of regulatory and $975mm of sales milestones. The royalty is not netted here. Orion keeps clinical and commercial manufacture"
MRK,Opevesostat,Prostatic Neoplasms,US,base,prevalence,,313780,,patients,"313,780 US prostate cancer diagnoses in 2025 (American Cancer Society), the pool jnj_pasritamig.csv uses","set equal to incidence, as the pasritamig seed sets the same pool"
MRK,Opevesostat,Prostatic Neoplasms,US,base,incidence,,313780,,patients a year,"313,780 US prostate cancer diagnoses in 2025 (American Cancer Society), the pool jnj_pasritamig.csv uses",
MRK,Opevesostat,Prostatic Neoplasms,US,base,eligible_pct,,0.0489,,share of the pool,"11.5% of diagnoses reach mCRPC, about 36,100 a year (Scher et al. 2015, as jnj_pasritamig.csv cites it), narrowed to the 42.6% treated after an NHA. Among 6,301 US mCRPC patients diagnosed 2018 to 2023 (Flatiron; Efstathiou et al., J Clin Oncol 2025;43(5 suppl):74), 78% received a line of therapy, 29% were NHA-experienced before mCRPC, 75% of first lines were an NHA and 48% of treated patients reached a second line: 0.78 x (0.29 + 0.71 x 0.75 x 0.48) = 42.6%","about 15,300 patients a year, the population both phase 3 trials enrol: progression after one NHA, before (MK-5684-004) or after (MK-5684-003) a taxane. NHA use in mHSPC rose from 11% to 39% between the 2018 and 2022 cohorts in the same study, so this share is rising"
MRK,Opevesostat,Prostatic Neoplasms,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Opevesostat,Prostatic Neoplasms,US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Opevesostat,Prostatic Neoplasms,US,base,penetration_peak_pct,,0.2,,share of the untreated pool per year,"a share of the pool above, set against what the molecule has to displace: between pasritamig's fitted 15.2% for a post-NHA T-cell engager (jnj_pasritamig.csv) and camizestrant's 25% for an oral agent replacing an injection (azn_camizestrant.csv)","a fifth of the untreated pool a year. Opevesostat is compared head to head with the practice it replaces: consecutive NHA use after a first NHA was common in the same Flatiron cohort. It is oral and daily like that incumbent, which is the case for the upper end, but it needs dexamethasone and fludrocortisone replacement (both listed as interventions in NCT06136650) and meets Pluvicto, PARP inhibitors in HRR-mutated disease and the taxanes in the same line, which holds it under camizestrant. The model reaches 13% of the pool in its second year, against pasritamig's fitted 10.9%"
MRK,Opevesostat,Prostatic Neoplasms,US,base,exus_multiple,,1.122987,,x US,"Merck's FY2025 10-K (0000310158-26-000063) sales table: Lynparza alliance revenue of $767mm international against $683mm US, a ratio of 1.12. Lynparza is Merck's only marketed product with a prostate cancer label and, like opevesostat, an oral agent","a revenue ratio, so lower ex-US prices are already in it. Keytruda's 0.68 is the alternative if the analogue is taken as the oncology franchise"
MRK,Opevesostat,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Opevesostat,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Opevesostat,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Opevesostat,,US,base,other_costs_pct,,-0.013576,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%. Restated without working capital build: over 2023 to 2025 MRK's cash flow statement shows receivables up $2,482mm, inventories up $2,831mm, payables down $88mm, a working capital build of $5,401mm, 2.85% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 2.06% to -1.23%. Rebuilt on the book's own ratios on 0.3610 of the revenue they are struck on, against 0.3746 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is -1.3576%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
