# Berobenatide (PFE): Metsera's ultra-long-acting GLP-1 receptor agonist peptide (MET-097i, PF-08653944), weekly and monthly, bought with Metsera in November 2025 and in Phase 3 for chronic weight management.
# Built as a chronic therapy on the obesity pool every obesity asset in this book shares, at the book's incretin price, persistence and Mounjaro launch curve, launching in 2029 off VESPER-4 with Eliquis's ex-US ratio, and held to Metsera management's risk-adjusted forecast for its whole pipeline.
# Obesity is the only indication, because the type 2 diabetes (NCT07400653) and sleep apnoea (NCT07823608) Phase 3 studies enrol people this pool already counts.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Berobenatide,,US,base,therapy_mode,,,chronic,,"continuing weight management: VESPER-4 (NCT07311850) doses once weekly to week 64 and NCT07595549 runs to week 72, and Pfizer describes berobenatide as a potential first-in-class monthly GLP-1 RA for chronic weight management (Q2 2026 results, 8-K exhibit 99, 0000078003-26-000094)","continuing therapy, not a one-time treatment"
PFE,Berobenatide,,US,base,list_price_per_patient,,0.006642,,mm USD per year,"comparator estimate, reused from lly_eloralintide.csv: incretins in CMS Part D 2024, Ozempic $6,642, Mounjaro $7,084 and Wegovy $5,689 a beneficiary (drug_demand), median taken","CMS Part D spending is gross of manufacturer rebates, so this is an upper bound and the haircut below makes it a net price. Pfizer's September 2025 pricing agreement with the US government (FY2025 10-K, 0000078003-26-000026) puts no figure on launch prices, so nothing is taken off for it"
PFE,Berobenatide,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates in a competitive Part D retail class, as every obesity seed in this book takes it","a $3,321 net price a year, the same one the book's Zepbound capture rate is measured at. Pfizer's own filed product revenue deductions were $36,374mm against $51,663mm of product revenue in FY2025 (10-K 0000078003-26-000026), 41% of gross across the whole book, which a heavily rebated incretin class would sit above"
PFE,Berobenatide,,US,base,discontinuation_pct,,0.648,,share of the stock per year,"reused from lly_eloralintide.csv: GLP-1 discontinuation at one year in adults with overweight or obesity and no type 2 diabetes, 64.8% (JAMA Network Open, January 2025, 125,474 adults, US EHR data 2018 to 2023)","Pfizer reports low gastrointestinal adverse events and discontinuations in the Phase 2b VESPER-1, 2 and 3 studies (8-K exhibit 99, 0000078003-26-000094) but gives no rate, so the class figure stands. Monthly dosing may hold patients longer; no data yet says by how much"
PFE,Berobenatide,,US,base,net_price_decline_pct,,0.057,,"annual, real","reused from lly_eloralintide.csv: Lilly's reported change in US realised prices, -7% in Q4 2025, -7% in Q1 2026 and -3% in Q2 2026, a mean of -5.7%, the only filed measure of the incretin class's US price trend",competitive and payer pressure only; loss of exclusivity is applied separately. Pfizer reports no obesity price of its own
PFE,Berobenatide,,US,base,forecast_start_year,,2029,,year,"the earliest primary completion among this asset's Phase 3 trials, VESPER-4 (NCT07311850, once weekly, 3,578 enrolled) on 2027-09-21, plus the time to file and launch: a submission around the turn of 2028 and a standard review put the first full year of revenue in 2029. The type 2 diabetes study (NCT07400653) completes on 2027-10-12","no Pfizer filing states a submission or PDUFA date: the FY2025 10-K lists MET-097i (PF-08653944) for chronic weight management among new drug candidates in late-stage development, and neither 2026 10-Q (0000078003-26-000054, 0000078003-26-000095) lists a filing. Metsera management's own forecast booked first revenue in 2028 (DEFM14A 0001193125-25-242494)"
PFE,Berobenatide,,US,base,economics_share,,1.0,,share of the asset,"Pfizer holds all rights: it acquired Metsera on 13 November 2025 for $65.60 a share in cash plus a CVR of up to $20.65 a share (up to $2.3bn), of which $6.40 a share is payable on FDA approval of monthly MET-097i monotherapy (FY2025 10-K Note 2A, 0000078003-26-000026)","not netted here: the former Zihipp shareholders are owed development, regulatory and commercial milestones and 'low-single digit royalties on net product sales' of MET-097i and MET-233i (same note). The monthly approval CVR is about $713mm, $6.40 of the $20.65 pro rata on $2.3bn, and the Phase 3 start payment and the combination approval payment belong to MET-233i"
PFE,Berobenatide,,US,base,loe_year,,2041,,year,"Metsera's merger proxy (DEFM14A 0001193125-25-242494): the in-licensed composition of matter family for MET-097i, pending in the US and 16 other jurisdictions, is expected to expire in 2041 excluding patent term adjustment or extension; Metsera's own dosing and weight-loss method applications would run to 2045","the molecule patent sets the LOE. A term extension could add years inside the 14-year cap from approval, so 2041 is a floor. It matches the engine's 12-year default from a 2029 launch, now with a filed basis"
PFE,Berobenatide,Obesity,US,base,prevalence,,107592242,,patients,"CDC NHANES August 2021 to August 2023: 40.3% of US adults 20 and over have obesity (BMI of 30 or more), applied to the US resident population 18 and over, 266,978,268 (Census SCPRC-EST2024-18+POP, 1 July 2024), as lly_eloralintide.csv carries it","the same pool every obesity asset in this book uses. VESPER-4 also enrols BMI 27 to 30 with a weight-related comorbidity, which the pool leaves out, so it is a floor on the label population"
PFE,Berobenatide,Obesity,US,base,eligible_pct,,1.0,,share of the pool,"VESPER-4 (NCT07311850) enrols a BMI of 30 or more, the prevalence threshold, or 27 to 30 with a weight-related comorbidity, so the pool and the trial criterion coincide at 30 and over","the narrowing belongs in penetration, as in the other obesity seeds"
