# Intismeran autogene (V940, mRNA-4157): an individualised neoantigen therapy shared equally with Moderna, given as one adjuvant
# course with Keytruda. Modelled in resected stage IIB to IV melanoma, whose phase 3 met its primary endpoint in August 2026, priced
# per course at Keytruda's Medicare Part B spend. The phase 3 in resected NSCLC is left out for want of a sourced US pool.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Intismeran Autogene,,US,base,therapy_mode,,,chronic,,"a single adjuvant course, run as chronic with every patient stopping inside the year (discontinuation 1.0 below), which the engine documents as the same revenue build as one_time: the year's new patients times the price of a course","chosen over one_time so cost of sales rides as Merck's filed share of revenue, which is eroded with revenue after LOE. One_time needs a per-patient cost of goods, which is not disclosed, and charges it on patient counts the erosion does not reduce, which turned the terminal value negative in the dry run"
MRK,Intismeran Autogene,,US,base,discontinuation_pct,,1.0,,share stopping a year,"intismeran 1 mg every three weeks for up to nine doses (INTerpath-001, as Merck and Moderna described it on 19 August 2026): the course ends within 24 weeks, so each patient is billed for one course",
MRK,Intismeran Autogene,,US,base,list_price_per_patient,,0.079464,,mm USD per course,"the price is Keytruda's $79,464 a Medicare Part B beneficiary in 2024 (CMS, drug_demand): no individualised neoantigen therapy is priced anywhere, and the course is given inside the year of adjuvant Keytruda it is added to","a comparator, not a price this product has. It prices the course at parity with a year of the backbone, which a manufactured-per-patient product may well exceed"
MRK,Intismeran Autogene,,US,base,gross_to_net_pct,,0.056604,,share off list,"Social Security Act section 1847A: Medicare Part B pays average sales price plus 6%, and average sales price is already net of manufacturer rebates, discounts and chargebacks other than Medicaid's. The CMS Part B spend per beneficiary therefore sits 6% above a net price, and 1 - 1/1.06 = 5.66%","for review: the book's other Part B comparators (Imfinzi, Trodelvy, Tecvayli) take the 50% Part D convention, which would net off concessions average sales price has already netted"
MRK,Intismeran Autogene,,US,base,forecast_start_year,,2028,,year,"INTerpath-001 (NCT05933577) met its primary endpoint of recurrence-free survival and the key secondary endpoint of distant metastasis-free survival at a pre-specified interim analysis, announced by Merck and Moderna on 19 August 2026, and the companies said they will engage with regulators on filing submissions. The book allows two calendar years from readout to first full year",the registry's primary completion of 2029-10-26 is the final analysis and is superseded by the interim readout. No Merck filing yet carries the readout or a submission date: it came after the Q2 10-Q
MRK,Intismeran Autogene,,US,base,economics_share,,0.5,,,"MRK FY2025 10-K (0000310158-26-000063), Note 4: Merck and Moderna share costs and will share any profits equally under this worldwide collaboration",Merck's half of the asset's rNPV
MRK,Intismeran Autogene,Melanoma,US,base,prevalence,,112000,,patients,"112,000 new US melanomas of the skin estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)","set equal to incidence: INTerpath-001 enrols within 13 weeks of resection (NCT05933577), so a patient not treated in that window does not wait in the pool. The identity carries untreated patients forward regardless, which is why the peak share below is argued low enough to matter"
MRK,Intismeran Autogene,Melanoma,US,base,incidence,,112000,,patients a year,"112,000 new US melanomas of the skin estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)",
MRK,Intismeran Autogene,Melanoma,US,base,eligible_pct,,0.155,,share of the pool,"10% of melanomas are regional stage, spread to regional nodes (SEER 21, 2016 to 2022), and stage IIB and IIC are about half of the 11% diagnosed at stage II (SEER 2011 to 2015; Poklepovic and Luke, Cancer 2020, doi 10.1002/cncr.32585), about 5.5%","about 17,400 patients a year, the resected stage IIB to IV population INTerpath-001 enrolled. Resected stage IV is not in the number"
MRK,Intismeran Autogene,Melanoma,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Intismeran Autogene,Melanoma,US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Intismeran Autogene,Melanoma,US,base,penetration_peak_pct,,0.3,,share of the untreated pool per year,"a share of the pool above, set against what the molecule has to displace: between volrustomig's 20% for a crowded first-line entrant and savolitinib's 35% where no competing agent exists (azn_volrustomig.csv, azn_savolitinib.csv)","the strongest case in this batch: the first individualised neoantigen therapy with a positive phase 3, added to the adjuvant Keytruda course these patients are already offered rather than displacing it, and no approved individualised neoantigen therapy to compete with. Held under 35% because each course is manufactured per patient from tumour sequencing, and because adjuvant therapy itself is far from universal: 38.5% of US stage III patients received adjuvant immunotherapy in 2017 (NCDB; Leonard et al., J Clin Oncol 2021;39 suppl:e18758) and 32% of stage IIB and IIC patients in the first year after approval (NCDB; J Immunother Cancer 2025;13 suppl 2:A551). The pool identity will still treat every eligible patient in the long run, which those rates say is an upper bound"
MRK,Intismeran Autogene,Melanoma,US,base,exus_multiple,,0.68044,,x US,"Merck's FY2025 10-K (0000310158-26-000063) sales table: Keytruda $12,812mm international against $18,829mm US, a ratio of 0.68","in melanoma intismeran is given with Keytruda, and Keytruda's adjuvant melanoma use is the account it sells into"
MRK,Intismeran Autogene,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Intismeran Autogene,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Intismeran Autogene,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Intismeran Autogene,,US,base,other_costs_pct,,-0.012299,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%. Restated without working capital build: over 2023 to 2025 MRK's cash flow statement shows receivables up $2,482mm, inventories up $2,831mm, payables down $88mm, a working capital build of $5,401mm, 2.85% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 2.06% to -1.23%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
MRK,Intismeran Autogene,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Intismeran Autogene,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","market-level, shared with the CASGEVY model"
MRK,Intismeran Autogene,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"market-level, shared with the CASGEVY model"
MRK,Intismeran Autogene,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted (0.67 raw + 0.33)","five-year weekly is the conventional window; the two-year one puts JNJ at -0.03, which is a real measurement and not a forward input"
MRK,Intismeran Autogene,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",market-level for investment-grade pharma; edit where the issuer's own spread is known
