# Cobenfy (BMY). 155mm USD in FY2025, +1450% on FY2024.
#
# A launch still climbing, so the trailing rate is not the forecast. What is sourced
# is the peak and the year it is expected in; the growth rate is solved backwards from
# those two, and the fade runs to the peak year rather than to the usual five.
#
# Peak 3,900mm USD in 2032.
#
# Ratios and discount rate are BMY's own, from bmy_abecma.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BMY,Cobenfy,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
BMY,Cobenfy,,US,base,base_revenue,,155.0,,mm USD,BMY FY2025 reported product revenue,the anchor
BMY,Cobenfy,,US,base,revenue_growth_pct,,1.076716,,"annual, near term","solved, not observed: the rate that carries 155mm to the peak below by 2032, fading to nought as it arrives","the trailing year was +1450%, which is a real rate and not a forecast: compounded it reaches many times the peak anyone expects. What is sourced here is the peak and the year, and the rate follows from them"
BMY,Cobenfy,,US,base,revenue_ceiling_musd,,3900.0,,mm USD,the consensus peak Truist cited when publishing its own USD 4.2 billion,"the estimates disagree widely on the year: Citi has USD 2.2 billion in 2030 and JPMorgan about USD 5 billion. This path passes 2,585 in 2030, between the two"
BMY,Cobenfy,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
BMY,Cobenfy,,US,base,growth_fade_years,,7,,years,"the ramp's own length: growth fades to nought in 2032, the year the peak is expected, rather than at the five-year convention",a five-year fade cannot describe a seven-year ramp; it exhausts the growth before the product arrives and the ceiling then binds years too early
BMY,Cobenfy,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
BMY,Cobenfy,,US,base,forecast_years,,12,,years,long enough to carry the ramp and a tail beyond it,"the expiry on file, 2039, is applied by the engine over the top of it"
BMY,Cobenfy,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
BMY,Cobenfy,,US,base,cogs_pct,,0.2892,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,sga_pct,,0.1508,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,rd_pct,,0.2065,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,other_costs_pct,,0.024612,,share of revenue,"derived: Bristol Myers generated $39,438mm of free cash flow on $141,500mm of revenue over 2023, 2024 and 2025, a 27.87% margin, against the 30.0% its cost of sales, SG&A and R&D leave. The smallest of these adjustments by some way: the filed lines nearly reconcile already, and the five-year aggregate of 28.5% says the window is not doing the work","amortisation of acquired intangibles, restructuring and capital spending. Small here because Bristol Myers charges most of what it spends through the three lines the data sets tag"
BMY,Cobenfy,,US,base,tax_rate,,0.1526,,effective rate,"aggregate effective rate over the 4 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,beta,,0.51,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.26 raw)","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","BMY's own, as every BMY asset carries"
BMY,Cobenfy,,US,base,debt_weight,,0.239716,,,"filed TotalDebt of $43,120mm over debt plus market capitalisation: 2,042.7mm shares at 2026-07-22 at the $66.95 close of 2026-08-27","BMY's own, as every BMY asset carries"
