# Phase transition success rates, cut by the programme attributes the one free citable
# study publishes them by. BIO / Informa Pharma Intelligence (Biomedtracker) / QLS
# Advisors, "Clinical Development Success Rates and Contributing Factors 2011-2020",
# February 2021, 12,728 phase transitions across 9,704 programmes, 1 January 2011 to
# 30 November 2020. Transcribed from the report's own tables on 2026-09-22:
# https://go.bio.org/rs/490-EHZ-999/images/ClinicalDevelopmentSuccessRates2011_2020.pdf
#
# pos_by_area.csv holds the likelihood of approval from the phase an asset is in. This
# file holds the transitions that likelihood is the product of, and that is the point of
# it: an asset that has cleared a gate is no longer at the phase's entry, and the
# transitions it has left are fewer. Oncology from Phase 3 is 47.7% x 92.0% = 43.9%,
# which is the figure pos_by_area.csv carries; a Phase 3 that has read out positive has
# only the 92.0% left. The chain reproduces the LOA exactly, so nothing moves unless
# evidence moves it.
#
# Every rate carries the n the report prints beside it, and a caller refuses a cut whose
# n is small rather than reading a 100% off three programmes. The report's own caveats
# are inherited: these are commercial rather than technical probabilities, since the
# denominator includes programmes stopped for business reasons, and they are
# all-indication rates rather than lead-indication rates.
#
# transition is the gate crossed: p1_to_p2, p2_to_p3, p3_to_nda, nda_to_approval.
# Each row is one (cut, group, transition). Cuts and where they come from:
#   area       Figure 2, page 7. The report's 14 disease areas plus All indications.
#              Named in the report's vocabulary; backend/pos_granular.py maps this
#              model's areas onto it the way pos_by_area.csv does.
#   oncology   Figure 7, page 13. Hematologic and Solid are mutually exclusive tumour
#              types; IO is a drug class that spans both.
#   prevalence Figure 8b, page 14. Non-oncology only, by the report's construction.
#              Rare is under 200,000 US patients or 1 in 2,000 in the EU; chronic high
#              prevalence is over 1 million US patients from the CMS Chronic Conditions
#              Data Warehouse. A disease between the two is in neither cut.
#   modality   Figure 10b, page 17.
#   biomarker  Figure 11, page 18. Patient preselection biomarkers in the trial design,
#              identified by the report through Trialtrove, 767 of 12,728 transitions.
#              Not inferred here from a title: a caller applies it only where a person
#              has recorded that the trial selected patients on one.
cut,group,transition,pos,n,source
area,Hematology,p1_to_p2,0.696,92,Figure 2 p7
area,Hematology,p2_to_p3,0.481,106,Figure 2 p7
area,Hematology,p3_to_nda,0.768,82,Figure 2 p7
area,Hematology,nda_to_approval,0.931,72,Figure 2 p7
area,Metabolic,p1_to_p2,0.618,136,Figure 2 p7
area,Metabolic,p2_to_p3,0.450,149,Figure 2 p7
area,Metabolic,p3_to_nda,0.636,66,Figure 2 p7
area,Metabolic,nda_to_approval,0.875,48,Figure 2 p7
area,Infectious disease,p1_to_p2,0.578,403,Figure 2 p7
area,Infectious disease,p2_to_p3,0.384,414,Figure 2 p7
area,Infectious disease,p3_to_nda,0.640,197,Figure 2 p7
area,Infectious disease,nda_to_approval,0.929,156,Figure 2 p7
area,Others,p1_to_p2,0.636,154,Figure 2 p7
area,Others,p2_to_p3,0.386,228,Figure 2 p7
area,Others,p3_to_nda,0.600,90,Figure 2 p7
area,Others,nda_to_approval,0.884,69,Figure 2 p7
area,Ophthalmology,p1_to_p2,0.716,88,Figure 2 p7
area,Ophthalmology,p2_to_p3,0.355,200,Figure 2 p7
area,Ophthalmology,p3_to_nda,0.512,82,Figure 2 p7
area,Ophthalmology,nda_to_approval,0.911,45,Figure 2 p7
area,Autoimmune,p1_to_p2,0.552,413,Figure 2 p7
area,Autoimmune,p2_to_p3,0.314,471,Figure 2 p7
area,Autoimmune,p3_to_nda,0.653,219,Figure 2 p7
area,Autoimmune,nda_to_approval,0.941,202,Figure 2 p7
area,Allergy,p1_to_p2,0.564,55,Figure 2 p7
area,Allergy,p2_to_p3,0.283,92,Figure 2 p7
area,Allergy,p3_to_nda,0.647,34,Figure 2 p7
area,Allergy,nda_to_approval,1.000,20,Figure 2 p7
area,Gastroenterology,p1_to_p2,0.467,45,Figure 2 p7
area,Gastroenterology,p2_to_p3,0.342,73,Figure 2 p7
area,Gastroenterology,p3_to_nda,0.571,35,Figure 2 p7
area,Gastroenterology,nda_to_approval,0.909,33,Figure 2 p7
