# Lilly revenue that no asset on file carries.
#
# Five lines from the revenue by product tables in the Q2 2026 10-Q (0000059478-26-000081):
# Other cardiometabolic health, Other oncology, Other immunology, Neuroscience and Other,
# each less the launch products the book already values beside it.
#
# The 10-K (0000059478-26-000013) prints the same lines for FY2025, but Lilly prints no
# full-year 2025 figure for Jaypirca, Inluriyo, Ebglyss, Omvoh or Kisunla: its FY2025
# results exhibit names only Mounjaro, Zepbound and Verzenio. So the lines are netted on the
# basis those products are anchored on, the first half of 2026 and the second half at the
# second quarter's pace, from the second-quarter results exhibit (0000059478-26-000077), and
# grow at the first half of 2026 over the first half of 2025, the only like-for-like pair.
#
# The 10-K's list of products by therapeutic area places Jaypirca and Inluriyo in oncology,
# Ebglyss and Omvoh in immunology and Kisunla in neuroscience. Foundayo was approved after
# it, and is taken to sit in Other cardiometabolic health.
#
# Margins and the discount rate are Lilly's own, copied unchanged from the Trulicity seed.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,line,scenario,key,value,text_value,unit,source,note
LLY,Other cardiometabolic health,base,base_revenue,3704,,mm USD,"a 2026 run rate, not a reported year: Other cardiometabolic health as the 10-Q prints it, 1,936mm in the first half of 2026 and 1,031mm in the second quarter, less Foundayo (98mm in the half, 98mm in the quarter), modelled as products from Lilly's second-quarter 2026 results (8-K exhibit 0000059478-26-000077); Foundayo, approved for obesity in 2026, is taken to sit here, as Lilly's only other cardiometabolic launch. The residual is 1,838mm in the half and the second half at the second quarter's pace, 933mm twice. Lilly 10-Q for the quarter to 2026-06-30 (0000059478-26-000081), Note 2 revenue by product tables","a residual: Basaglar, Humalog, Humulin and the older diabetes brands. The same run-rate anchor the launch products netted out of it take, so the two are on one basis"
LLY,Other cardiometabolic health,base,revenue_growth_pct,-0.045195,,"annual, near term","the first half of 2026 against the first half of 2025 on the same residual: 1,838mm against 1,925mm (1,925mm as printed, from the same 10-Q and exhibit)","the halves, not the full years, because Lilly prints no full-year 2025 figure for the launch products inside the line"
LLY,Other cardiometabolic health,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
LLY,Other cardiometabolic health,base,growth_fade_years,5,,years,"convention: a recent rate describes next year, not the decade after it",
LLY,Other cardiometabolic health,base,forecast_start_year,2027,,year,"the year after the 2026 run rate the anchor is taken from, as for the launch products",2026 is left out of the valuation rather than filled with an estimate of its second half
LLY,Other cardiometabolic health,base,forecast_years,10,,years,"the convention for a line: it carries no loss of exclusivity, so there is no cliff to run past",a basket takes no date; its older brands erode inside the growth it reports
LLY,Other cardiometabolic health,base,cogs_pct,0.1696,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Other cardiometabolic health,base,sga_pct,0.1702,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Other cardiometabolic health,base,rd_pct,0.2046,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Other cardiometabolic health,base,other_costs_pct,0.168654,,share of revenue,"derived: LLY turned 14.30% of revenue into free cash over 2018 to 2025 against the 38.1% its filed expense lines leave. Restated before interest: LLY paid $3,152mm of interest inside operating cash flow over 2018 to 2025, 1.17% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 28.46% to 27.30%. Restated at replacement capex: LLY spent $23,144mm on plant over 2018 to 2025 against $7,255mm of plant depreciation, 5.89% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 27.30% to 20.25%. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated without working capital build: over 2018 to 2025 LLY's cash flow statement shows receivables up $15,658mm, inventories up $10,223mm, payables and accrued liabilities up $18,257mm, a working capital build of $7,624mm, 2.83% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 20.25% to 16.87%.",
LLY,Other cardiometabolic health,base,tax_rate,0.1637,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
LLY,Other cardiometabolic health,base,risk_free,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
