# BMS-986489 (BMY).
# BMS-986489 is Bristol's fixed-dose combination of atigotatug (BMS-986012), a fully human anti-fucosyl-GM1 antibody, with nivolumab. The one Phase 3 is TIGOS (NCT06646276): randomised and double-blind, BMS-986489 plus carboplatin and etoposide against atezolizumab plus carboplatin and etoposide as first-line therapy for extensive-stage SCLC, about 530 patients, no biomarker selection, OS primary, estimated primary completion 2028-04-06. Its randomised Phase 2 (NCT04702880, results posted 2026-06-17) gave OS of 16.26 against 13.08 months over nivolumab plus chemotherapy, HR 0.80 (0.54 to 1.18).
# Modelled: the US first-line ES-SCLC line, patients started each year, priced on Tecentriq's 2025 Part B spend per beneficiary, with ex-US on Opdivo's filed split. Not modelled: limited-stage SCLC (TIGOS-LS is a Phase 2), Ono's royalty on the nivolumab component (not filed for this product, see economics_share), and the Ono profit share in Japan, South Korea and Taiwan.
#
# Written 2026-09-24 on branch claude/youthful-curie-bux19h. Verified 2026-09-26 by a reader who reopened every source: price moved to the 2025 CMS basis, stopping taken from the asset's own Phase 2, the explicit carryover row removed (prevalence equals incidence already gives it), and the unverified Phase 2 OS figures replaced with the posted results.
# Company-level rows copied from bmy_abecma.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BMY,BMS-986489,,US,base,beta,,0.51,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.26 raw)","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,cogs_pct,,0.2892,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,debt_weight,,0.239716,,,"filed TotalDebt of $43,120mm over debt plus market capitalisation: 2,042.7mm shares at 2026-07-22 at the $66.95 close of 2026-08-27","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,other_costs_pct,,0,,share of revenue,"derived: Bristol Myers generated $39,438mm of free cash flow on $141,500mm of revenue over 2023, 2024 and 2025, a 27.87% margin, against the 30.0% its cost of sales, SG&A and R&D leave. The smallest of these adjustments by some way: the filed lines nearly reconcile already, and the five-year aggregate of 28.5% says the window is not doing the work. Restated before interest: BMY paid $5,100mm of interest inside operating cash flow over 2023 to 2025, 3.60% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 2.46% to 0.00%. Restated at replacement capex: BMY spent $3,768mm on plant over 2023 to 2025 against $1,883mm of plant depreciation, 1.33% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: BMY's free cash flow over 2023 to 2025 carried $2,357mm of US transition tax (2023 instalment 567mm; 2024 instalment 799mm; 2025 instalment 991mm). None recurs, so the charge stays nil. Restated without working capital build: over 2023 to 2025 BMY's cash flow statement shows receivables up $1,026mm, inventories up $1,421mm, payables up $380mm, a working capital build of $2,067mm, 1.46% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at nil where the filed figures rebuild it at -4.68%, and stays there.","amortisation of acquired intangibles, restructuring and capital spending. Small here because Bristol Myers charges most of what it spends through the three lines the data sets tag"
BMY,BMS-986489,,US,base,rd_pct,,0.2065,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,sga_pct,,0.1508,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,BMS-986489,,US,base,tax_rate,,0.1526,,effective rate,"aggregate effective rate over the 4 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","BMY's own, as every BMY asset carries"
