# Merck Other Pharmaceutical. $2,917mm in FY2025: the pharmaceutical products Table 3
# does not show individually.
#
# A residual, and it is modelled as one. Every product large enough for Merck to name is
# an asset in this database with its own seed; this is what is left, and it is a line
# rather than an asset because it is not a product at all.
#
# Company ratios apply here, unlike Animal Health beside it: this is pharmaceutical
# revenue and it carries pharmaceutical economics.
#
# One thing to know about the anchor. Merck restated this line between its two 2026
# exhibits, from $2,917mm to $3,340mm for the same FY2025, because the June quarter
# exhibit shows fewer products individually and folds the difference in here. The
# annual exhibit's basis is the one that matches the products modelled separately, so
# the anchor and the growth rate both come from it.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,line,scenario,key,value,text_value,unit,source,note
MRK,Other Pharmaceutical,base,base_revenue,2917,,mm USD,"MRK FY2025, 8-K exhibit Table 3 (0001104659-26-009495, filed 2026-02-03)","the anchor, as the segment reports it"
MRK,Other Pharmaceutical,base,revenue_growth_pct,0.126255,,"annual, near term","8-K exhibit Table 3 (0001104659-26-009495, filed 2026-02-03): $2,917mm in FY2025 against $2,590mm in FY2024","the years, not the halves, because the halves are on a different basis. The June quarter exhibit shows fewer products individually and folds the rest in here, restating this line to $3,340mm for the same FY2025. The anchor and the rate have to describe the same set of products, and the annual exhibit is the one whose set matches the products modelled separately here"
MRK,Other Pharmaceutical,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
MRK,Other Pharmaceutical,base,growth_fade_years,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,Other Pharmaceutical,base,forecast_start_year,2026,,year,the year after the last reported full year,
MRK,Other Pharmaceutical,base,forecast_years,10,,years,the convention: a segment has no cliff to reach past,
MRK,Other Pharmaceutical,base,cogs_pct,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",
MRK,Other Pharmaceutical,base,sga_pct,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",
MRK,Other Pharmaceutical,base,rd_pct,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",
MRK,Other Pharmaceutical,base,risk_free,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,erp,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,beta,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,cost_of_debt,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,debt_weight,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,tax_rate,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck line carries"
MRK,Other Pharmaceutical,base,other_costs_pct,-0.013576,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. The window barely matters here, unlike Pfizer: the same aggregate is 21.9% over five years and 21.3% over every year on file. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%. Restated without working capital build: over 2023 to 2025 MRK's cash flow statement shows receivables up $2,482mm, inventories up $2,831mm, payables down $88mm, a working capital build of $5,401mm, 2.85% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 2.06% to -1.23%. Rebuilt on the book's own ratios on 0.3610 of the revenue they are struck on, against 0.3746 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is -1.3576%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
