# Sofosbuvir Velpatasvir (GILD). 1,272mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GILD,Sofosbuvir Velpatasvir,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
GILD,Sofosbuvir Velpatasvir,,US,base,base_revenue,,1272.0,,mm USD,"GILD FY2025 reported product revenue, from the annual report product axis (sec_fsds)",the anchor
GILD,Sofosbuvir Velpatasvir,,US,base,revenue_growth_pct,,-0.203008,,"annual, near term","the same product axis a year earlier: 1,272 against 1,596 a year before, both in USD from the SEC financial statement data sets, tagged in the same filing",the last reported year over the one before it
GILD,Sofosbuvir Velpatasvir,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
GILD,Sofosbuvir Velpatasvir,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
GILD,Sofosbuvir Velpatasvir,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
GILD,Sofosbuvir Velpatasvir,,US,base,forecast_years,,10,,years,no exclusivity on file,
GILD,Sofosbuvir Velpatasvir,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
GILD,Sofosbuvir Velpatasvir,,US,base,cogs_pct,,0.2117,,share of revenue,"GILD FY2025, from the filed lines",
GILD,Sofosbuvir Velpatasvir,,US,base,sga_pct,,0.1961,,share of revenue,"GILD FY2025, from the filed lines",
GILD,Sofosbuvir Velpatasvir,,US,base,rd_pct,,0.197,,share of revenue,"GILD FY2025, from the filed lines",
GILD,Sofosbuvir Velpatasvir,,US,base,other_costs_pct,,-0.081513,,share of revenue,"derived and found to be nil: the filed expense lines already leave less than the 31.86% of revenue this company turned into free cash over 2023 to 2025. Restated before interest: GILD paid $2,878mm of interest inside operating cash flow over 2023 to 2025, 3.37% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so adding it back only widens a gap the filed lines already leave, and the charge stays nil. Restated at replacement capex: GILD spent $1,671mm on plant over 2023 to 2025 against $1,105mm of plant depreciation, 0.66% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: GILD's free cash flow over 2023 to 2025 carried $525mm of legal settlements; $3,400mm of US transition tax (2023 instalment 900mm; 2024 instalment 1,200mm; 2025 instalment 1,300mm). None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 39.52% pre-tax margin where the cash over 2023 to 2025 supports 51.47%, so the charge rebuilds at -11.95%. It was held at nil, but GILD books $2,400mm of non-cash amortisation of acquired intangibles inside cost of sales in FY2025 (0000882095-26-000006), 8.15% of revenue, so the charge stops at that floor: -8.15%. Restated without working capital build: over 2023 to 2025 GILD's cash flow statement shows receivables up $71mm, inventories up $2,304mm, payables down $189mm, a working capital build of $2,564mm, 3.01% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at the amortisation floor, -8.15% where the filed figures rebuild it at -11.95%, and stays there.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GILD,Sofosbuvir Velpatasvir,,US,base,tax_rate,,0.231,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
GILD,Sofosbuvir Velpatasvir,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GILD,Sofosbuvir Velpatasvir,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
GILD,Sofosbuvir Velpatasvir,,US,base,beta,,0.62,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.43 raw)",
GILD,Sofosbuvir Velpatasvir,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GILD,Sofosbuvir Velpatasvir,,US,base,debt_weight,,0.123183,,,"filed TotalDebt of 26,246mm USD at 2026-06-30 over debt plus market capitalisation",
