# AXS-14 (Esreboxetine) (AXSM).
# AXS-14 (esreboxetine) is the SS-enantiomer of reboxetine, a selective norepinephrine reuptake inhibitor Axsome licensed from Pfizer in January 2020 with US-only rights, for the management of fibromyalgia. The NDA submitted in May 2025 on Pfizer's two positive trials drew a Refuse to File in June 2025: the FDA accepted the fixed-dose Phase 3 with a 12-week primary endpoint but not the 8-week flexible-dose Phase 2 (Q1 2026 10-Q 0001193125-26-204274; FY2025 10-K 0001193125-26-064267). Axsome started FORWARD (NCT07398417, 620 patients, randomized withdrawal after 12 weeks open-label on 8 mg, primary completion 2028-03 estimated) in January 2026 to address this, alongside an open-label safety study (NCT07637162, 2028-05), and plans to resubmit.
# Price anchor: Savella (milnacipran), the only branded reuptake inhibitor labelled for fibromyalgia alone, at $3,572 per CMS Part D beneficiary in 2024 (before its first generic, launched March 2026), halved by the Part D rule. Uptake anchor: Savella's 2024 Medicare new starts, 4.20% a year of the treated-basis fibromyalgia pool, on a fibromyalgia-specific (ICD-10 M79.7) incidence of 0.12% of adults a year (second reader; the ICD-9 729.1 myalgia incidence was replaced).
# Pfizer is owed tiered mid-single to low double-digit royalties and up to $323mm of milestones; the royalty is read at 4%, the bottom of 'mid-single', for netting once Axsome's cost block exists.
# LOE: no molecule patent date is filed. Axsome's FY2025 10-K (0001193125-26-064267, patents section) lists only pending US and foreign applications for AXS-14, so the engine's default applies: 12 years from this launch year, 2042. No date is written here because none is filed.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from NBIX, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AXSM,AXS-14 (Esreboxetine),,US,base,beta,,0.66,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.49 raw)",
AXSM,AXS-14 (Esreboxetine),,US,base,cogs_pct,,0.0182,,share of revenue,"comparator estimate: NBIX's row, because Neurocrine is the book's CNS specialty company with its own filed FY2025 lines, selling branded neuropsychiatric drugs through a specialty salesforce as Axsome sells Auvelity and Sunosi; Axsome's FY2025 filed lines are a loss, SG&A alone 89% of revenue, so they give no steady-state margin. Axsome's own filed lines are a loss, so they give no margin to read. NBIX's source: NBIX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when AXSM files a cost of sales"
AXSM,AXS-14 (Esreboxetine),,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AXSM,AXS-14 (Esreboxetine),,US,base,debt_weight,,0.011704,,,"Axsome's 10-Q for the quarter to 2026-06-30 (0001193125-26-342360, Note 8): $120.0mm outstanding on the Blackstone first-lien term loan; the $70.0mm drawn on the revolver at 30 June was repaid in full in July 2026; $120mm over debt plus market capitalisation: 52.4mm shares at the $193.45 close of 2026-09-23",a reading of the balance sheet
AXSM,AXS-14 (Esreboxetine),,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
AXSM,AXS-14 (Esreboxetine),,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: NBIX's row, because Neurocrine is the book's CNS specialty company with its own filed FY2025 lines, selling branded neuropsychiatric drugs through a specialty salesforce as Axsome sells Auvelity and Sunosi; Axsome's FY2025 filed lines are a loss, SG&A alone 89% of revenue, so they give no steady-state margin. Axsome's own filed lines are a loss, so they give no margin to read. NBIX's source: derived: NBIX generated $1,668mm of free cash flow on $7,103mm of revenue over 2023, 2024 and 2025, a 23.48% margin, against the 15.9% its filed expense lines leave. Restated before interest: Neurocrine paid $5mm of interest inside operating cash flow over 2023 to 2025, 0.08% of revenue. Restated at replacement capex: capital spending ran 0.65% of revenue above plant depreciation. Checked without one-off cash: no one-off cash stated for the window, so the charge stands. Restated without working capital build: $116mm over 2023 to 2025, 1.63% of revenue. With those the cash supports a 35.88% pre-tax margin against 22.25% on the filed lines, so the charge rebuilds at -13.63% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Neurocrine, and the gap is largely stock compensation, which the house keeps as a cost because it is paid for in shares","a comparator, not a measurement; revisit when AXSM files a cost of sales"
AXSM,AXS-14 (Esreboxetine),,US,base,rd_pct,,0.3551,,share of revenue,"comparator estimate: NBIX's row, because Neurocrine is the book's CNS specialty company with its own filed FY2025 lines, selling branded neuropsychiatric drugs through a specialty salesforce as Axsome sells Auvelity and Sunosi; Axsome's FY2025 filed lines are a loss, SG&A alone 89% of revenue, so they give no steady-state margin. Axsome's own filed lines are a loss, so they give no margin to read. NBIX's source: NBIX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when AXSM files a cost of sales"
AXSM,AXS-14 (Esreboxetine),,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AXSM,AXS-14 (Esreboxetine),,US,base,sga_pct,,0.4042,,share of revenue,"comparator estimate: NBIX's row, because Neurocrine is the book's CNS specialty company with its own filed FY2025 lines, selling branded neuropsychiatric drugs through a specialty salesforce as Axsome sells Auvelity and Sunosi; Axsome's FY2025 filed lines are a loss, SG&A alone 89% of revenue, so they give no steady-state margin. Axsome's own filed lines are a loss, so they give no margin to read. NBIX's source: NBIX FY2025, computed from the filed lines","a comparator, not a measurement; revisit when AXSM files a cost of sales"
AXSM,AXS-14 (Esreboxetine),,US,base,tax_rate,,0.2856,,effective rate,"comparator estimate: NBIX's row, because Neurocrine is the book's CNS specialty company with its own filed FY2025 lines, selling branded neuropsychiatric drugs through a specialty salesforce as Axsome sells Auvelity and Sunosi; Axsome's FY2025 filed lines are a loss, SG&A alone 89% of revenue, so they give no steady-state margin. Axsome's own filed lines are a loss, so they give no margin to read. NBIX's source: aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as net income plus the tax charge: $525mm of tax on $1,839mm before tax","a comparator, not a measurement; revisit when AXSM files a cost of sales"
AXSM,AXS-14 (Esreboxetine),,US,base,therapy_mode,,,chronic,,"NCT07398417 (book trials table): primary outcome 'Time from randomization to loss of therapeutic response'; Axsome Q2 2026 results deck (8-K 0001193125-26-341206, exhibit 2): 12-week open-label period on AXS-14 8 mg once daily, then responders randomized 1:1 to continue or switch to placebo for up to 12 weeks","Daily oral maintenance for a chronic pain syndrome, and the trial measures loss of response on withdrawal, so chronic by the house definition"
AXSM,AXS-14 (Esreboxetine),,US,base,list_price_per_patient,,0.003572,,mm USD per patient-year,"lookup.py demand Savella: CMS Medicare Part D 2024, $59,322,983.07 over 16,606 beneficiaries = $3,572 per beneficiary","Judgement on the comparator: the house convention. Savella is the closest marketed comparator in the same disease and setting: a branded reuptake inhibitor (milnacipran, the most norepinephrine-leaning SNRI) labelled for fibromyalgia alone and sold against generic duloxetine and pregabalin, which is where AXS-14, a selective norepinephrine reuptake inhibitor, will sit. It is the only fibromyalgia product in the book's CMS table. The spend covers 4.96 claims per beneficiary ($721 a claim), not a year, which matches the engine's stock recursion counting each start as a full year. The case for higher, and it is large: Axsome's own CNS brands read $4,686 (Auvelity) and $5,247 (Sunosi) per Part D beneficiary in 2024 (lookup.py demand), 31% and 47% higher. Tonmya, the first new fibromyalgia drug in 16 years (launched 17 November 2025), lists at a WAC of $1,860 a month for the 60-count adult supply, $22,320 a year (Tonix, via pharmaphorum.com/news/tonix-launches-its-new-fibromyalgia-drug-us and panabee.com), and netted about $874 a prescription in Q2 2026 ($11.0mm over 12,592 prescriptions, Tonix Q2 2026 release, globenewswire.com 2026-08-10), about 2.4x Savella's halved $360 a claim. A new brand launched around 2029 is more likely to price near Tonmya or Auvelity than a 2009 brand. The case for lower: generic duloxetine and pregabalin cost a fraction of this, and payers may step AXS-14 behind them"
AXSM,AXS-14 (Esreboxetine),,US,base,gross_to_net_pct,,0.5,,share taken off list,"house convention on a CMS Part D per-beneficiary price (backend/gross_to_net.py: halving lands at a median 96% of CMS's own negotiated net prices); Savella is Part D (lookup.py demand Savella, part D)","Direction checked: 0.5 comes off list, so net is $1,786 per patient-year. Cross-check: Tonmya's Q2 2026 net of about $874 a prescription against its $1,860 WAC is 53% off list, close to the convention for a new fibromyalgia brand (derived from Tonix's reported net sales and prescriptions; some prescriptions are the $930 30-count, so the true discount is somewhat smaller)"
