# Dazukibart (PFE): PF-06823859, Pfizer's anti-interferon-beta antibody infused every four weeks, in one Phase 3 with dermatomyositis and polymyositis cohorts (NCT05895786) whose primary completion has slipped to July 2030.
# Each disease is the claims-coded adult pool narrowed to the share on IVIG, priced at Lisraya, the first targeted dermatomyositis therapy approved in August 2026, paced by Zeposia's immunology launch, with the peak set against anifrolumab's share as the second biologic in lupus.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Dazukibart,,US,base,therapy_mode,,,chronic,,intravenous infusion every 4 weeks in the Phase 3 (NCT05895786) and in its open-label extension for completers (NCT06698796),"maintained until it stops working, which discontinuation_pct carries"
PFE,Dazukibart,,US,base,list_price_per_patient,,0.425833,,mm USD,"the price is Lisraya's (brepocitinib), which the FDA approved on 27 August 2026 as the first targeted therapy for adult dermatomyositis: Roivant's 8-K of 28 August 2026 (0001140361-26-034854) states a wholesale acquisition cost of $35,000 for a 30-count bottle of 30 mg tablets, and one tablet a day for 365 days is $425,833","a comparator, not a price this product has. It is the same disease and the therapy dazukibart would follow, and dazukibart holds US orphan designation in dermatomyositis (Pfizer pipeline, 4 August 2026). The mechanism analogue prices far lower: Saphnelo is $34,410 a Medicare Part B beneficiary in 2024 (drug_demand), priced for lupus, a much larger population. Octagam, the IVIG labelled in adult dermatomyositis, is $26,251 a Part B beneficiary across all its indications"
PFE,Dazukibart,,US,base,gross_to_net_pct,,0.2777,,share off list,"Vertex's derived discount for its specialty orphan medicines, reused by name (vrtx_prices.csv): Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","applied to a WAC, as there, for a net price of $307,580 a year. No measured discount exists for Lisraya, which launched three weeks ago, and this is a floor on it"
PFE,Dazukibart,,US,base,discontinuation_pct,,0.4554,,share stopping a year,"Bell CF et al., Lupus Science & Medicine 2020;7(1):e000357 (MarketScan commercial claims, 1,879 US patients starting intravenous belimumab for lupus over 2011 to 2015): 26.2% discontinued within six months, a gap of 84 days or more, which at a constant rate is 45.5% a year",the closest persistence series found for a monthly infused biologic in a rare autoimmune rheumatic disease. No US persistence figure exists for IVIG or a biologic in dermatomyositis
PFE,Dazukibart,,US,base,forecast_start_year,,2032,,year,"NCT05895786, the only randomised Phase 3 (two parallel cohorts, dermatomyositis and polymyositis), has an estimated primary completion of 2030-07-29 at the registry update posted 2026-09-15; the book's pipeline seeds put the first full year two calendar years after the earliest Phase 3 primary completion","the date keeps moving: 2025-12-04 when first posted in 2023, 2026-07-23 by August 2024, 2026-07-28 in April 2025, 2027-07-28 in October 2025 and 2030-07-29 now (ClinicalTrials.gov record history). No Pfizer filing gives a readout or submission date. The FY2025 10-K (0000078003-26-000026) lists dazukibart among new drug candidates in late-stage development in dermatomyositis and polymyositis, neither 2026 10-Q reports a change, and Pfizer's pipeline of 4 August 2026 still shows it in Phase 3 there"
PFE,Dazukibart,,US,base,economics_share,,1.0,,share of the asset,"Pfizer's own antibody: the PF-06823859 code, Pfizer the sole sponsor with no collaborator on both Phase 3 records, and no collaboration footnote against dazukibart in the FY2025 10-K late-stage table (0000078003-26-000026), which footnotes VLA15, disitamab vedotin and sasanlimab. Pfizer's pipeline of 4 August 2026 names no partner","all of it, with no royalty or milestone disclosed"
PFE,Dazukibart,Dermatomyositis,US,base,prevalence,,24010,,patients,"Smoyer-Tomic KE et al., BMC Musculoskeletal Disorders 2012;13:103 (MarketScan commercial and Medicare supplemental claims): dermatomyositis prevalence of 9.18 per 100,000 adults in 2008, applied to the 261,545,519 US residents aged 18 and over in July 2024 (Census NC-EST2024-AGESEX-RES)","coded, treated disease. Kronzer VL et al., Arthritis Care Res 2023;75:348-355, put chart-verified prevalence at 13 per 100,000, but 41% of those cases were clinically amyopathic and only 49% of people with two or more dermatomyositis codes had the disease, so the two errors pull in opposite directions"
PFE,Dazukibart,Dermatomyositis,US,base,incidence,,3975,,patients a year,"Smoyer-Tomic KE et al., 2012: 1.52 new dermatomyositis cases per 100,000 person-years (commercial and Medicare supplemental, 2004 to 2008), applied to the same 261,545,519 adults","Kronzer 2023 found 1.1 per 100,000 person-years in chart-verified cases"
PFE,Dazukibart,Dermatomyositis,US,base,eligible_pct,,0.1,,share of the pool,"George M et al., RMD Open 2026;12(1), doi 10.1136/rmdopen-2025-006356 (Komodo claims, 1,938 US adults with incident dermatomyositis over 2017 to 2022 followed for a year): 10.0% received IVIG, the advanced therapy labelled in adult dermatomyositis","the pool a new targeted therapy is first used in, and a floor: rituximab reached another 4.0% with the overlap not reported, the authors found advanced therapies tended to be added after the first year, and the Phase 3 enrols active disease on stable standard of care without requiring that it failed (NCT05895786). The same paper puts IVIG use at about 1.5% in 2004 to 2008, so this pool has grown"
PFE,Dazukibart,Dermatomyositis,US,base,ramp_steepness,,1.005,,logistic k,"Zeposia's own launch, fitted: its CMS Part D beneficiaries went 104, 406, 655, 1,034 and 1,271 over 2020 to 2024, and a least-squares logistic of k=1.005 with a midpoint at 2.15 years reproduces them to within 55 beneficiaries (rmse 34), the immunology launch curve mrk_tulisokibart.csv and abbv_lutikizumab.csv carry","Saphnelo, the anti-type I interferon receptor antibody given IV every four weeks, shows the same steepness: its Part B beneficiaries of 775, 1,372 and 1,877 over 2022 to 2024 are reproduced by k=1.05 with a midpoint at 0.67 years, but three points for three parameters describe rather than test, so the five-point fit is used"
PFE,Dazukibart,Dermatomyositis,US,base,ramp_midpoint_year,,2.15,,years from the forecast start,"Zeposia's own launch, fitted: its CMS Part D beneficiaries went 104, 406, 655, 1,034 and 1,271 over 2020 to 2024, and a least-squares logistic of k=1.005 with a midpoint at 2.15 years reproduces them to within 55 beneficiaries (rmse 34), the immunology launch curve mrk_tulisokibart.csv and abbv_lutikizumab.csv carry",
PFE,Dazukibart,Dermatomyositis,US,base,penetration_peak_pct,,0.1082,,share of the untreated pool per year,"set against anifrolumab (Saphnelo), the last new mechanism to follow an approved biologic in a rheumatic autoimmune disease, infused every four weeks as dazukibart is: in 2024, its fourth calendar year after the July 2021 approval, it had 1,877 Medicare Part B beneficiaries against belimumab's 3,685, 33.7% of the two (drug_demand). On this pool, curve and discontinuation the engine needs a peak of 0.1082 to put 16.9% of the pool on dazukibart at the same point, half that share","half. Dazukibart would be the second targeted therapy in dermatomyositis about five years after Lisraya, a monthly infusion against a once-daily pill (Roivant 8-K exhibit 99.1, 0001140361-26-034735), and a Part B count leaves out belimumab's subcutaneous patients, which flatters anifrolumab's share. Its case is the Phase 2 skin response: a placebo-adjusted change in CDASI-A of -16.3 at week 12 on 600 mg (Fiorentino D et al., Lancet 2025;405:137-146)"
PFE,Dazukibart,Dermatomyositis,US,base,exus_multiple,,0.7392,,x US,"Pfizer FY2025 10-K (0000078003-26-000026), Total Revenues, Selected Product Discussion: Xeljanz $462mm international against $625mm in the US, a ratio of 0.739","Xeljanz is the mature product in Pfizer's inflammation and immunology portfolio, where dazukibart sits, and the only one the 10-K splits by region. Octagam, the IVIG labelled in adult dermatomyositis, is booked only in the US ($418mm US, nil international, Q4 2025 earnings 8-K exhibit 0000078003-26-000005), a distribution right rather than a demand split, so it is not used"
