# Net price per patient across the Vertex CF portfolio, from the primary source.
#
# Vertex's WAC Disclosure for Colorado Prescribers, effective July 2026, read directly
# rather than through a summary. WAC is the published catalog price to wholesalers before
# any discount, rebate or reduction, in Vertex's own words, so it is the list price and
# gross_to_net_pct is what turns it into a net one.
#
#   KALYDECO   $29,057.52 / 28 days   ->  $378,786 a year
#   ORKAMBI    $23,773.48             ->  $309,904
#   SYMDEKO    $25,456.29             ->  $331,841
#   TRIKAFTA   $29,057.52             ->  $378,786
#   ALYFTREK   $29,057.52             ->  $378,786
#
# The gross-to-net is derived rather than assumed, and it is a FLOOR. Kalydeco is the one
# product where this database holds both ends: CMS Part D 2024 paid $273,600 per
# beneficiary against a $378,786 WAC, which is 72.2% of list. Part D spending is itself
# gross of manufacturer rebates, so the true discount is larger than 27.8%.
#
# The implied patient count agrees. Trikafta at this net price implies 37,694 patients
# against FY2025 revenue, and that is a global line covering Trikafta in the US and
# Kaftrio in the EU, while the CF Foundation counts roughly 40,000 people with CF in the
# US alone with 92.4% of them modulator-eligible. Too few patients means the price is too
# high, which is the direction the rebate caveat already pointed.
#
# JOURNAVX is not here. It is not in the Colorado CF disclosure, and it is an acute pain
# course rather than a year of therapy, so a price per patient per year is the wrong unit
# for it. Its Vermont disclosure is a separate pair of PDFs, on an AWP basis.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VRTX,Kalydeco,,US,base,list_price_per_patient,,0.378786,,mm USD per year,"Vertex WAC Disclosure for Colorado Prescribers, effective July 2026, VXR-US-20-1900562 v27.0: 29,057.52 per 28-day supply x 365/28","WAC is the published catalog price to wholesalers, before any discount, rebate or reduction, in Vertex's own words"
VRTX,Kalydeco,,US,base,gross_to_net_pct,,0.2777,,share off list,"derived: Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a FLOOR on the discount, not an estimate of it. Part D spending is itself gross of manufacturer rebates, so true net sits below this. The implied patient count says the same: Trikafta at this net gives 37,694 patients against a global franchise whose US CF population alone is about 40,000"
VRTX,Orkambi,,US,base,list_price_per_patient,,0.309904,,mm USD per year,"Vertex WAC Disclosure for Colorado Prescribers, effective July 2026, VXR-US-20-1900562 v27.0: 23,773.48 per 28-day supply x 365/28","WAC is the published catalog price to wholesalers, before any discount, rebate or reduction, in Vertex's own words"
VRTX,Orkambi,,US,base,gross_to_net_pct,,0.2777,,share off list,"derived: Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a FLOOR on the discount, not an estimate of it. Part D spending is itself gross of manufacturer rebates, so true net sits below this. The implied patient count says the same: Trikafta at this net gives 37,694 patients against a global franchise whose US CF population alone is about 40,000"
VRTX,Symdeko (Copackaged),,US,base,list_price_per_patient,,0.331841,,mm USD per year,"Vertex WAC Disclosure for Colorado Prescribers, effective July 2026, VXR-US-20-1900562 v27.0: 25,456.29 per 28-day supply x 365/28","WAC is the published catalog price to wholesalers, before any discount, rebate or reduction, in Vertex's own words"
VRTX,Symdeko (Copackaged),,US,base,gross_to_net_pct,,0.2777,,share off list,"derived: Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a FLOOR on the discount, not an estimate of it. Part D spending is itself gross of manufacturer rebates, so true net sits below this. The implied patient count says the same: Trikafta at this net gives 37,694 patients against a global franchise whose US CF population alone is about 40,000"
VRTX,Trikafta (Copackaged),,US,base,list_price_per_patient,,0.378786,,mm USD per year,"Vertex WAC Disclosure for Colorado Prescribers, effective July 2026, VXR-US-20-1900562 v27.0: 29,057.52 per 28-day supply x 365/28","WAC is the published catalog price to wholesalers, before any discount, rebate or reduction, in Vertex's own words"
VRTX,Trikafta (Copackaged),,US,base,gross_to_net_pct,,0.2777,,share off list,"derived: Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a FLOOR on the discount, not an estimate of it. Part D spending is itself gross of manufacturer rebates, so true net sits below this. The implied patient count says the same: Trikafta at this net gives 37,694 patients against a global franchise whose US CF population alone is about 40,000"
VRTX,Alyftrek,,US,base,list_price_per_patient,,0.378786,,mm USD per year,"Vertex WAC Disclosure for Colorado Prescribers, effective July 2026, VXR-US-20-1900562 v27.0: 29,057.52 per 28-day supply x 365/28","WAC is the published catalog price to wholesalers, before any discount, rebate or reduction, in Vertex's own words"
VRTX,Alyftrek,,US,base,gross_to_net_pct,,0.2777,,share off list,"derived: Kalydeco's CMS Part D 2024 spend per beneficiary of $273,600 against its $378,786 WAC is 72.2% of list","a FLOOR on the discount, not an estimate of it. Part D spending is itself gross of manufacturer rebates, so true net sits below this. The implied patient count says the same: Trikafta at this net gives 37,694 patients against a global franchise whose US CF population alone is about 40,000"
