# Adempas / Verquvo (MRK). $470mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients. Growth is read off Table 3, which prints this line's own quarters.
#
# Alliance revenue, not product sales: the figure is Merck's share of profits and
# is already net of cost of sales and commercialisation costs, so those two ratios
# are zero here rather than the company's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Adempas / Verquvo,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as its own revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,Adempas / Verquvo,,US,base,base_revenue,,470.0,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor. Its quarters are on file from Table 3 and sum to it
MRK,Adempas / Verquvo,,US,base,revenue_growth_pct,,0.026201,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales: $235mm in the first half of 2026 against $229mm in the first half of 2025","the halves, which is the most recent full comparison the filing gives"
MRK,Adempas / Verquvo,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,Adempas / Verquvo,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,Adempas / Verquvo,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,Adempas / Verquvo,,US,base,forecast_years,,10,,years,"no cliff to reach past, so the horizon is the convention",
MRK,Adempas / Verquvo,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies to it"
MRK,Adempas / Verquvo,,US,base,cogs_pct,,0.0,,share of revenue,"Table 3 footnote: alliance revenue represents the Company's share of profits from sales in Bayer's marketing territories, which are product sales net of cost of sales and commercialization costs","zero, because the figure is already net of it. Merck's own ratio would charge a cost the reported number has taken off"
MRK,Adempas / Verquvo,,US,base,sga_pct,,0.0,,share of revenue,"Table 3 footnote: alliance revenue represents the Company's share of profits from sales in Bayer's marketing territories, which are product sales net of cost of sales and commercialization costs","zero, because the figure is already net of it. Merck's own ratio would charge a cost the reported number has taken off"
MRK,Adempas / Verquvo,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Merck's own, as every Merck asset carries"
MRK,Adempas / Verquvo,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck asset carries"
MRK,"Adempas / Verquvo",,US,base,other_costs_pct,,0.120975,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. The window barely matters here, unlike Pfizer: the same aggregate is 21.9% over five years and 21.3% over every year on file","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
