# Povorcitinib (INCY).
# Povorcitinib (INCB054707) is Incyte's oral, selective JAK1 inhibitor, discovered in house, taken once daily as 45 mg or 75 mg tablets. The pivotal trials are STOP-HS1 (NCT05620823, n=608) and STOP-HS2 (NCT05620836, n=619) in adults with moderate to severe hidradenitis suppurativa: both doses met HiSCR50 at week 12 (40-42% vs 29-30% placebo; Porter et al., Nat Med 2026, PMID 42493571). The FDA accepted the NDA in Q1 2026 with US approval and launch expected in Q1 2027, and the CHMP gave a positive opinion (Povofortay) on 2026-09-17 for anti-TNF-experienced adults. Price anchor: Humira at $57,982 per Medicare Part D beneficiary in 2024, the comparator the book's other HS asset (lutikizumab) uses. Uptake anchor: the lutikizumab HS calibration against secukinumab's measured capture (Pham JP et al., JEADV Clin Pract 2025), at the same half multiple, and Zeposia's fitted launch curve, reused. Prurigo nodularis (STOP-PN1/PN2, primary completion 2026-10) and vitiligo Phase 3s are not modelled: neither is an indication in the context file.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from incy_iclusig.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
INCY,Povorcitinib,,US,base,beta,,0.63,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.45 raw)",
INCY,Povorcitinib,,US,base,cogs_pct,,0.0724,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Povorcitinib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
INCY,Povorcitinib,,US,base,debt_weight,,0.433277,,,"filed TotalDebt of $19,094mm over debt plus market capitalisation: 199.8mm shares at 2026-04-21 at the $125.01 close of 2026-09-01",
INCY,Povorcitinib,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
INCY,Povorcitinib,,US,base,other_costs_pct,,0,,share of revenue,"derived: INCY generated $2,245mm of free cash flow on $13,078mm of revenue over 2023, 2024 and 2025, a 17.17% margin, against the 21.4% its filed expense lines leave. Checked before interest: no interest paid on file for every year of the window, so the charge stands. Checked at replacement capex: no capital spending line on file for every year, so the charge stands. Restated without one-off cash: INCY's free cash flow over 2023 to 2025 carried $918mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $280mm of legal settlements. None recurs, so the charge falls from 5.15% to 0.00%. Restated without working capital build: over 2023 to 2025 INCY's cash flow statement shows receivables up $381mm, inventories up $356mm, payables down $73mm, a working capital build of $811mm, 6.20% of revenue. Growth ties that cash up once, not on every product for ever, so the charge stays at 0.00%.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
INCY,Povorcitinib,,US,base,rd_pct,,0.3988,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Povorcitinib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
INCY,Povorcitinib,,US,base,sga_pct,,0.2677,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Povorcitinib,,US,base,tax_rate,,0.181,,effective rate,aggregate effective rate over the 5 years to 2025 with positive pre-tax income,
