# Tulisokibart (MRK): MK-7240, an anti-TL1A antibody from the Prometheus acquisition, in Phase 3 for
# ulcerative colitis and Crohn's disease. Each indication is the claims-defined biologic pool, priced at
# Humira, paced by Zeposia's CMS launch, with the peak at half what the last new mechanism in each disease took.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Tulisokibart,,US,base,therapy_mode,,,chronic,,"IV induction followed by a subcutaneous maintenance regimen in both Phase 3 programmes (ATLAS-UC NCT06052059, ARES-CD NCT06430801)","maintained until it stops working, which discontinuation_pct carries"
MRK,Tulisokibart,,US,base,list_price_per_patient,,0.053401,,mm USD,"the price is Humira's $53,401 a Medicare Part D beneficiary in 2024 ($208.9mm over 3,912 beneficiaries, drug_demand), a self-injected anti-inflammatory antibody approved in both ulcerative colitis and Crohn's disease and the closest comparator on file","a comparator, not a price this product has. Skyrizi, Entyvio, Omvoh and Stelara are not in the CMS table on file; Rinvoq, an oral option in both diseases, is $47,673"
MRK,Tulisokibart,,US,base,gross_to_net_pct,,0.5,,share off list,analyst convention: manufacturer rebates in a competitive class,
MRK,Tulisokibart,,US,base,discontinuation_pct,,0.275,,share stopping a year,"Dulai PS et al., Crohn's & Colitis 360, 2026 (IQVIA PharMetrics Plus, 6,726 US adults with ulcerative colitis starting an advanced therapy): of the 2019 to 2020 starters, 67.8% were still on their first advanced therapy at 12 months and 38.1% at 36 months, and 38.1% after three years is 27.5% of the stock stopping each year","switches count as stopping, which is right for one product's stock. The Crohn's half likely holds patients better: Teeple A et al. (Crohn's & Colitis 360, 2021) found 12.8% to 21.1% stopped ustekinumab or vedolizumab within a year, so one rate taken from UC is conservative there"
MRK,Tulisokibart,,US,base,forecast_start_year,,2028,,year,"filing-stated: Merck's Q2 2026 10-Q (0000310158-26-000212) reports the ATLAS-UC induction-only study met its primary endpoint, says the induction and maintenance study (MK-7240-001, Study 1) 'is ongoing', and that results from both will be presented at a congress. The registry puts its primary completion at 2026-08-01 (NCT06052059), so a filing in 2027 and a standard review put the first year of revenue in 2028","Crohn's disease comes about two years later and is carried by its own ramp midpoint, because the engine starts every indication in the same year"
MRK,Tulisokibart,,US,base,economics_share,,1.0,,share of the asset,"Merck's FY2025 10-K (0000310158-26-000063): Merck acquired Prometheus for $11.0bn in June 2023, tulisokibart was substantially all of the fair value acquired, and 'There are no future contingent payments associated with the acquisition.' The pipeline chart does not mark MK-7240 as a collaboration","all of it, with no royalty or milestone disclosed"
MRK,Tulisokibart,,US,base,pos,,0.8,,,"argued up with the filing: Merck's Q2 2026 10-Q (0000310158-26-000212) says the Phase 3 ATLAS-UC induction-only study 'met its primary endpoint of clinical remission' at week 12 'as well as key secondary endpoints'. 0.80 is the top of the 50% to 80% Phase 3 band pos_defaults.csv takes its 0.65 from (analyst convention, call of 2026-08-06)","not higher: the induction and maintenance study that completes the UC filing had not read out at the 10-Q, the Crohn's Phase 3 completes in 2028, and the Phase 2 in systemic sclerosis ILD missed"
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,prevalence,,1253000,,patients,"Lewis JD et al., Gastroenterology 2023;165:1197-1205 (Medicare, Medicaid and commercial claims): 378 per 100,000, an estimated 1.253 million Americans with ulcerative colitis at the 2020 census",physician-diagnosed disease
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,eligible_pct,,0.136,,share of the pool,"Xu F et al. (CDC), Journal of Investigative Medicine 2022;70:1771-1776 (IQVIA ambulatory records): 13.6% of 52,280 US patients with ulcerative colitis were prescribed a biologic in 2019","the advanced-therapy pool a biologic competes for, and a floor: biologic prescribing in UC grew 16% a year over 2011 to 2020 in the same study, and oral JAK and S1P users sit outside it. The Phase 3 enrols moderately to severely active disease after conventional or advanced therapy (NCT06052059)"
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,incidence,,20881,,patients a year,"Lewis JD et al., Gastroenterology 2023: 6.3 new ulcerative colitis diagnoses per 100,000 person-years, applied to the 2020 census population of 331,449,281",
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,ramp_steepness,,1.005,,logistic k,"Zeposia's own launch, fitted: its CMS Part D beneficiaries went 104, 406, 655, 1,034 and 1,271 over 2020 to 2024, and a least-squares logistic of k=1.005 with a midpoint at 2.15 years reproduces them to within 55 beneficiaries (rmse 34). It is the launch on file with an ulcerative colitis label whose series reaches an inflection","Zeposia launched in multiple sclerosis in 2020 and added UC in 2021, so the curve is mixed. Rinvoq's series never reaches an inflection because each new label restarts it"
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,ramp_midpoint_year,,2.15,,years from the forecast start,"Zeposia's own launch, fitted: its CMS Part D beneficiaries went 104, 406, 655, 1,034 and 1,271 over 2020 to 2024, and a least-squares logistic of k=1.005 with a midpoint at 2.15 years reproduces them to within 55 beneficiaries (rmse 34). It is the launch on file with an ulcerative colitis label whose series reaches an inflection",
MRK,Tulisokibart,"Colitis, Ulcerative",US,base,penetration_peak_pct,,0.05,,share of the untreated pool per year,"set against upadacitinib, the last new mechanism to take share in UC: Singh S et al., Journal of Crohn's and Colitis 2025 (71 US health systems) found it held 12.1% of UC patients on advanced therapy in Q2 2025, in the fourth calendar year after its March 2022 UC approval. On this pool, curve and discontinuation the engine needs a peak of 0.101 to reach that share at the same point; 0.05 reaches half of it","half. Tulisokibart is the first TL1A antibody with Phase 3 data, but it launches into a UC market the IL-23 antibodies are already taking (5.5% in the same study and rising), and Roche's afimkibart and Sanofi and Teva's duvakitug follow it in the same class"
MRK,Tulisokibart,Crohn Disease,US,base,prevalence,,1011000,,patients,"Lewis JD et al., Gastroenterology 2023;165:1197-1205: 305 per 100,000, an estimated 1.011 million Americans with Crohn's disease at the 2020 census",physician-diagnosed disease
MRK,Tulisokibart,Crohn Disease,US,base,eligible_pct,,0.303,,share of the pool,"Xu F et al. (CDC), Journal of Investigative Medicine 2022;70:1771-1776: 30.3% of 52,892 US patients with Crohn's disease were prescribed a biologic in 2019",a floor for the same reasons as UC: biologic prescribing in Crohn's disease grew 11% a year over 2011 to 2020. The Phase 3 enrols moderately to severely active disease after conventional or advanced therapy (NCT06430801)
MRK,Tulisokibart,Crohn Disease,US,base,incidence,,13589,,patients a year,"Lewis JD et al., Gastroenterology 2023: 4.1 new Crohn's disease diagnoses per 100,000 person-years, applied to the 2020 census population of 331,449,281",
MRK,Tulisokibart,Crohn Disease,US,base,ramp_steepness,,1.005,,logistic k,"Zeposia's own launch, fitted: its CMS Part D beneficiaries went 104, 406, 655, 1,034 and 1,271 over 2020 to 2024, and a least-squares logistic of k=1.005 with a midpoint at 2.15 years reproduces them to within 55 beneficiaries (rmse 34). It is the launch on file with an ulcerative colitis label whose series reaches an inflection","no Crohn's launch on file has a clean series, so the UC fit is reused"
MRK,Tulisokibart,Crohn Disease,US,base,ramp_midpoint_year,,4.15,,years from the forecast start,"Zeposia's fitted midpoint of 2.15 years moved two years later: the Crohn's Phase 3 (MK-7240-008, NCT06430801) completes on 2028-10-30, 27 months after ATLAS-UC, and the engine starts every indication in the same year",
MRK,Tulisokibart,Crohn Disease,US,base,penetration_peak_pct,,0.06,,share of the untreated pool per year,"set against the IL-23p19 antibodies, the last new mechanism in Crohn's disease: Singh S et al., Journal of Crohn's and Colitis 2025, found the class held 15.0% of Crohn's patients on advanced therapy in Q1 2025, in the fourth calendar year after risankizumab's June 2022 approval there. On this pool and the shifted curve the engine needs a peak of 0.124 to reach that share at the same point; 0.06 reaches half","half, for the reasons given for UC, and because the Crohn's Phase 3 has not read out"
MRK,Tulisokibart,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Tulisokibart,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Tulisokibart,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Tulisokibart,,US,base,other_costs_pct,,0.020614,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
MRK,Tulisokibart,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Tulisokibart,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","market-level, shared with the CASGEVY model"
MRK,Tulisokibart,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"market-level, shared with the CASGEVY model"
MRK,Tulisokibart,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted (0.67 raw + 0.33)","five-year weekly is the conventional window; the two-year one puts JNJ at -0.03, which is a real measurement and not a forward input"
MRK,Tulisokibart,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",market-level for investment-grade pharma; edit where the issuer's own spread is known
MRK,Tulisokibart,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 (SEC company facts) over debt plus market capitalisation: 2,467.2mm shares outstanding at 2026-07-31 at the $147.76 close of 2026-08-31",refreshed from the 0.125 seeded at the 2025-12-31 debt; Merck borrowed $4.6bn more in the first half
