# ABP 692 (AMGN).
# ABP 692 is Amgen's own proposed biosimilar to Ocrevus (ocrelizumab), an anti-CD20 antibody infused twice a year. The Phase 3 is NCT06700343: a randomised, double-blind PK/PD similarity study against US and EU Ocrevus in 152 patients with relapsing-remitting MS, active not recruiting, with primary completion estimated for 2027-04-19. No application or BPCIA suit is on record, so the engine's Phase 3 probability applies.
# What is modelled: a share of Ocrevus's IV-treated US patients. Price anchor: Ocrevus at $55,610 per CMS Part B beneficiary in 2025, times 0.4712, the ASP ratio of Amgen's own Riabni to Rituxan in 2024. That gives $26,201 on the Part B basis and $24,718 net. Pool: Ocrevus's US revenue over that net price, 104,458 IV patients, 11.43% of the 913,925 in data/epidemiology.csv. Uptake: rituximab biosimilars took 60% of Medicare Part B rituximab claims in 2022 (Qian, AJMC 2024), and Amgen is given a third of that class share as one of three developers with a comparative trial running. US launch follows the 12-year BPCIA exclusivity ending 2029-03-28 (Ocrevus first licensed 2017-03-28), so 2030 is the first full year.
# What is not modelled: new Ocrevus starts after launch (no national MS incidence is on file, so the pool is drawn down), conversion to subcutaneous Ocrevus Zunovo beyond its Q1 2026 share, and patent litigation.
#
# Written 2026-09-24 on another branch; verified 2026-09-26, when every source was reopened. Corrections then: price moved to the 2025 CMS Part B basis and restated to the house Part B deduction with the same net; the pool re-derived from Ocrevus's US revenue at that net price, which the Medicare-share route understated by a fifth; citations to a script that is not in the repo replaced with the book tables they read; the exclusivities row named on the right asset.
# Company-level rows copied from amgn_aranesp.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AMGN,ABP 692,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.41 raw)",
AMGN,ABP 692,,US,base,cogs_pct,,0.3275,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,ABP 692,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AMGN,ABP 692,,US,base,debt_weight,,0.194802,,,"filed TotalDebt of $57,304mm over debt plus market capitalisation: 540.6mm shares at 2026-07-30 at the $438.12 close of 2026-09-01",
AMGN,ABP 692,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
AMGN,ABP 692,,US,base,other_costs_pct,,-0.117004,,share of revenue,"derived and found to be nil: AMGN's filed expense lines already leave less than the 26.28% of revenue it turned into free cash over 2023 to 2025, so there is nothing left to charge. Restated before interest: AMGN paid $8,600mm of interest inside operating cash flow over 2023 to 2025, 8.74% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so adding it back only widens a gap the filed lines already leave, and the charge stays nil. Restated at replacement capex: AMGN spent $4,066mm on plant over 2023 to 2025 against $2,142mm of plant depreciation, 1.96% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: AMGN's free cash flow over 2023 to 2025 carried $1,800mm of US transition tax (2025 instalment 1,800mm). None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 28.28% pre-tax margin where the cash over 2023 to 2025 supports 43.05%, so the charge rebuilds at -14.77%. It was held at nil, but AMGN books $4,300mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000318154-26-000010), 11.70% of revenue, so the charge stops at that floor: -11.70%. Restated without working capital build: over 2023 to 2025 AMGN's cash flow statement shows receivables up $3,250mm, inventories down $3,909mm, payables up $338mm, a working capital release of $997mm, 1.01% of revenue. A release flatters the window once and does not recur, so the charge was held at the amortisation floor, -11.70% where the filed figures rebuild it at -14.77%, and stays there.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
AMGN,ABP 692,,US,base,rd_pct,,0.1979,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,ABP 692,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AMGN,ABP 692,,US,base,sga_pct,,0.1918,,share of revenue,"AMGN FY2025, computed from the filed lines",
AMGN,ABP 692,,US,base,tax_rate,,0.1236,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
