# Pfizer revenue that no asset on file carries.
#
# Five lines from the FY2025 10-K revenue by product note (0000078003-26-000026) with no Pfizer
# asset: four residuals Pfizer does not break down and Oncology biosimilars, which it
# names as a group. Together they are $10,906mm of the $62,579mm Pfizer reported, and
# with the 33 product seeds beside them the book covers the whole of it.
#
# Pfizer changed what it prints in 2026, and it decides how four of these lines are
# grown. From 1 January 2026 off-patent branded and generic sterile injectables and
# biosimilars moved, mainly out of Specialty Care and Oncology, into a new Hospital and
# Biosimilars portfolio, and the 2026 results exhibits reclassify 2025 to match
# (8-K 0000078003-26-000094). Set the first half of 2025 as first reported
# (8-K 0000078003-25-000136) beside the restatement and four lines changed contents:
# All other Hospital 2,170mm to 1,835mm, All other Specialty Care 705mm to 866mm, All other
# Oncology 725mm to 771mm, All other Primary Care 1,350mm to 1,340mm. Pfizer has
# printed no restated FY2025, so a 2026 figure cannot be set against these FY2025
# bases. Those four are grown at FY2025 over FY2024 from the 10-K, and the rate on the
# restated basis sits in the note beside each for comparison.
#
# Oncology biosimilars kept its contents (617mm in the first half of 2025 both as first
# reported and restated), so it takes the anchor the other seeds use: the first half of
# 2026 as reported and the second half at the second quarter's pace.
#
# Loss of exclusivity. No line carries loe_year, and the line loader does not accept
# the key. Three are residuals of products Pfizer does not name, and the biosimilars are
# not reference products, so no exclusivity runs out on them.
#
# Margins and the discount rate are Pfizer's own, copied unchanged from the Eliquis
# seed, so every Pfizer asset and line carries the same company rows.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,line,scenario,key,value,text_value,unit,source,note
PFE,All other Hospital,base,base_revenue,4030,,mm USD,"Pfizer FY2025 10-K (0000078003-26-000026), revenue by product note: All other Hospital 4,030mm in FY2025, against 4,167mm in FY2024; the full-year results exhibit (8-K 0000078003-26-000005) splits it United States $2,000mm, International $2,030mm","the anchor; a residual: hospital products Pfizer does not name, inside Specialty Care in FY2025 and printed as Hospital in the 2025 results exhibits"
PFE,All other Hospital,base,revenue_growth_pct,-0.032877,,"annual, near term","Pfizer FY2025 10-K (0000078003-26-000026): All other Hospital 4,030mm in FY2025 against 4,167mm in FY2024, the same figures in the full-year results exhibit (8-K 0000078003-26-000005)","the years, not a 2026 anchor, because the line Pfizer prints for 2026 holds different products. From 1 January 2026 off-patent sterile injectables and biosimilars moved into a new Hospital and Biosimilars portfolio and prior periods were reclassified: the first half of 2025 read 2,170mm as first reported (8-K 0000078003-25-000136) and 1,835mm as All Other Hospital & Biosimilars once restated in the 2026 results exhibit (8-K 0000078003-26-000094), which puts the first half of 2026 at 1,905mm, 3.8% up on the restated basis"
PFE,All other Hospital,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
PFE,All other Hospital,base,growth_fade_years,5,,years,"convention: a recent rate describes next year, not the decade after it",
PFE,All other Hospital,base,forecast_start_year,2026,,year,the year after the last reported full year,
PFE,All other Hospital,base,forecast_years,10,,years,"the convention for a line: it carries no loss of exclusivity, so there is no cliff to run past",a residual takes no date
PFE,All other Hospital,base,cogs_pct,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,sga_pct,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,rd_pct,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,tax_rate,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,risk_free,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,erp,0.05,,,Damodaran US ERP estimate,"Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,beta,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,cost_of_debt,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,All other Hospital,base,debt_weight,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
