# Jemperli (GSK). 861mm GBP in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GSK,Jemperli,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
GSK,Jemperli,,US,base,base_revenue,,861.0,,mm GBP,"GSK FY2025 reported product revenue, from the annual report product axis (sec_fsds)","GSK reports in pounds sterling. The figure is as filed, not converted."
GSK,Jemperli,,US,base,revenue_growth_pct,,0.84,,"annual, near term","GSK's full-year 2025 results (6-K 0001654954-26-000892, filed 2026-02-04), sales table by product: GBP 861m for the year, which the filing states as +84% at actual exchange rates against 2024","the quarter against the same quarter a year before, which is the most recent comparison this filer states"
GSK,Jemperli,,US,base,revenue_ceiling_musd,,1440,,mm GBP,"69,120 women in the United States were estimated to be diagnosed with endometrial cancer in 2025 (SEER). Roughly a quarter of endometrial cancer presents at stage III or IV, and about a sixth of the early-stage majority later recurs, which gives about 26,000 US patients a year with primary advanced or recurrent disease. Jemperli cost Medicare $80,337 a beneficiary on Part B in 2024, which pays average sale price. 70% of that population at that cost is $1.46bn in the US, and the US was 75% of Jemperli in 2025 (GBP 647m of GBP 861m, GSK's full-year 2025 results (6-K 0001654954-26-000892, filed 2026-02-04)), so GBP 1,440m worldwide","this ceiling covers endometrial cancer and nothing else, so it binds early and the growth the filing states runs for about a year before it does. That is the point: on this arithmetic Jemperli already reaches about 40% of the US advanced or recurrent endometrial population, and RUBY made it standard of care with chemotherapy whatever the mismatch repair status, so the endometrial opportunity is most of the way filled. Its rectal cancer and other mismatch-repair-deficient solid tumour indications are real and are not in this number, and cannot all be sized from what is on file. The rectal cancer indication is now on file as a catalyst: a PDUFA of February 2027, sized at about GBP 144m a year on 2,270 US patients, and deliberately outside this ceiling until it is approved. Treat the ceiling as the endometrial franchise and those indications as upside the model does not carry"
GSK,Jemperli,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
GSK,Jemperli,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
GSK,Jemperli,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
GSK,Jemperli,,US,base,forecast_years,,13,,years,set to run past the 2033 loss of exclusivity,
GSK,Jemperli,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
GSK,Jemperli,,US,base,cogs_pct,,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Jemperli,,US,base,sga_pct,,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Jemperli,,US,base,rd_pct,,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Jemperli,,US,base,other_costs_pct,,0.014402,,share of revenue,derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Jemperli,,US,base,tax_rate,,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
GSK,Jemperli,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
GSK,Jemperli,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
GSK,Jemperli,,US,base,beta,,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,Jemperli,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
GSK,Jemperli,,US,base,debt_weight,,0.193859,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
