# Calderasib (MK-1084): an oral KRAS G12C inhibitor licensed exclusively from Taiho and Astex, in first-line NSCLC with Keytruda
# and first-line colorectal cancer with targeted therapy and chemotherapy. Both pools are built from SEER, GENIE and PD-L1 data,
# priced at Lumakras's Medicare spend and ramped on Enhertu's fitted oncology curve from a 2031 start.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Calderasib,,US,base,therapy_mode,,,chronic,,"an oral tablet given with Keytruda, or with targeted therapy and chemotherapy, in advanced disease (NCT06345729, NCT06997497, NCT07190248), taken until progression",
MRK,Calderasib,,US,base,list_price_per_patient,,0.098285,,mm USD,"the price is Lumakras's $98,285 a Medicare Part D beneficiary in 2024 (CMS, drug_demand): sotorasib is the first approved KRAS G12C inhibitor and in its fourth year on the market","a comparator, not a price this product has. Krazati's $66,903 in the same year is its second on the market and understated by part-year patients"
MRK,Calderasib,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates in a competitive class, as every pipeline seed in this book takes it",
MRK,Calderasib,,US,base,discontinuation_pct,,0.55,,share stopping a year,"the book's advanced solid tumour convention (azn_camizestrant.csv, azn_volrustomig.csv): therapy runs until progression and a median progression-free survival near a year turns over about half the treated stock annually","both lead settings are first-line metastatic, where progression-free survival on the backbones runs near a year"
MRK,Calderasib,,US,base,forecast_start_year,,2031,,year,"KANDLELIT-004 (NCT06345729) has the earliest primary completion among this asset's phase 3 trials, 2029-02-19, plus the time to file and launch: the book's pipeline seeds put the first full year two calendar years after the earliest phase 3 primary completion","no Merck filing states a submission or PDUFA date: both 2026 10-Qs (0001628280-26-029802, 0000310158-26-000212) list it in Phase 3, not under review. The FDA granted Breakthrough Therapy designation with Keytruda in first-line KRAS G12C NSCLC (Q2 2026 earnings 8-K, 0001104659-26-090045), which may shorten review but is not a filing date"
MRK,Calderasib,,US,base,economics_share,,1.0,,,"Merck's announcement of 6 January 2020: Taiho and Astex granted Merck an exclusive global license to their small molecule inhibitor candidates, including KRAS, for an aggregate $50mm upfront, with Merck funding R&D and responsible for commercialization globally. The FY2025 10-K confirms calderasib is developed in this collaboration","Taiho and Astex are eligible for about $2.5bn of milestones across multiple products and tiered royalties on sales, and Taiho retained co-commercialization rights in Japan and an option to promote in parts of Southeast Asia. Neither rate is disclosed, so neither is netted here"
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,prevalence,,192650,,patients,"226,650 new US lung cancers in 2025 (SEER), about 85% non-small cell, the pool azn_volrustomig.csv and azn_savolitinib.csv use","lung cancer incidence is the pool, as those seeds take it"
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,incidence,,192650,,patients a year,"226,650 new US lung cancers in 2025 (SEER), about 85% non-small cell, the pool azn_volrustomig.csv and azn_savolitinib.csv use",
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,eligible_pct,,0.0461,,share of the pool,"13.8% of NSCLC carries KRAS G12C (1,443 of 10,444 in AACR GENIE; Nassar et al., NEJM 2021), 51% of lung cancers are distant stage at diagnosis (SEER 21, 2016 to 2022) and 65.5% of KRAS G12C NSCLC is PD-L1 TPS 1% or more (Mol Cancer Ther 2021, doi 10.1158/1535-7163.MCT-21-0201): 0.138 x 0.51 x 0.655","about 8,900 patients a year: first-line KRAS G12C disease that KANDLELIT-004 (TPS 50% or more) and KANDLELIT-007 (nonsquamous, TPS 1% or more) enrol between them. Distant stage at diagnosis leaves out unresectable stage III and later recurrence, so this is a floor"
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,penetration_peak_pct,,0.2,,share of the untreated pool per year,"a share of the pool above, set against what the molecule has to displace: volrustomig's 20% for a first-line NSCLC entrant against pembrolizumab (azn_volrustomig.csv)","a fifth of the untreated pool a year. Calderasib is added to Merck's own backbone rather than displacing it, and the FDA granted it Breakthrough Therapy designation with Keytruda in first-line KRAS G12C NSCLC with TPS 1% or more (Q2 2026 earnings 8-K). Against that, it would be at least the third KRAS G12C inhibitor in the setting: sotorasib and adagrasib are approved in later lines and in first-line trials, so it does not get the switching case savolitinib's 35% rested on"
MRK,Calderasib,"Carcinoma, Non-Small-Cell Lung",US,base,exus_multiple,,0.68044,,x US,"Merck's FY2025 10-K (0000310158-26-000063) sales table: Keytruda $12,812mm international against $18,829mm US, a ratio of 0.68","calderasib's lead phase 3 trials combine it with Keytruda or Keytruda Qlex in first-line NSCLC, so Keytruda's own split is the closest marketed analogue"
MRK,Calderasib,Rectal Neoplasms,US,base,prevalence,,158850,,patients,"158,850 new US colorectal cancers estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)","the indications table files KANDLELIT-012 (NCT06997497) under Rectal Neoplasms. The trial enrols colon and rectal adenocarcinoma, so the pool is colorectal, and incidence is the pool as for lung"
MRK,Calderasib,Rectal Neoplasms,US,base,incidence,,158850,,patients a year,"158,850 new US colorectal cancers estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)",
MRK,Calderasib,Rectal Neoplasms,US,base,eligible_pct,,0.0144,,share of the pool,"3.2% of colorectal cancers carry KRAS G12C (234 of 7,402 in AACR GENIE; Nassar et al., NEJM 2021), and 45% of patients have or develop metastatic disease, 20% at presentation and another 25% later (Biller and Schrag, JAMA 2021): 0.032 x 0.45","about 2,300 patients a year reaching first-line metastatic treatment, the KANDLELIT-012 population"
MRK,Calderasib,Rectal Neoplasms,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Calderasib,Rectal Neoplasms,US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
MRK,Calderasib,Rectal Neoplasms,US,base,penetration_peak_pct,,0.152,,share of the untreated pool per year,"pasritamig's fitted value for an entrant arriving after others in the same setting (jnj_pasritamig.csv): Tecvayli held 10.9% of its observed population in its second full year, reproduced at a 15.2% peak","lower than lung. KRAS G12C colorectal cancer already has two approved inhibitor and anti-EGFR pairs, sotorasib with panitumumab and adagrasib with cetuximab, both in later lines, so calderasib's first-line trial moves a combination class forward rather than introducing one, and it has no Keytruda backbone to ride in this disease"
MRK,Calderasib,Rectal Neoplasms,US,base,exus_multiple,,0.68044,,x US,"Merck's FY2025 10-K (0000310158-26-000063) sales table: Keytruda $12,812mm international against $18,829mm US, a ratio of 0.68","Keytruda, labelled in MSI-H colorectal cancer, is Merck's marketed colorectal product and the closest analogue in the franchise"
MRK,Calderasib,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Calderasib,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Calderasib,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Calderasib,,US,base,other_costs_pct,,-0.013576,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%. Restated without working capital build: over 2023 to 2025 MRK's cash flow statement shows receivables up $2,482mm, inventories up $2,831mm, payables down $88mm, a working capital build of $5,401mm, 2.85% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 2.06% to -1.23%. Rebuilt on the book's own ratios on 0.3610 of the revenue they are struck on, against 0.3746 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is -1.3576%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
MRK,Calderasib,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines",company-level rate; edit where the product's economics differ
MRK,Calderasib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","market-level, shared with the CASGEVY model"
MRK,Calderasib,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"market-level, shared with the CASGEVY model"
MRK,Calderasib,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted (0.67 raw + 0.33)","five-year weekly is the conventional window; the two-year one puts JNJ at -0.03, which is a real measurement and not a forward input"
MRK,Calderasib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",market-level for investment-grade pharma; edit where the issuer's own spread is known
