# Sefaxersen (RO7434656, ISIS 721744, ROG): an antisense oligonucleotide against complement
# factor B, licensed from Ionis, monthly subcutaneous. The Phase 3 IMAgINATION (NCT05797610)
# interim read out positive on 23 September 2026. IgA nephropathy has had accelerated
# approvals on a proteinuria interim before, so the timing is derived from that precedent.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ROG,Sefaxersen (RO7434656),,US,base,cogs_pct,,0.27058,,share of revenue,"ROG FY2025 from Roche Finance Information Tool, group financial data workbook, FY2025: cost of sales CHF 16,645mm on sales of 61,516mm. The sheet's own six components sum to it exactly","Roche does not file with the SEC, so this comes from the workbook it publishes for investors rather than from EDGAR"
ROG,Sefaxersen (RO7434656),,US,base,rd_pct,,0.217049,,share of revenue,"ROG FY2025: research and development CHF 13,352mm on sales of 61,516mm","the IFRS charge, not the CHF 12,832mm core figure below it in the sheet, which adds back amortisation and impairment"
ROG,Sefaxersen (RO7434656),,US,base,sga_pct,,0.246456,,share of revenue,"ROG FY2025: selling, general and administration CHF 15,161mm on sales of 61,516mm, its four components summing to it exactly",
ROG,Sefaxersen (RO7434656),,US,base,other_costs_pct,,-0.03443,,share of revenue,"solved so the charges reconcile to the filed operating profit of CHF 18,476mm. It is negative because Roche books other revenue of 1,840mm and other operating income of 278mm above the line, and those two sum to exactly the 2,118mm this credits back","the same convention AstraZeneca and GSK carry, both also negative"
ROG,Sefaxersen (RO7434656),,US,base,tax_rate,,0.187003,,effective rate,"ROG FY2025: income taxes of CHF 3,174mm on profit before taxes of 16,973mm","a single year rather than a five-year aggregate, because the workbook carries only the current year"
ROG,Sefaxersen (RO7434656),,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Read live (fetchers/rates_fred.py)",
ROG,Sefaxersen (RO7434656),,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month cash yield variant",
ROG,Sefaxersen (RO7434656),,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.46 raw)","measured on the RHHBY ADR against the S&P 500, which is the only Roche price series on file. A beta measured on the SIX-listed ordinary share against a Swiss index would not be the same number"
ROG,Sefaxersen (RO7434656),,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data",
ROG,Sefaxersen (RO7434656),,US,base,debt_weight,,0.098037,,,"filed long-term debt of CHF 31,636mm at 2025-12-31 from the workbook's balance sheet, over debt plus a market capitalisation of CHF 291.1bn: 802,992,519 diluted shares at 0.125 ordinary per ADR, so 6,423,940,150 ADRs at the RHHBY close of $55.06 on 2026-09-23, converted at CHF/USD 1.215229","ROCHE HAS TWO SHARE CLASSES AND THIS PRICES BOTH OFF ONE. The count is derived from Roche's own published per-share figure, which is struck on bearer shares and non-voting equity securities together, while RHHBY is an ADR over the non-voting security alone. The two trade close but not equal, so this market capitalisation is approximate. It moves the weight and not the cost ratios"
ROG,Sefaxersen (RO7434656),,US,base,therapy_mode,,,chronic,,a monthly subcutaneous maintenance therapy,
ROG,Sefaxersen (RO7434656),,US,base,list_price_per_patient,,0.328744,,mm CHF per year,"Voyxact (sibeprenlimab), Otsuka's anti-APRIL antibody approved in IgA nephropathy on 25 November 2025, at its published US list of $399,499 a year, converted at CHF/USD 1.2152289669861556, ECB via fetchers/fx_ecb.py, as of 2026-09-23 to CHF 328,744. The same figure the book's only other IgAN asset, povetacicept, carries","chosen by the verifier over the researcher's Fabhalta ($550,000, CHF 452,590) because Voyxact is the route and frequency match for a monthly injection where Fabhalta is a twice-daily oral, and so two IgAN assets agree on the class price. Fabhalta is the upside case. Its CMS Part D per-claim cost of $44,917 annualises to $539,009, within 2% of its list, while its per-beneficiary figure is a part-year artefact 3.3x lower"
ROG,Sefaxersen (RO7434656),,US,base,gross_to_net_pct,,0.25,,share off list,"the gross-to-net the povetacicept seed carries for a newly launched specialty product in this disease, where a published annual list rather than a CMS gross figure is the basis","net is CHF 246,558"
ROG,Sefaxersen (RO7434656),,US,base,discontinuation_pct,,0.275,,share of the stock per year,"carried from the povetacicept seed: no US persistence series exists for an IgAN therapy whose class launched in late 2025, so the book uses its measured persistence for a biologic maintained in a chronic immune-mediated disease, 38.1% still on their first advanced therapy at 36 months in 6,726 US adults with ulcerative colitis (Dulai PS et al., Crohn's and Colitis 360, 2026)",
ROG,Sefaxersen (RO7434656),,US,base,forecast_start_year,,2028,,year,"Fabhalta went from its positive IgAN interim to accelerated approval in 10.2 months, so a 23 September 2026 interim gives approval about July 2027 and 2028 the first full year","Voyxact took about 14 months on the same path, which would still land inside 2027"
ROG,Sefaxersen (RO7434656),"Glomerulonephritis, IGA",US,base,eligible_pct,,0.6851,,share of the pool,"carried from the povetacicept seed because the two labels cover the same population: 4,375 US adults with biopsy-proven IgAN, 80.6% in CKD stages 1 to 4 and 85.0% with proteinuria of 1 g a day or more (Caster DJ et al., Kidney Int Rep 2023;8:1792-1800). 0.806 x 0.850 = 0.685","prevalence 198,887 and incidence 6,973 come from data/epidemiology.csv"
ROG,Sefaxersen (RO7434656),"Glomerulonephritis, IGA",US,base,penetration_peak_pct,,0.0081,,share of the untreated pool per year,"half of Filspari's measured take, a labelled judgement. Filspari's $322.0mm of FY2025 US net sales (Travere 8-K exhibit 99.1, 0001438533-26-000013) at its CMS Part D 2025 price of $157,276 a year is at least 2,047 patients, 1.502% of the 136,257 eligible, and the povetacicept seed's 0.0162 reproduces that to three decimals","on the house 20-year horizon the treated stock reaches 5,851, 4.29% of the eligible pool, and is still climbing at the end, so this is not a peak and the value understates the line rather than flatters it"
ROG,Sefaxersen (RO7434656),"Glomerulonephritis, IGA",US,base,ramp_midpoint_year,,1.70,,years from the forecast start,"Tarpeyo's launch, the first IgAN-specific therapy, refitted: CMS Part D beneficiaries 52, 247, 468 and 680 over 2022 to 2025 give k 1.292, midpoint 1.74, root mean squared error 17 beneficiaries",Filspari's three points give nearly the same shape
ROG,Sefaxersen (RO7434656),"Glomerulonephritis, IGA",US,base,ramp_steepness,,1.32,,logistic k,fitted with the midpoint above to Tarpeyo's measured launch,
