# INCB123667 (INCY).
# INCB123667 is Incyte's oral, selective CDK2 inhibitor, with no INN yet. The lead trial is MAESTRA 2 (NCT07214779, ENGOT-OV95 / GOG-3137): a randomised, open-label Phase 3 of INCB123667 against investigator's choice chemotherapy in about 466 women with platinum-resistant high-grade serous ovarian cancer that overexpresses cyclin E1 (IHC, at least 75% of tumour cells at 1+ or more), after 1 to 4 prior lines. PFS by blinded central review and OS are the primary endpoints, and primary completion is 2028-11. A single-arm Phase 2 (MAESTRA 1, NCT07023627, ORR primary, completion 2027-04) could support an earlier accelerated filing. A first-line maintenance Phase 3 with bevacizumab (MAESTRA 3, NCT07797283, completion 2032-05) is not modelled. Price anchor: Lifyorli (relacorilant), the oral drug FDA approved in March 2026 for platinum-resistant ovarian cancer after 1 to 3 prior lines, at a WAC of $37,900 per 28-day cycle, $494,054 a year. Uptake anchor: none can be solved. Elahere, the only biomarker-selected incumbent, has no CMS row in the book and no patient count in any filing, so peak penetration is null and the ramp reuses the book's Enhertu fit, as the two other platinum-resistant ovarian seeds do. Second reader: 13 fields confirmed, 1 corrected, none withdrawn. gross_to_net_pct is now Incyte's own filed FY2025 gross-to-net, 0.3229, in place of the Kalydeco ratio (0.2777), which the book itself calls a floor. Net price is $334,524 a year. Peak penetration stays null. Elahere's US revenue has been flat since H1 2025 at about $160mm a quarter, but it implies roughly 3,100 to 4,100 courses a year. That is about twice the FRa-high share of the book's platinum-resistant pool (about 1,590). A real-world cohort also puts 48% of Elahere use outside platinum-resistant disease. So the capture cannot be solved. Three new facts from the MAESTRA 2 design, found by search: the dose is 50 mg twice daily, prior bevacizumab is required, and FRa-positive patients must have had prior mirvetuximab. Elahere therefore comes a line before this asset rather than competing with it.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from incy_iclusig.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
INCY,INCB123667,,US,base,beta,,0.63,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.45 raw)",
INCY,INCB123667,,US,base,cogs_pct,,0.0724,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,INCB123667,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
INCY,INCB123667,,US,base,debt_weight,,0,,,"no outstanding borrowings: Incyte's 10-Q for the quarter to 2026-06-30 (0000879169-26-000056, MD&A) states 'As of June 30, 2026, we had no outstanding borrowings' under its $500mm revolving credit facility, and the SEC company facts tag no debt since FY2018","a reading of the balance sheet, as for Viking and United Therapeutics. This row carried 0.433277 until 2026-09-24, struck on the only TotalDebt on file, $19,094mm for FY2018: a scale error in the filed XBRL ($19.1mm of convertible notes; FY2017 carried $26.8mm) and seven years stale, which put 43% debt into Incyte's discount rate"
INCY,INCB123667,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
INCY,INCB123667,,US,base,other_costs_pct,,0,,share of revenue,"derived: INCY generated $2,245mm of free cash flow on $13,078mm of revenue over 2023, 2024 and 2025, a 17.17% margin, against the 21.4% its filed expense lines leave. Checked before interest: no interest paid on file for every year of the window, so the charge stands. Checked at replacement capex: no capital spending line on file for every year, so the charge stands. Restated without one-off cash: INCY's free cash flow over 2023 to 2025 carried $918mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $280mm of legal settlements. None recurs, so the charge falls from 5.15% to 0.00%. Restated without working capital build: over 2023 to 2025 INCY's cash flow statement shows receivables up $381mm, inventories up $356mm, payables down $73mm, a working capital build of $811mm, 6.20% of revenue. Growth ties that cash up once, not on every product for ever, so the charge stays at 0.00%.","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
INCY,INCB123667,,US,base,rd_pct,,0.3988,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,INCB123667,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
INCY,INCB123667,,US,base,sga_pct,,0.2677,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,INCB123667,,US,base,tax_rate,,0.181,,effective rate,aggregate effective rate over the 5 years to 2025 with positive pre-tax income,
