# Gilead revenue that no product on file carries, so the model reconciles to the reported
# USD 29,443mm rather than to the product rows alone.
#
# The FY2025 10-K (0000882095-26-000006) revenue table rolls a launch and a tail into its
# Other lines: Other HIV (500) holds Yeztugo, Other Liver Disease (874) holds Livdelzi, and
# AmBisome (509) and Other (290) are older products. Royalty, contract and other revenues
# (527) include USD 400mm of previously constrained revenue from an earlier sale of
# intellectual property, recognised in the third quarter of 2025, which is left out: it is
# a receipt from a sale, not a royalty stream. A further USD 156mm came in the second quarter
# of 2026 and is left out for the same reason.
#
# Yeztugo and Livdelzi are carried at their latest run rate and held there: neither has a
# full prior year to grow from, and their peaks are not modelled, which reads low while they
# grow. Each is one molecule, so each line loses exclusivity when the drug does. Each
# belongs in its own product model.
# Margins and the discount rate are the company's, copied from the rows every Gilead product
# carries, so the products and these lines together are the company's own P&L.
ticker,line,scenario,key,value,text_value,unit,source,note
GILD,Yeztugo,base,base_revenue,150.0,,mm USD,"Gilead's 2026 proxy statement (0001308179-26-000106): ""$150 MILLION / 2025 Sales / Yeztugo"", rounded as printed; the 10-K holds it inside Other HIV","lenacapavir for HIV prevention, approved in June 2025"
GILD,Yeztugo,base,revenue_growth_pct,5.186667,,"annual, near term","to the latest run rate in 2026, the engine's own convention (the latest quarter annualised): 232 in Q2 2026 (Q2 2026 10-Q, 0000882095-26-000031), 928 a year, against 150",held there from 2027: no peak is modelled
GILD,Yeztugo,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat: a collection of products does not renew itself, the launch line does that"
GILD,Yeztugo,base,growth_fade_years,1,,years,one year: the rate carries 2025 to the latest run rate and stops,
GILD,Yeztugo,base,forecast_start_year,2026,,year,the year after the last reported full year,
GILD,Yeztugo,base,forecast_years,13,,years,the horizon most of GILD's marketed assets carry,
GILD,Yeztugo,base,pos,1.0,,,booked revenue,"stated, because no development phase applies"
GILD,Yeztugo,base,loe_year,2037,,year,"Gilead FY2025 10-K (0000882095-26-000006), principal products patent table: Yeztugo/Yeytuo U.S. 2037, EU 2037",
GILD,Yeztugo,base,erosion_year1_pct,0.6,,share lost in year one,"curated default for a small molecule (data/erosion_defaults.csv): FDA/ASPE and IQVIA generic entry studies, 50-80% of volume in the first year",
GILD,Yeztugo,base,erosion_decay_pct,0.35,,annual,curated default for a small molecule (data/erosion_defaults.csv): FDA/ASPE and IQVIA generic entry studies,
