# GSK5784283 (GSK).
# GSK5784283 (felcorekibart; formerly AIO-001 and Hengrui's SHR-1905) is a long-acting anti-TSLP monoclonal antibody. GSK got it when it bought Aiolos Bio (completed 14 February 2024; $1bn upfront plus up to $400mm in milestones). GSK holds the rights outside Greater China and owes Hengrui milestones and tiered royalties. Phase 3 PERSIST programme: asthma NCT07780643 and NCT07782996 (primary completion 2029-02-15 and 2029-05-04), COPD NCT07780669 and NCT07780656 (2029-07-20, eosinophilic phenotype, on triple or dual therapy), CRSwNP NCT07782957 and NCT07782970 (2029-03-06). The price anchor is Tezspire (tezepelumab), the only marketed anti-TSLP, at $29,549 per CMS Part D beneficiary in 2024. The uptake anchor is Tezspire's measured capture of the US asthma biologic class, taken at half for a second-in-class entrant, the multiple the book uses for tilrekimig.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from gsk_anoro_ellipta.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GSK,GSK5784283,,US,base,beta,,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,GSK5784283,,US,base,cogs_pct,,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,GSK5784283,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,GSK5784283,,US,base,debt_weight,,0.194899,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
GSK,GSK5784283,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,GSK5784283,,US,base,other_costs_pct,,-0.024734,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.44% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,GSK5784283,,US,base,rd_pct,,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,GSK5784283,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,GSK5784283,,US,base,sga_pct,,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,GSK5784283,,US,base,tax_rate,,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
GSK,GSK5784283,,US,base,therapy_mode,,,chronic,,"NCT07780643, NCT07780669 (ClinicalTrials.gov): add-on maintenance antibody vs placebo on top of standard care, exacerbation endpoints","A maintenance biologic in asthma and COPD, continued while it works. The dosing interval is not published, so it is not claimed here"
GSK,GSK5784283,,US,base,list_price_per_patient,,0.022256914819,,mm GBP per patient-year,"lookup.py demand Tezspire: CMS Part D 2024, $183,765,288 over 6,219 beneficiaries = $29,549 per beneficiary. Part B 2024 agrees at $28,676 ($218,453,021 over 7,618)","JUDGEMENT on the comparator. Tezspire is the only marketed drug with this mechanism, in the same diseases and route, and the book already prices tozorakimab off the same row, so the two stay consistent. In GBP, the currency the book's other GSK seeds use: $29,549 at GBP/USD 1.327632 (the rate gsk_efimosfermin_alfa.csv and gsk_mrna_seasonal_flu.csv use) is GBP 22,257 (0.022257 mm GBP). The case against: (1) a per-beneficiary figure covers part of a year, so it understates a full year. tezspire.com states a list price of $4,587.41 per 210 mg syringe (seen through search, not opened), about $59,636 a year at 13 doses. (2) If felcorekibart is dosed less often, GSK may price it at Exdensur (depemokimab), its own twice-yearly asthma biologic. Its US WAC was not found; drugs.com shows a cash price of about $25,405 a dose. (3) Nucala runs $35,081 per Part D beneficiary in 2024 (lookup.py demand). In GBP because the engine models a company in its reporting currency and converts to dollars only at the end: $29,549.00 at GBP/USD 1.327632 (ECB via fetchers/fx_ecb.py, 2026-09-23) is GBP 22,256.91"
GSK,GSK5784283,,US,base,gross_to_net_pct,,0.5,,share taken off list,house convention: halving a CMS per-beneficiary figure lands at a median 96% of CMS's own negotiated net prices (backend/gross_to_net.py); the same row tozorakimab carries on the same Tezspire anchor,"Net is 50% of list, about $14,775 a patient-year. The case against: the tilrekimig seed measures 26% off for Dupixent (ICER AD report 2021, SSR Health). On that figure, net would be $21,866"
