# NBI-1117568 (NBIX).
# NBI-1117568 (direclidine) is Neurocrine's oral, once-daily, selective M4 muscarinic agonist for schizophrenia, in-licensed from Nxera (formerly Sosei Heptares) in 2021. It needs no peripheral blocker, unlike Cobenfy. The Phase 2 met its primary endpoint at 20 mg once daily: PANSS total at week 6, p=0.011, effect size 0.61 (NBIX FY2024 10-K, 0000914475-25-000037). Four Phase 3 studies are recruiting: two 284-patient inpatient acute studies with a week-5 PANSS primary endpoint, NCT06963034 (primary completion 2027-10) and NCT07105098 (2027-11); relapse prevention NCT07227818 (2029-07); and long-term safety NCT07114874 (2031-12). Neurocrine guides to topline data in 2027. Price anchor: Cobenfy, the only marketed muscarinic, at its published WAC of $1,887 per 30 days ($22,959 a year), less the 44% Vraylar discount CMS published for 2027. Pool: the book's 1,200,448 prevalence, plus a US incidence of 201,931 new schizophrenia diagnoses a year added at second read (Finnerty et al. 2024, MarketScan rate on US adults, a judgement). Uptake anchor: Cobenfy's 2026 new starts, backed out of BMS's filed US sales, are 0.97% a year of that pool plus one year's incidence (1.14% with no inflow). Nxera receives a tiered royalty from high single digit to mid-teens (NBIX 8-K, 2021-11-22), netted at 7%.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from nbix_nbi_1065845.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NBIX,NBI-1117568,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.46 raw)",
NBIX,NBI-1117568,,US,base,cogs_pct,,0.0182,,share of revenue,"NBIX FY2025, computed from the filed lines",
NBIX,NBI-1117568,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NBIX,NBI-1117568,,US,base,debt_weight,,0,,,"no borrowings: Neurocrine's 10-Q for the quarter to 2026-06-30 (0000914475-26-000037, MD&A) states it drew $600mm on its new revolving facility in May 2026 to fund the Soleno acquisition and repaid it in June, leaving the full $1.0bn available at 30 June; the SEC company facts tag no debt","a reading of the balance sheet, as for Viking, United Therapeutics, Incyte, Exelixis and argenx"
NBIX,NBI-1117568,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
NBIX,NBI-1117568,,US,base,other_costs_pct,,0,,share of revenue,"derived: NBIX generated $1,668mm of free cash flow on $7,103mm of revenue over 2023, 2024 and 2025, a 23.48% margin, against the 15.9% its filed expense lines leave. Restated before interest: Neurocrine paid $5mm of interest inside operating cash flow over 2023 to 2025, 0.08% of revenue. Restated at replacement capex: capital spending ran 0.65% of revenue above plant depreciation. Checked without one-off cash: no one-off cash stated for the window, so the charge stands. Restated without working capital build: $116mm over 2023 to 2025, 1.63% of revenue. With those the cash supports a 35.88% pre-tax margin against 22.25% on the filed lines, so the charge rebuilds at -13.63% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Neurocrine, and the gap is largely stock compensation, which the house keeps as a cost because it is paid for in shares","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry. The Soleno acquisition of May 2026 ($2.9bn) adds amortisation that FY2025's lines do not carry; rebuild the charge on FY2026"
NBIX,NBI-1117568,,US,base,rd_pct,,0.3551,,share of revenue,"NBIX FY2025, computed from the filed lines",
NBIX,NBI-1117568,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NBIX,NBI-1117568,,US,base,sga_pct,,0.4042,,share of revenue,"NBIX FY2025, computed from the filed lines",
NBIX,NBI-1117568,,US,base,tax_rate,,0.2856,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as net income plus the tax charge: $525mm of tax on $1,839mm before tax","2020 is left out: its pre-tax income was $106mm and its tax line a $301mm credit, which is not a rate a business pays; with it the aggregate would read 11.5%"
