# Adimanebart IV (ARGX).
# Adimanebart (ARGX-119) is argenx's humanised agonist antibody to MuSK, meant to mature and stabilise the neuromuscular junction. The pivotal trial is CoMetS (NCT07746089): Phase 3, randomised, quadruple-blind and placebo-controlled, IV adimanebart in 105 adults and children with DOK7-, MUSK-, AGRN- or LRP4-CMS. The primary endpoint is change in 6MWT at week 24, start 2026-09, primary completion 2030-10. It follows a positive Phase 1b in DOK7-CMS (argenx release 2025-06-30). Price anchor: no drug is approved in CMS, so Vyvgart IV, argenx's own IV antibody at the same synapse, at $231,053 per CMS Part B beneficiary in 2024, less the Part B add-on. Uptake anchor: Vyvgart's solved gMG start rate (0.2156, the book's second-read pozelimab seed) at a 1.0 multiple, applied to a UK-measured genetically confirmed CMS prevalence of 6.5 per million with DOK7 at 19% of cases. The asset is small: unrisked worldwide peak revenue comes to about $60mm around 2040 on these inputs. argenx owes NYU Langone and LUMC low-single-digit royalties. Second reader: economics_share set at 0.9572, the 1% floor of the filed 'low single digits' royalty netted over argenx's 0.2335 pre-tax margin; the CMS pool tested against the two US sources that exist (a claims count and an Olmsted County incidence), values kept and both notes extended.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows copied from argx_empasiprubart.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ARGX,Adimanebart IV,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.46 raw)",
ARGX,Adimanebart IV,,US,base,cogs_pct,,0.1086,,share of revenue,"ARGX FY2025, computed from the filed lines",
ARGX,Adimanebart IV,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ARGX,Adimanebart IV,,US,base,debt_weight,,0,,,"no borrowings: argenx's FY2025 20-F (0001697862-26-000032, Item 5) states the Company has no financial debt, and the SEC company facts tag none","a reading of the balance sheet, as for Viking, United Therapeutics, Incyte and Exelixis"
ARGX,Adimanebart IV,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
ARGX,Adimanebart IV,,US,base,other_costs_pct,,0,,share of revenue,"derived: ARGX generated $679mm of free cash flow on $4,151mm of revenue in 2025, its first full year of profit, a 16.36% margin, against the 20.3% its filed expense lines leave. Restated before interest: argenx paid $0.9mm of interest inside operating cash flow, 0.02% of revenue. Checked at replacement capex: no plant depreciation on file, so the charge stands. Checked without one-off cash: no one-off cash stated for the year, so the charge stands. Restated without working capital build: receivables and inventory of a product growing 90% a year tied up $289mm, 6.96% of revenue, once. With those the cash supports a 26.79% pre-tax margin against 23.35% on the filed lines, so the charge rebuilds at -3.44% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for argenx","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry. JUDGEMENT on the window: one year, because 2023 and 2024 were the turn from loss to profit, with negative operating cash flow, and a window across them measures the build-up rather than the business"
ARGX,Adimanebart IV,,US,base,rd_pct,,0.3286,,share of revenue,"ARGX FY2025, computed from the filed lines",
ARGX,Adimanebart IV,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ARGX,Adimanebart IV,,US,base,sga_pct,,0.3293,,share of revenue,"ARGX FY2025, computed from the filed lines",
ARGX,Adimanebart IV,,US,base,tax_rate,,0.129,,effective rate,"argenx half year 2026 results (release of 2026-07-23; 6-K 0001697862-26-000033): income tax expense of $119mm for the six months to 30 June 2026 ($230mm current less a $110mm deferred benefit) against a profit of $0.8bn, so about $0.92bn before tax and 12.9% effective","JUDGEMENT. The house rate, the aggregate over the years with positive pre-tax income, does not apply: argenx turned profitable in 2024 and its tax lines in 2024 and 2025 are credits ($748mm and $13mm) from recognising deferred tax assets, which give a negative rate. H1 2026 is the first period taxed on a normal footing. The release rounds profit to $0.8bn, so the rate lies between 12.3% and 13.7%. The case higher: Belgian and Dutch statutory rates are 25% and 25.8%, and the innovation-box and patent-income incentives the filing credits may narrow"
