# Breyanzi (BMY). $1,358mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BMY,Breyanzi,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
BMY,Breyanzi,,US,base,base_revenue,,1358.0,,mm USD,"BMY FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
BMY,Breyanzi,,US,base,revenue_growth_pct,,0.476112,,"annual, near term",the halves already on file from the 8-K earnings exhibits: $896mm in the first half of 2026 against $607mm in the first half of 2025,"the halves, which is the most recent full comparison on file"
BMY,Breyanzi,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
BMY,Breyanzi,,US,base,growth_fade_years,,5,,years,"measured from 52 drugs that grew 25% to 50% a year: the median took 4.5 years of fading growth to reach its peak revenue (quartiles 2.5 to 8), each fitted to its own climb in data/growth_analogues.csv. Kaplan-Meier across drugs, 22 of them censored because they are still near their best or lost exclusivity at their peak",
BMY,Breyanzi,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
BMY,Breyanzi,,US,base,forecast_years,,13,,years,set to run past the 2033 loss of exclusivity and through the erosion tail,
BMY,Breyanzi,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
BMY,Breyanzi,,US,base,cogs_pct,,0.2892,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,sga_pct,,0.1508,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,rd_pct,,0.2065,,share of revenue,"BMY FY2025, computed from the filed lines","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,tax_rate,,0.1526,,effective rate,"aggregate effective rate over the 4 years to 2025 with positive pre-tax income, from the filed lines. A single year is unusable for these filers: impairments and acquired IPR&D swing the annual rate between -105% and +36%, and one of the three reports a negative rate for FY2025","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,beta,,0.51,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.26 raw)","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,debt_weight,,0.239716,,,"filed TotalDebt of $43,120mm over debt plus market capitalisation: 2,042.7mm shares at 2026-07-22 at the $66.95 close of 2026-08-27","BMY's own, as every BMY asset carries"
BMY,Breyanzi,,US,base,other_costs_pct,,0,,share of revenue,"derived: Bristol Myers generated $39,438mm of free cash flow on $141,500mm of revenue over 2023, 2024 and 2025, a 27.87% margin, against the 30.0% its cost of sales, SG&A and R&D leave. The smallest of these adjustments by some way: the filed lines nearly reconcile already, and the five-year aggregate of 28.5% says the window is not doing the work. Restated before interest: BMY paid $5,100mm of interest inside operating cash flow over 2023 to 2025, 3.60% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 2.46% to 0.00%. Restated at replacement capex: BMY spent $3,768mm on plant over 2023 to 2025 against $1,883mm of plant depreciation, 1.33% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated without one-off cash: BMY's free cash flow over 2023 to 2025 carried $2,357mm of US transition tax (2023 instalment 567mm; 2024 instalment 799mm; 2025 instalment 991mm). None recurs, so the charge stays nil. Restated without working capital build: over 2023 to 2025 BMY's cash flow statement shows receivables up $1,026mm, inventories up $1,421mm, payables up $380mm, a working capital build of $2,067mm, 1.46% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at nil where the filed figures rebuild it at -4.68%, and stays there.","amortisation of acquired intangibles, restructuring and capital spending. Small here because Bristol Myers charges most of what it spends through the three lines the data sets tag"
