# Omvoh (LLY). mirikizumab.
#
# A launch still climbing, anchored on its 2026 run rate of 386mm because Lilly
# publishes no full year for it, and carried to a published peak of 1,120mm in
# 2031. The growth rate is solved to reach that peak and fades as it arrives.
#
# Ratios, discount rate and the other-costs charge are Lilly's own, from lly_verzenio.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
LLY,Omvoh,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
LLY,Omvoh,,US,base,base_revenue,,386.0,,mm USD,"a 2026 run rate, not a reported year: the first half of 2026 as reported, $182mm, and the second half at the second quarter's pace, $102mm twice. Lilly's second-quarter 2026 results (8-K exhibit 0000059478-26-000077, filed 2026-08-05). Lilly does not report this product for a full year: its 10-K folds it into other revenue, and its 2025 releases name it without a figure","the anchor, and a conservative one for a product still climbing, since a launch's second half is larger than its second quarter repeated"
LLY,Omvoh,,US,base,revenue_growth_pct,,0.404568,,"annual, near term","solved, not observed: the rate that carries the 386mm run rate to the 1,120mm peak by 2031, fading to nought as it arrives","the reported growth of a launch is a real rate and not a forecast; compounded, it runs past any peak anyone has published"
LLY,Omvoh,,US,base,revenue_ceiling_musd,,1120,,mm USD,"GlobalData's forecast of 2031 sales, as reported by Clinical Trials Arena",the peak the growth rate is solved to reach; the engine floors it at the latest run rate
LLY,Omvoh,,US,base,growth_fade_years,,5,,years,"the ramp's own length: growth fades to nought in 2032, the year after the peak, as Cobenfy's does",
LLY,Omvoh,,US,base,forecast_start_year,,2027,,year,the year after the 2026 run rate the anchor is taken from,2026 is left out of the valuation rather than filled with an estimate of its second half
LLY,Omvoh,,US,base,forecast_years,,15,,years,long enough to carry the ramp and run past the 2035 loss of exclusivity on file,
LLY,Omvoh,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
LLY,Omvoh,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
LLY,Omvoh,,US,base,cogs_pct,,0.1696,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Omvoh,,US,base,sga_pct,,0.1702,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Omvoh,,US,base,rd_pct,,0.2046,,share of revenue,"LLY FY2025, from the filed lines",
LLY,Omvoh,,US,base,other_costs_pct,,0.202472,,share of revenue,"derived: LLY turned 14.30% of revenue into free cash over 2018 to 2025 against the 38.1% its filed expense lines leave. Restated before interest: LLY paid $3,152mm of interest inside operating cash flow over 2018 to 2025, 1.17% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 28.46% to 27.30%. Restated at replacement capex: LLY spent $23,144mm on plant over 2018 to 2025 against $7,255mm of plant depreciation, 5.89% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 27.30% to 20.25%.","amortisation, restructuring and capital spending, none of which the filed lines carry. Read over eight years and not the usual three: Lilly turned 20.0% of revenue into free cash over 2018 to 2022 and 9.4% over 2023 to 2025, the difference being a capacity build-out that took capital spending from 5% of revenue to 12%. Three years takes the trough of that build as the perpetual margin; eight spans both phases"
LLY,Omvoh,,US,base,tax_rate,,0.1637,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
LLY,Omvoh,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
LLY,Omvoh,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
LLY,Omvoh,,US,base,beta,,0.69,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.54 raw)",
LLY,Omvoh,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
LLY,Omvoh,,US,base,debt_weight,,0.050003,,,"filed TotalDebt of 54,908mm USD at 2026-06-30 over debt plus market capitalisation",
