# Ziltivekimab (NVO).
# Ziltivekimab (NN6018) is Novo Nordisk's once-monthly subcutaneous anti-IL-6 antibody, bought with Corvidia Therapeutics in 2020; Corvidia had licensed it from AstraZeneca. ZEUS (NCT05021835, ASCVD with CKD and inflammation, 6,385 patients) missed its MACE endpoint (HR 0.99) and Novo stopped HERMES (NCT05636176, terminated in the registry) and ATHENA (NCT06200207) in heart failure on 4 September 2026 after the data monitoring committee found them unlikely to succeed. ARTEMIS (NCT06118281) continues as planned: about 10,000 patients started within 36 hours (STEMI) or 48 hours (NSTEMI) of a heart attack, 3-point MACE, primary completion 2027-01-29 and a readout in the first half of 2027. It can support a filing by itself, so the asset keeps a standalone path in Myocardial Infarction.
# What is modelled: each year's US hospitalised, angiography-confirmed heart attacks, priced on Repatha's 2025 CMS Part D basis, started at the rate PCSK9 antibodies reach after a heart attack scaled to 2025, on the book's cardiovascular launch curve. Not modelled: heart failure (both trials stopped), chronic ASCVD with CKD (ZEUS failed), and ZEPHYR (NCT07301034), a plaque imaging study that cannot support a label.
#
# Written 2026-09-24 on branch claude/youthful-curie-bux19h; verified 2026-09-26, when every source was reopened. Corrections then: the explicit untreated_carryover_pct 0 removed, because prevalence equal to incidence already gives carryover 0 and the explicit row kept an opening stock that doubled year one; the price moved to Repatha's 2025 CMS Part D basis; the penetration anchor rescaled to the PCSK9 class's 2025 Medicare beneficiaries; the ramp citation corrected to the Leqvio series its k is measured on.
# Company-level rows copied from nvo_awigli.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVO,Ziltivekimab,,US,base,beta,,0.85,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.78 raw)",
NVO,Ziltivekimab,,US,base,cogs_pct,,0.1902,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Ziltivekimab,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Ziltivekimab,,US,base,debt_weight,,0.015446,,,"filed TotalDebt of 130,958mm DKK at 2025-12-31 over debt plus market capitalisation",
NVO,Ziltivekimab,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
NVO,Ziltivekimab,,US,base,other_costs_pct,,-0.021125,,share of revenue,"derived: NVO turned 25.95% of revenue into free cash over 2023 to 2025 against the 49.5% its filed expense lines leave. Restated before interest: NVO paid 4,522mm DKK of interest inside operating cash flow over 2023 to 2025, 0.54% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 29.59% to 29.04%. Restated at replacement capex: NVO spent 133,110mm DKK on plant over 2023 to 2025 against 19,625mm DKK of plant depreciation, 13.64% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 29.04% to 11.89%. Restated with selling costs: SG&A now carries NVO's filed selling or distribution costs, 20.81% of revenue this charge was absorbing, so it falls from 11.89% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 41.40% pre-tax margin where the cash over 2023 to 2025 supports 50.32%, so the charge rebuilds at -8.92%. It was held at nil, but NVO books 6,529mm DKK of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0000353278-26-000012), 2.11% of revenue, so the charge stops at that floor: -2.11%. Restated without working capital build: over 2023 to 2025 NVO's cash flow statement shows receivables up 20,296mm DKK, inventories up 25,235mm DKK, payables up 15,158mm DKK, a working capital build of 30,373mm DKK, 3.65% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at the amortisation floor, -2.11% where the filed figures rebuild it at -8.92%, and stays there.","amortisation, restructuring and capital spending, none of which the filed lines carry"
NVO,Ziltivekimab,,US,base,rd_pct,,0.1684,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Ziltivekimab,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
NVO,Ziltivekimab,,US,base,sga_pct,,0.227393,,share of revenue,"NVO FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, 5,969mm DKK for FY2025, leaves out the 64,310mm DKK of selling or distribution costs NVO reports as a line of its own, tagged under its own concept SellingExpenseAndDistributionCosts (20-F 0000353278-26-000012, SEC financial statement data sets), so SG&A rises from 1.93% to 22.74% of revenue.",
NVO,Ziltivekimab,,US,base,tax_rate,,0.2044,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
NVO,Ziltivekimab,,US,base,therapy_mode,,,chronic,,"ARTEMIS registry record (NCT06118281, updated 2026-09-09): a subcutaneous loading dose as early as possible after the invasive procedure and within 36 hours of hospitalisation for STEMI or 48 hours for NSTEMI, then maintenance dosing, against placebo, with the primary endpoint followed for up to 25 months. Novo's FY2025 20-F (0000353278-26-000012) describes ziltivekimab as a monoclonal antibody in AMI among its Phase 3 projects","Monthly maintenance dosing, so chronic. The case against: the label may follow the trial's roughly two-year treatment period. The discontinuation below gives a mean time on drug of about two years (1/0.505), so a fixed course and a chronic line land in about the same place"
NVO,Ziltivekimab,,US,base,list_price_per_patient,,0.030855036,,mm DKK per patient-year,"Repatha (evolocumab), CMS Medicare Part D 2025 from the quarterly companion 4ff7c618-4e40-483a-b390-c8a58c94fa15, rows '2025 (Q1-Q4)', manufacturer 'Overall', the three presentations CMS lists separately summed: Sureclick $2,629,498,222.86 over 539,135, Syringe $235,123,555.06 over 67,619 and Pushtronex $3,861,856.87 over 2,290 beneficiaries, $2,868,483,634.79 over 609,044 = $4,709.81 a beneficiary. Converted at the ECB rate of 0.152643266 USD per DKK on 2026-09-23 (fetchers/fx_ecb.py, the rate the other Novo seeds use): DKK 30,855.04","Judgement on the comparator: the self-injected antibody used for secondary prevention after a heart attack, and the largest by Medicare use. The 2024 basis was $4,266. Summed beneficiaries count a patient who changed container twice, so the figure leans low. Alternatives on the same 2025 basis: Praluent Pen $4,000.26 (84,102 beneficiaries) and Kevzara, an IL-6 antibody priced for rheumatology, $33,002.35. Novo would price for a mass cardiovascular population, not a rheumatology one. The case against: Repatha's own US exclusivity ends in 2029 (data/disclosed_loe.csv, from Amgen's 10-K), the year ziltivekimab would launch, and Lipfendra, the oral PCSK9 inhibitor, lists at $315 a month (azn_azd0780.csv), so the injectable anchor may be stale by then"
