# Pemazyre (INCY). $87mm in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier. Both figures come from the SEC financial statement data sets, tagged
# in the same filing, so the pair needs no reading of a table to establish.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
INCY,Pemazyre,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
INCY,Pemazyre,,US,base,base_revenue,,86.7,,mm USD,"INCY FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
INCY,Pemazyre,,US,base,revenue_growth_pct,,0.060907,,"annual, near term","the same product axis a year earlier: $87mm in FY2025 against $82mm in FY2024, both from the SEC financial statement data sets. The comparative year is tagged in the same filing as the anchor",the last reported year over the one before it
INCY,Pemazyre,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
INCY,Pemazyre,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
INCY,Pemazyre,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
INCY,Pemazyre,,US,base,forecast_years,,10,,years,"no exclusivity on file, so the horizon is the convention",
INCY,Pemazyre,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
INCY,Pemazyre,,US,base,cogs_pct,,0.0724,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Pemazyre,,US,base,sga_pct,,0.2677,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Pemazyre,,US,base,rd_pct,,0.3988,,share of revenue,"INCY FY2025, computed from the filed lines",
INCY,Pemazyre,,US,base,other_costs_pct,,0.051534,,share of revenue,"derived: INCY generated $2,245mm of free cash flow on $13,078mm of revenue over 2023, 2024 and 2025, a 17.17% margin, against the 21.4% its filed expense lines leave","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
INCY,Pemazyre,,US,base,tax_rate,,0.181,,effective rate,aggregate effective rate over the 5 years to 2025 with positive pre-tax income,
INCY,Pemazyre,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
INCY,Pemazyre,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
INCY,Pemazyre,,US,base,beta,,0.63,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.45 raw)",
INCY,Pemazyre,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",
INCY,Pemazyre,,US,base,debt_weight,,0.433277,,,"filed TotalDebt of $19,094mm over debt plus market capitalisation: 199.8mm shares at 2026-04-21 at the $125.01 close of 2026-09-01",
