# Eylea (REGN), the 2 mg strength, as one member of the U.S. aflibercept franchise.
#
# Regeneron books EYLEA's U.S. sales; Bayer sells it elsewhere and Regeneron's share of
# that is the Bayer collaboration line. Carried as a share of the pool it shares with
# EYLEA HD, since its fall and HD's rise are largely the same patients moving.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
REGN,Eylea,,US,base,therapy_mode,,,franchise,,"EYLEA and EYLEA HD are one aflibercept franchise in the U.S.: patients move from the 2 mg to the 8 mg strength, which Regeneron's filings describe","the 2 mg strength, whose patients move to HD or to biosimilars"
REGN,Eylea,,US,base,franchise_revenue,,4384.7,,mm USD,"Regeneron 10-K FY2025 (0000872589-26-000008) and 10-Qs: EYLEA HD U.S. net product sales 306.8, 393.2, 430.6 and 506.3 and EYLEA 736.0, 754.3, 680.6 and 576.9 in the four quarters of 2025, $1,636.9mm and $2,747.8mm, the one U.S. aflibercept pool the two strengths share","the pool, not either strength; each takes its share and keeps its own loss of exclusivity"
REGN,Eylea,,US,base,franchise_growth_pct,,-0.095263,,"annual, near term","Q1 and Q2 2026 10-Qs (0000872589-26-000016, 0000872589-26-000025): EYLEA HD 468.4 and 596.3, EYLEA 473.1 and 412.2, so 2026 at the first half plus the second quarter doubled is $3,967.0mm against $4,384.7mm in FY2025",a pool falling on biosimilar competition to the 2 mg strength since Amgen's Pavblu launched in Q4 2024
REGN,Eylea,,US,base,share_now,,0.408726,,share of the pool,Q2 2026 10-Q (0000872589-26-000025): EYLEA HD $596.3mm and EYLEA $412.2mm in the latest quarter,"the latest quarter rather than the half, since HD is still taking share"
REGN,Eylea,,US,base,share_plateau,,0,,share of the pool,"the plateau the same least-squares fit reaches, at its bound: Regeneron publishes no conversion target, and with EYLEA 2 mg biosimilars settled to launch from the second half of 2026 (10-Q 0000872589-26-000025), the 2 mg patients Regeneron keeps are the ones who move to HD",
REGN,Eylea,,US,base,share_ramp_pct,,0.37,,per year,"fitted by least squares to EYLEA HD's share of the pool in the six quarters on file, 29.4%, 34.3%, 38.8%, 46.7%, 49.7% and 59.1% from Q1 2025 to Q2 2026 (the same filings): the best fit takes the plateau to the whole pool and closes 37% of the remaining gap a year",
REGN,Eylea,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
REGN,Eylea,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year; a falling pool has no climb for the measured fades to apply to,
REGN,Eylea,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
REGN,Eylea,,US,base,forecast_years,,15,,years,long enough to run past EYLEA HD's 2039 patent and through the erosion tail,
REGN,Eylea,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
REGN,Eylea,,US,base,cogs_pct,,0,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Eylea,,US,base,sga_pct,,0.1882,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Eylea,,US,base,rd_pct,,0.4079,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Eylea,,US,base,other_costs_pct,,0.056184,,share of revenue,"derived: REGN turned 27.89% of revenue into free cash over 2023 to 2025 against the 36.1% its filed expense lines leave. Restated before interest: REGN paid $167mm of interest inside operating cash flow over 2023 to 2025, 0.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 9.20% to 8.79%. Restated at replacement capex: REGN spent $2,373mm on plant over 2023 to 2025 against $1,048mm of depreciation and amortisation less amortisation of intangibles, 3.18% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 8.79% to 5.24%. Restated without one-off cash: REGN's free cash flow over 2023 to 2025 carried $411mm of deal payments in operating cash flow, capital allocation whose assets the book values separately. None recurs, so the charge falls from 5.24% to 4.25%. Restated without working capital build: over 2023 to 2025 REGN's cash flow statement shows receivables up $395mm, inventories up $1,167mm, payables and accrued liabilities up $2,070mm, a working capital release of $509mm, 1.22% of revenue. A release flatters the window once and does not recur, so the charge rises from 4.25% to 5.62%. Rebuilt on the book's own ratios on 0.4039 of the revenue they are struck on, against 0.3477 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is 5.6184%.",
REGN,Eylea,,US,base,tax_rate,,0.1058,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
REGN,Eylea,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
REGN,Eylea,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
REGN,Eylea,,US,base,beta,,0.77,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.65 raw)",
REGN,Eylea,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
REGN,Eylea,,US,base,debt_weight,,0.021715,,,"filed TotalDebt of 1,986mm USD at 2025-12-31 over debt plus market capitalisation",
