# mRNA-4157 (MRNA): intismeran autogene (V940), Moderna's half.
#
# The same asset the Merck model carries as Intismeran Autogene. Merck and Moderna share its costs and
# profits equally (MRK FY2025 10-K 0000310158-26-000063, Note 4), and the Merck model takes economics_share
# 0.5, so until this file the other half sat in no book at all. Price, pool, uptake and the asset's cost
# ratios are the collaboration's and are copied from the Merck file; the discount rate is Moderna's own.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRNA,mRNA-4157,,US,base,therapy_mode,,,chronic,,"a single adjuvant course, run as chronic with every patient stopping inside the year (discontinuation 1.0 below), which the engine documents as the same revenue build as one_time: the year's new patients times the price of a course","chosen over one_time so cost of sales rides as Merck's filed share of revenue, which is eroded with revenue after LOE. One_time needs a per-patient cost of goods, which is not disclosed, and charges it on patient counts the erosion does not reduce, which turned the terminal value negative in the dry run"
MRNA,mRNA-4157,,US,base,discontinuation_pct,,1.0,,share stopping a year,"intismeran 1 mg every three weeks for up to nine doses (INTerpath-001, as Merck and Moderna described it on 19 August 2026): the course ends within 24 weeks, so each patient is billed for one course",
MRNA,mRNA-4157,,US,base,list_price_per_patient,,0.079464,,mm USD per course,"the price is Keytruda's $79,464 a Medicare Part B beneficiary in 2024 (CMS, drug_demand): no individualised neoantigen therapy is priced anywhere, and the course is given inside the year of adjuvant Keytruda it is added to","a comparator, not a price this product has. It prices the course at parity with a year of the backbone, which a manufactured-per-patient product may well exceed"
MRNA,mRNA-4157,,US,base,gross_to_net_pct,,0.056604,,share off list,"Social Security Act section 1847A: Medicare Part B pays average sales price plus 6%, and average sales price is already net of manufacturer rebates, discounts and chargebacks other than Medicaid's. The CMS Part B spend per beneficiary therefore sits 6% above a net price, and 1 - 1/1.06 = 5.66%","for review: the book's other Part B comparators (Imfinzi, Trodelvy, Tecvayli) take the 50% Part D convention, which would net off concessions average sales price has already netted"
MRNA,mRNA-4157,,US,base,forecast_start_year,,2028,,year,"INTerpath-001 (NCT05933577) met its primary endpoint of recurrence-free survival and the key secondary endpoint of distant metastasis-free survival at a pre-specified interim analysis, announced by Merck and Moderna on 19 August 2026, and the companies said they will engage with regulators on filing submissions. The book allows two calendar years from readout to first full year",the registry's primary completion of 2029-10-26 is the final analysis and is superseded by the interim readout. No Merck filing yet carries the readout or a submission date: it came after the Q2 10-Q
MRNA,mRNA-4157,,US,base,economics_share,,0.5,,,"MRK FY2025 10-K (0000310158-26-000063), Note 4: Merck and Moderna share costs and will share any profits equally under this worldwide collaboration","Moderna's half of the asset's rNPV; the other half is in the Merck model (mrk_intismeran_autogene.csv), so the two together carry the asset once"
MRNA,mRNA-4157,Melanoma,US,base,prevalence,,112000,,patients,"112,000 new US melanomas of the skin estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)","set equal to incidence: INTerpath-001 enrols within 13 weeks of resection (NCT05933577), so a patient not treated in that window does not wait in the pool. The identity carries untreated patients forward regardless, which is why the peak share below is argued low enough to matter"
MRNA,mRNA-4157,Melanoma,US,base,incidence,,112000,,patients a year,"112,000 new US melanomas of the skin estimated for 2026 (American Cancer Society, via SEER Cancer Stat Facts)",
MRNA,mRNA-4157,Melanoma,US,base,eligible_pct,,0.155,,share of the pool,"10% of melanomas are regional stage, spread to regional nodes (SEER 21, 2016 to 2022), and stage IIB and IIC are about half of the 11% diagnosed at stage II (SEER 2011 to 2015; Poklepovic and Luke, Cancer 2020, doi 10.1002/cncr.32585), about 5.5%","about 17,400 patients a year, the resected stage IIB to IV population INTerpath-001 enrolled. Resected stage IV is not in the number"
MRNA,mRNA-4157,Melanoma,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's fitted oncology launch, as azn_camizestrant.csv carries it: CMS Part B beneficiaries of 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024 are reproduced by a logistic of k=1.08 with a midpoint at 2.2 years",
