# Xeljanz (PFE). $1,087mm in FY2025.
#
# Marketed, so revenue is anchored on what was reported rather than built from
# patients. Growth is the halves, from an exhibit whose quarterly columns are
# cumulative: Pfizer prints year to date, not the quarter, and the halves are the
# comparison it makes itself.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,Xeljanz,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
PFE,Xeljanz,,US,base,base_revenue,,1087.0,,mm USD,"PFE FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
PFE,Xeljanz,,US,base,revenue_growth_pct,,-0.042222,,"annual, near term","the halves on file from the 8-K earnings exhibits: $431mm in the first half of 2026 against $450mm in the first half of 2025. Pfizer's exhibit prints a worldwide, United States and international column for both years, and both years' legs sum to their own total, which is what proves the row was read correctly","the halves, which is the most recent full comparison the filing gives"
PFE,Xeljanz,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
PFE,Xeljanz,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
PFE,Xeljanz,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
PFE,Xeljanz,,US,base,forecast_years,,10,,years,set to run past the 2028 loss of exclusivity and through the erosion tail,
PFE,Xeljanz,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
PFE,Xeljanz,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, from the filed lines. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,Xeljanz,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
