# Gardasil / Gardasil 9 (MRK). The HPV franchise, 8.0% of Merck's FY2025 revenue and
# the largest single line the model did not cover.
#
# One asset for one reported line. Merck reports the quadrivalent and the 9-valent
# vaccine together and never splits them, so this is the group, and the two individual
# assets on file carry no revenue of their own. Nothing here divides the money between
# them, because the filing does not.
#
# Marketed, so revenue is anchored on what was reported rather than built from patients.
#
# The growth rate is the judgement, and the two candidates are far apart. FY2025 fell
# 39% against FY2024, which was China: Merck paused shipments there in early 2025 and
# the year carries the destocking. The halves say the fall is over, -8.8% against a year
# earlier and the June quarter up on March. The seeded rate is the halves, fading to
# flat, because a franchise that has taken its shock and stabilised is what the recent
# data describes and the annual figure is not.
#
# No exclusivity is on file and none is expected: this is a vaccine franchise whose
# decline is competition and procurement, not a patent cliff, so the forecast runs to
# the horizon and the terminal value carries it. That is deliberate, and the tab says so.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Gardasil / Gardasil 9,,US,base,therapy_mode,,,marketed,,approved and selling; Merck reports it as one revenue line,no patient funnel is rebuilt for a line that files its own sales
MRK,Gardasil / Gardasil 9,,US,base,base_revenue,,5233,,mm USD,"MRK FY2025 reported product revenue, from the 10-K product axis (sec_fsds)","the anchor, the group as reported. Its quarters are on file from Table 3 and sum to it"
MRK,Gardasil / Gardasil 9,,US,base,revenue_growth_pct,,-0.087648,,"annual, near term","8-K exhibit Table 3, Franchise / Key Product Sales (0001104659-26-090045, filed 2026-08-04): the group's own row, $2,238mm in the first half of 2026 against $2,453mm in the first half of 2025","the halves rather than the years. FY2025's -39% is the China pause and the destocking behind it; -8.8% is what the franchise has done since, and the June quarter of $1,169mm is above the March one"
MRK,Gardasil / Gardasil 9,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat, so the two halves of the model agree"
MRK,Gardasil / Gardasil 9,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
MRK,Gardasil / Gardasil 9,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
MRK,Gardasil / Gardasil 9,,US,base,forecast_years,,10,,years,the horizon Keytruda carries,"no cliff to reach past, so the horizon is the convention rather than a date"
MRK,Gardasil / Gardasil 9,,US,base,pos,,1.0,,,approved and selling,"stated, because no phase applies to it"
MRK,Gardasil / Gardasil 9,,US,base,cogs_pct,,0.252,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,sga_pct,,0.1651,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,rd_pct,,0.2429,,share of revenue,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,tax_rate,,0.1331,,effective rate,"MRK FY2025 10-K, computed from the filed lines","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-08 to 2026-08, Blume-adjusted","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,debt_weight,,0.128821,,,"filed TotalDebt of $53,906mm at 2026-06-30 over debt plus market capitalisation: 2,467.2mm shares at the $147.76 close of 2026-08-31","Merck's own, as every Merck asset carries"
MRK,Gardasil / Gardasil 9,,US,base,other_costs_pct,,-0.013576,,share of revenue,"derived: Merck generated $39,599mm of free cash flow on $189,294mm of revenue over 2023, 2024 and 2025, a 20.92% margin, against the 29.5% its cost of sales, SG&A and R&D leave. Solved so the modelled book reproduces that margin rather than assumed from one line's cost structure: the alliance rows carry no cost of sales and Animal Health carries its own, so a ratio taken off a single product does not reconcile the company. The window barely matters here, unlike Pfizer: the same aggregate is 21.9% over five years and 21.3% over every year on file. Restated before interest: MRK paid $3,700mm of interest inside operating cash flow over 2023 to 2025, 1.95% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 12.10% to 10.14%. Restated at replacement capex: MRK spent $11,347mm on plant over 2023 to 2025 against $6,977mm of plant depreciation, 2.31% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 10.14% to 7.48%. Restated without one-off cash: MRK's free cash flow over 2023 to 2025 carried $8,300mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $572mm of legal settlements; $1,200mm of US transition tax (2025 instalment 1,200mm). None recurs, so the charge falls from 7.48% to 2.06%. Restated without working capital build: over 2023 to 2025 MRK's cash flow statement shows receivables up $2,482mm, inventories up $2,831mm, payables down $88mm, a working capital build of $5,401mm, 2.85% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 2.06% to -1.23%. Rebuilt on the book's own ratios on 0.3610 of the revenue they are struck on, against 0.3746 the filings leave as cash over 2023 to 2025 (free cash flow before interest, at replacement capex, without one-off cash and without working capital build), so the charge is -1.3576%.","amortisation of acquired intangibles, acquired IPR&D charges, restructuring and capital spending, none of which the three filed expense lines carry. Allocated to every Merck line in proportion to its revenue, which is what makes the company total reconcile"
MRK,Gardasil / Gardasil 9,,US,base,erosion_year1_pct,,0.0,,share lost in year one,"a vaccine's patent date is not a cliff. Merck's own off-patent vaccines are the record: ProQuad/M-M-R II/Varivax sold $2,368mm, $2,485mm and $2,451mm over 2023 to 2025, eight years past its 2017 exclusivity date, and RotaTeq $769mm, $711mm and $673mm, seven years past 2018 (Merck FY2025 10-K 0000310158-26-000063 and the FY2025 results exhibit 0001104659-26-009495)","no drop on the patent date. The curated biologic curve took a quarter of the revenue in year one and a fifth of the rest each year; competition from a newer vaccine, as Capvaxive's with Pneumovax 23, belongs in the product's growth, not on its patent date"
MRK,Gardasil / Gardasil 9,,US,base,erosion_decay_pct,,0.0,,share of the remainder lost each year,"a vaccine's patent date is not a cliff. Merck's own off-patent vaccines are the record: ProQuad/M-M-R II/Varivax sold $2,368mm, $2,485mm and $2,451mm over 2023 to 2025, eight years past its 2017 exclusivity date, and RotaTeq $769mm, $711mm and $673mm, seven years past 2018 (Merck FY2025 10-K 0000310158-26-000063 and the FY2025 results exhibit 0001104659-26-009495)","no decay after it either, for the same reason"
