# NXT007 (ROG): a next-generation bispecific after Hemlibra, subcutaneous. Phase 3 ZEBRHA 2
# (NCT07416604, 360 patients) against emicizumab and ZEBRHA 1 (NCT07416526, 138) against
# factor VIII prophylaxis, primary completion February 2028 and September 2027. No efficacy
# readout. THE THING TO ARGUE WITH BEFORE ANY NUMBER: this is largely Hemlibra's own
# patients moving to a new molecule. ZEBRHA 2's extension switches the emicizumab arm onto
# NXT007, so Roche's plan is replacement, not addition. At a 1.0 multiple the asset books
# exactly Hemlibra's CHF 2,665mm of US revenue, the same money under a new name.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ROG,NXT007,,US,base,cogs_pct,,0.27058,,share of revenue,"ROG FY2025 from Roche Finance Information Tool, group financial data workbook, FY2025: cost of sales CHF 16,645mm on sales of 61,516mm. The sheet's own six components sum to it exactly","Roche does not file with the SEC, so this comes from the workbook it publishes for investors rather than from EDGAR"
ROG,NXT007,,US,base,rd_pct,,0.217049,,share of revenue,"ROG FY2025: research and development CHF 13,352mm on sales of 61,516mm","the IFRS charge, not the CHF 12,832mm core figure below it in the sheet, which adds back amortisation and impairment"
ROG,NXT007,,US,base,sga_pct,,0.246456,,share of revenue,"ROG FY2025: selling, general and administration CHF 15,161mm on sales of 61,516mm, its four components summing to it exactly",
ROG,NXT007,,US,base,other_costs_pct,,-0.03443,,share of revenue,"solved so the charges reconcile to the filed operating profit of CHF 18,476mm. It is negative because Roche books other revenue of 1,840mm and other operating income of 278mm above the line, and those two sum to exactly the 2,118mm this credits back","the same convention AstraZeneca and GSK carry, both also negative"
ROG,NXT007,,US,base,tax_rate,,0.187003,,effective rate,"ROG FY2025: income taxes of CHF 3,174mm on profit before taxes of 16,973mm","a single year rather than a five-year aggregate, because the workbook carries only the current year"
ROG,NXT007,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Read live (fetchers/rates_fred.py)",
ROG,NXT007,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month cash yield variant",
ROG,NXT007,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.46 raw)","measured on the RHHBY ADR against the S&P 500, which is the only Roche price series on file. A beta measured on the SIX-listed ordinary share against a Swiss index would not be the same number"
ROG,NXT007,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data",
ROG,NXT007,,US,base,debt_weight,,0.098037,,,"filed long-term debt of CHF 31,636mm at 2025-12-31 from the workbook's balance sheet, over debt plus a market capitalisation of CHF 291.1bn: 802,992,519 diluted shares at 0.125 ordinary per ADR, so 6,423,940,150 ADRs at the RHHBY close of $55.06 on 2026-09-23, converted at CHF/USD 1.215229","ROCHE HAS TWO SHARE CLASSES AND THIS PRICES BOTH OFF ONE. The count is derived from Roche's own published per-share figure, which is struck on bearer shares and non-voting equity securities together, while RHHBY is an ADR over the non-voting security alone. The two trade close but not equal, so this market capitalisation is approximate. It moves the weight and not the cost ratios"
ROG,NXT007,,US,base,therapy_mode,,,chronic,,prophylaxis continued indefinitely,
ROG,NXT007,,US,base,list_price_per_patient,,0.432200,,mm CHF per year,"Hemlibra's own CMS Part B 2024: $230,046,953 over 438 beneficiaries = $525,221.35, converted at CHF/USD 1.2152289669861556, ECB via fetchers/fx_ecb.py, as of 2026-09-23 to CHF 432,200. The series is flat across five years, $472,457 to $525,221, which is what a full-year maintenance cost looks like","THE ANCHOR IS THIN: 438 Medicare beneficiaries is 3.4% of the severe-and-moderate pool, because haemophilia A is congenital and most patients are young and not in Medicare. A WAC disclosure or a 340B ceiling price would settle it and neither is free"
ROG,NXT007,,US,base,gross_to_net_pct,,0.056604,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it",
ROG,NXT007,,US,base,discontinuation_pct,,0.15,,share of the stock per year,"85% of 280 US people with haemophilia A persisted on emicizumab at 12 months, a gap of 60 days or more counting as discontinuation (J Manag Care Spec Pharm 2026;32(2):135, PubMed 41636686, IQVIA PharMetrics Plus 2017 to 2023)",the exact class and disease
ROG,NXT007,,US,base,forecast_start_year,,2030,,year,"ZEBRHA 2 completes February 2028, so a submission about mid-2028 and approval mid-2029",Roche has stated no filing date
ROG,NXT007,Hemophilia A,US,base,eligible_pct,,0.643,,share of the pool,"severe plus moderate haemophilia A, which is what both ZEBRHA trials enrol: CDC MMWR 2020, Evaluation of CDC's Hemophilia Surveillance Program, Table 2, US treatment centres 2016 to 2018, severe 47.9% and moderate 16.4%. 20,129 x 0.643 = 12,943","prevalence 20,129 and incidence 330 births a year come from data/epidemiology.csv"
ROG,NXT007,Hemophilia A,US,base,penetration_peak_pct,,0.0535,,share of the untreated pool per year,"half of Hemlibra's measured US capture, a labelled judgement. Hemlibra's CHF 2,665mm of US FY2025 revenue at the net CHF 407,735 is 6,536 patients, 50.5% of the 12,943 pool, and the engine at peak 0.197613 reproduces that exactly. The multiple halves the stock share, not the penetration, because the stock is not linear in it: a treated stock of 25.25% of the pool, about 3,268 patients and CHF 1,333mm at peak, needs a peak penetration of 0.0535","the pool identity is being used as a share-of-market device here, because in haemophilia A there is almost no untreated pool: nearly everyone severe or moderate is already on prophylaxis. 0.5 is where the case up (Roche controls the switch and the patient base) crosses the case down (Qfitlia, Alhemo and Mim8 are in the market by 2030, gene therapy, and Hemlibra's own exclusivity lapses). The verifier found 0.053873 overshot 25.25% by 0.7% and this is corrected for it"
ROG,NXT007,Hemophilia A,US,base,ramp_midpoint_year,,3.6,,years from the forecast start,data/launch_ramp.csv's 41 measured launches: half of peak at 0.397 of the climb on the median nine-year climb,"Hemlibra's own five CMS points span only 1.42x, so a fit to them says the ramp happened before the data and is not usable"
ROG,NXT007,Hemophilia A,US,base,ramp_steepness,,1.012,,logistic k,"the exponential rate of Altuviiio's CMS Part B beneficiaries, 56 in 2023 to 154 in 2024, ln(154 / 56) = 1.0116: same disease, same care setting","two points and one interval, so it measures the early slope and nothing about the ceiling"
