# Xolair (NVS). $1,723mm in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier. Both figures come from the SEC financial statement data sets, tagged
# in the same filing, so the pair needs no reading of a table to establish.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVS,Xolair,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
NVS,Xolair,,US,base,base_revenue,,1723.0,,mm USD,"NVS FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
NVS,Xolair,,US,base,revenue_growth_pct,,0.048691,,"annual, near term","the same product axis a year earlier: $1,723mm in FY2025 against $1,643mm in FY2024, both from the SEC financial statement data sets. The comparative year is tagged in the same filing as the anchor",the last reported year over the one before it
NVS,Xolair,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
NVS,Xolair,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
NVS,Xolair,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
NVS,Xolair,,US,base,forecast_years,,10,,years,"no exclusivity on file, so the horizon is the convention",
NVS,Xolair,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
NVS,Xolair,,US,base,cogs_pct,,0.2512,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Xolair,,US,base,sga_pct,,0.2429,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Xolair,,US,base,rd_pct,,0.2054,,share of revenue,"NVS FY2025, computed from the filed lines",
NVS,Xolair,,US,base,other_costs_pct,,0.0,,share of revenue,"derived and found to be nil: NVS's filed expense lines already leave less than the 31.44% of revenue it turned into free cash over 2023 to 2025, so there is nothing left to charge","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
NVS,Xolair,,US,base,tax_rate,,0.114,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
NVS,Xolair,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
NVS,Xolair,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
NVS,Xolair,,US,base,beta,,0.61,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.42 raw)",
NVS,Xolair,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",
NVS,Xolair,,US,base,debt_weight,,0.085397,,,"filed TotalDebt of $28,729mm over debt plus market capitalisation: 1,908.2mm shares at 2025-12-31 at the $161.25 close of 2026-09-01",
