# Velzatinib (GSK).
# Velzatinib (IDRX-42, GSK6042981) is an oral, selective KIT inhibitor for gastrointestinal stromal tumours, acquired with IDRx in February 2025 ($1.0bn upfront plus a $150mm approval milestone). Two Phase 3s: StrateGIST 3 (NCT07218926, about 450 patients, velzatinib 300 mg daily vs sunitinib after imatinib, PFS primary, readout around mid-2028) comes first, and StrateGIST Frontline (NCT07585266, 800 patients, vs imatinib first line, primary completion 2032-08) later. The model is the second-line launch, in KIT-mutant disease, since StrateGIST 3 excludes KIT/PDGFRA wild-type and PDGFRA exon 18 GIST. Price anchor: Qinlock (ripretinib), the most recent KIT inhibitor approved in GIST, at a January 2026 WAC of $46,620 per 30-day bottle, $567,210 a year. Uptake anchor: sunitinib, the standard second-line drug, reached 275 of 521 (52.8%) patients failing standard-dose imatinib in a Taiwanese nationwide cohort (Hsu et al., Oncotarget 2017), cut to a second entrant's share because bezuclastinib plus sunitinib (Cogent, PEAK Phase 3, PFS HR 0.50 against sunitinib) has an NDA under priority review with a PDUFA date of 2026-11-30 and will hold second line before velzatinib reaches it.
# Not modelled: first line (StrateGIST Frontline reads out 2032), third line and later, and the Merck KGaA royalty, whose tiered rate is not filed, so economics_share 1.0 is a ceiling (the seltorexant precedent).
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Re-verified 2026-09-26 against main's settled rules: every source reopened; gross-to-net moved to Qinlock's own filed provisions, penetration cut for bezuclastinib, trial dates read from the registry.
# Company-level rows copied from gsk_anoro_ellipta.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GSK,Velzatinib,,US,base,beta,,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,Velzatinib,,US,base,cogs_pct,,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Velzatinib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Velzatinib,,US,base,debt_weight,,0.194899,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
GSK,Velzatinib,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,Velzatinib,,US,base,other_costs_pct,,-0.024734,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.44% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Velzatinib,,US,base,rd_pct,,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Velzatinib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Velzatinib,,US,base,sga_pct,,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Velzatinib,,US,base,tax_rate,,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
GSK,Velzatinib,,US,base,therapy_mode,,,chronic,,"StrateGIST 3 design (ASCO 2026 TPS11588, doi:10.1200/JCO.2026.44.16_suppl.TPS11588): velzatinib 300 mg once daily, continuous dosing, PFS primary endpoint","Oral oncology drug taken until progression, so chronic under the house definition"
GSK,Velzatinib,,US,base,list_price_per_patient,,0.42723424327,,mm GBP per patient-year,"Deciphera, Information for Colorado Prescribers of Prescription Drugs, v.3 effective 2026-01-01 (https://www.deciphera.com/sites/default/files/2026-01/CO%20Disclosure%20Form%20Final%20v.3%202026.01.01.Q.pdf): Qinlock 50 mg, 90-count bottle, WAC $46,620. Label dose is 150 mg (three tablets) once daily (Qinlock USPI), so one bottle is 30 days: 46,620 x 365/30 = $567,210 a year","Judgement: this is a published list price, which the book puts ahead of the CMS convention, but it belongs to the comparator and not to velzatinib. Qinlock is the closest marketed KIT inhibitor in GIST. Cross-check on the CMS basis: Qinlock's Medicare Part D 2025 (Q1-Q4) spend was $126,600,395.66 over 536 beneficiaries, $236,194.77 each at 5.25 fills a beneficiary (CMS Part D quarterly dataset 4ff7c618-4e40-483a-b390-c8a58c94fa15). A treated patient in Medicare filled 44% of a year, so this full-year WAC bills each treated patient more than the average Qinlock patient pays in a calendar year; that is the main case for a lower price. Ayvakit, the other branded GIST KIT inhibitor, ran $323,698.51 a 2025 beneficiary, but most of its use is systemic mastocytosis. The generic comparators (sunitinib, imatinib) cost a small fraction of this. A second-line drug may also launch below a fourth-line one. In GBP because the engine models a company in its reporting currency and converts to dollars only at the end: $567,210.00 at GBP/USD 1.327632 (ECB via fetchers/fx_ecb.py, 2026-09-23, the fx_rates row the other GSK seeds use) is GBP 427,234.24"
GSK,Velzatinib,,US,base,gross_to_net_pct,,0.1926,,share taken off list,"Measured on the comparator itself: Deciphera's FY2023 10-K (0001654151-24-000004), the last full year it filed before Ono acquired it, reports Qinlock revenue reserves (trade discounts, chargebacks and administrative fees, government rebates, returns) of $37,906k provided on current-year sales plus $49k for prior periods against product revenues, net of $159,074k, all of it Qinlock. Gross sales were 159,074 + 37,955 = $197,029k, so 37,955 / 197,029 = 19.26% came off list. FY2022 on the same basis (0001654151-23-000003): 26,494 / 151,998 = 17.4%","Replaces the 0.2777 reused from Kalydeco, which is a CMS per-beneficiary spend over a WAC and so measures part-year use rather than a discount. The reserves include Deciphera's ex-US rebates, 24% of its 2023 product revenue. This is a floor on the discount for a 2030 launch: the Medicare Part D manufacturer discount program (10% in the initial phase, 20% in the catastrophic phase, which a drug at this price reaches in its first fill) began in 2025, after this measurement, as the osivelotor seed also notes. Net is $457,965 a patient-year"
GSK,Velzatinib,,US,base,discontinuation_pct,,0.455,,share of treated stock stopping per year,"StrateGIST 1 Phase 1b, second-line cohort, ASCO 2026: median PFS 13.7 months (95% CI 8.6-18.4) at 18.4 months' follow-up (OncLive, 'Velzatinib Shows Activity Across Treatment Lines and KIT Mutation Profiles in Advanced GIST'; Targeted Oncology, same meeting)","Constant hazard from a median: 1 - 0.5^(12/13.7) = 0.455, the form the atirmociclib seed uses. The case against: this is a single-arm Phase 1b cohort with a wide CI, first-line PFS was still immature at 7.4 months' follow-up, and sunitinib, the Phase 3 comparator, had a median PFS of 9.2 months in the PEAK control arm (Cogent 8-K, 10 November 2025), which gives 0.595. If velzatinib wins StrateGIST 3, its PFS should sit between the two"
GSK,Velzatinib,,US,base,forecast_start_year,,2030,,year,"StrateGIST 3, ClinicalTrials.gov API (clinicaltrials.gov/api/v2/studies/NCT07218926, read 2026-09-26): recruiting since 2025-12-03, 450 patients, primary completion 2028-05-30 (estimated). The earliest Phase 3 primary completion year plus two, the book's convention for the first full year on sale, since GSK states no launch timing (neither the IDRx completion release nor the Q2 2026 pipeline report gives one)","StrateGIST Frontline (NCT07585266), the first-line trial, completes 2032-08-30 (estimated) and is not modelled here"
