# Ponsegromab (PFE): PF-06946860, Pfizer's own subcutaneous anti-GDF-15 antibody, in a Phase 2b/3 (NCT06989437) in cachexia with metastatic pancreatic cancer on first-line chemotherapy.
# The pool is each year's US metastatic pancreatic cancer diagnoses narrowed to those who start chemotherapy with cachexia, priced at Xgeva, stopped at the real-world survival of treated patients, paced by Enhertu's oncology launch and set to reach half of anamorelin's uptake in Japan.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,ponsegromab,,US,base,therapy_mode,,,chronic,,"subcutaneous injection every four weeks alongside first-line chemotherapy, followed by an optional open-label extension (NCT06989437)","given while the patient is treated, which in metastatic pancreatic cancer is bounded by survival; discontinuation_pct carries it"
PFE,ponsegromab,,US,base,list_price_per_patient,,0.015974,,mm USD,"the price is Xgeva's (denosumab 120 mg) $15,974 a Medicare Part D beneficiary in 2024 ($55.8mm over 3,495 beneficiaries, drug_demand): a subcutaneous antibody injected every four weeks in patients with metastatic solid tumours to prevent a complication rather than treat the tumour, the use ponsegromab would have","a comparator, not a price this product has. No cachexia therapy is approved or priced in the US; anamorelin is approved only in Japan. Xgeva's Part B spending cannot be separated from Prolia's under HCPCS J0897 (CMS Part B Spending by Drug lists one row), so the Part D figure, which carries part-year use, is the only one on file"
PFE,ponsegromab,,US,base,gross_to_net_pct,,0.5,,share off list,"analyst convention: manufacturer rebates on a CMS Part D figure, as every Part D-priced seed in this book takes it","no rebate figure exists for Xgeva or for a first-in-class cachexia antibody, so this is the convention and not a finding. Net price $7,987"
PFE,ponsegromab,,US,base,discontinuation_pct,,0.6419,,share stopping a year,"O'Reilly EM et al., Cancer Med 2020;9(22):8480-8490 (Flatiron Health, 5,687 US patients with metastatic pancreatic ductal adenocarcinoma receiving at least one line of systemic therapy, 2014 to 2019): real-world overall survival of 8.1 months, which at a constant hazard is 64.2% of the treated stock leaving each year","survival is the ceiling on how long a cachexia treatment given with chemotherapy lasts. Fuldeore R et al., Front Oncol 2026;16:1844261 (Flatiron, 2019 to 2024) found 10.7 months on FOLFIRINOX and 7.6 on gemcitabine with nab-paclitaxel, and NAPOLI-3 reported 11.1 months on NALIRIFOX in a trial population (Wainberg ZA et al., Lancet 2023;402:1272-1281). Median time on first-line chemotherapy was 4.7 and 3.4 months (Fuldeore), which would argue for more stopping"
PFE,ponsegromab,,US,base,forecast_start_year,,2030,,year,"NCT06989437, the Phase 2b/3 in cachexia with metastatic pancreatic ductal adenocarcinoma (982 patients, recruiting since October 2025), has an estimated primary completion of 2028-01-17; the book's pipeline seeds put the first full year two calendar years after the earliest primary completion","no Pfizer filing names ponsegromab: it appears in none of the FY2025 10-K, the 2026 10-Qs or the 2026 earnings releases. Pfizer's pipeline of 4 August 2026 lists it at Phase 2 in cachexia in cancer. The Phase 2b part selects a dose before Phase 3 enrolment begins, so the date could move"
PFE,ponsegromab,,US,base,economics_share,,1.0,,share of the asset,"Pfizer's own antibody: the PF-06946860 code, Pfizer the sole sponsor with no collaborator on the Phase 2b/3 record (NCT06989437), the Phase 2 funded by Pfizer (Groarke JD et al., N Engl J Med 2024;391:2291-2303), and no partner footnote in Pfizer's pipeline of 4 August 2026","all of it, with no royalty or milestone disclosed"
PFE,ponsegromab,Cachexia,US,base,prevalence,,34440,,patients,"67,530 new US pancreatic cancers projected for 2026 (Siegel RL et al., CA Cancer J Clin 2026;76(1):e70043), 51% diagnosed at distant stage (SEER Cancer Stat Facts, SEER 21 2016 to 2022)","the annual metastatic diagnosed population. With a real-world survival under a year it is diagnosed, treated and turned over annually rather than accumulated, as the book's other advanced-cancer pools are built. Patients who recur with metastases after surgery are not in it, which leans low"
PFE,ponsegromab,Cachexia,US,base,incidence,,34440,,patients a year,"the same annual metastatic diagnoses: 67,530 x 51%","the engine has no mortality term, so the untreated pool of a disease this short accumulates, and new starts climb past the uptake set below after the fourth year. The later years lean high"
PFE,ponsegromab,Cachexia,US,base,eligible_pct,,0.3326,,share of the pool,"two filters. Fuldeore R et al., Front Oncol 2026;16:1844261 (Flatiron Health, 9,439 US patients with metastatic pancreatic adenocarcinoma, 2019 to 2024): 6,279 (66.5%) started first-line systemic therapy within 180 days. Mitsunaga S et al., Support Care Cancer 2020;28(11):5271-5279 (150 patients starting first-line chemotherapy for advanced PDAC): 50% met a Fearon weight-loss definition of cachexia at the start. 0.665 x 0.50 = 33.3%","the trial population: cachexia by Fearon weight-loss criteria, one cycle of first-line chemotherapy completed, ECOG 0 or 1 and at least four months' life expectancy (NCT06989437). The cachexia share is Japanese; Hendifar AE et al., J Gastrointest Oncol 2018, found 63% with more than 5% weight loss before diagnosis in a US cohort of all stages. Hendifar also found cachexia did not shorten survival among patients who received chemotherapy. The ECOG criterion narrows the pool further"
PFE,ponsegromab,Cachexia,US,base,ramp_steepness,,1.08,,logistic k,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the oncology curve azn_camizestrant.csv carries)",no cancer supportive-care launch on file has a series; the book's oncology curve is used
PFE,ponsegromab,Cachexia,US,base,ramp_midpoint_year,,2.2,,years from the forecast start,"Enhertu's own launch, fitted: its CMS Part B beneficiaries went 864, 1,904, 4,841, 7,105 and 8,410 over 2020 to 2024, and a logistic of k=1.08 with a midpoint at 2.2 years reproduces those steps (the oncology curve azn_camizestrant.csv carries)",
PFE,ponsegromab,Cachexia,US,base,penetration_peak_pct,,0.0433,,share of the untreated pool per year,"set against anamorelin, the only cachexia drug approved anywhere: Kashiwa M, Biol Pharm Bull 2026;49(5):809-817 (JMDC claims, Japan) found anamorelin use rose from 2.4% to 29.8% after a cachexia diagnosis among lung cancer patients, with 70.2% never receiving it. Half of that, 14.9%, is the share of each year's eligible patients set to start ponsegromab in its fourth year; on this pool and curve the engine needs a peak of 0.0433 to reach it","half. Anamorelin is a daily pill with a labelled indication and a national price in Japan's system, and the Japanese patients were coded late, with a median survival of one month after diagnosis. US oncologists have no approved cachexia treatment to build a habit on, and ponsegromab adds an injection and a cost to first-line chemotherapy. Its case is the Phase 2 weight gain against placebo of 1.22 kg, 1.92 kg and 2.81 kg at 12 weeks on 100, 200 and 400 mg (Groarke JD et al., N Engl J Med 2024), with nothing to displace"
PFE,ponsegromab,Cachexia,US,base,exus_multiple,,0.521,,x US,"Ibrance, Pfizer's own oncology product sold worldwide: $1,412mm international against $2,710mm US in FY2025 (10-K 0000078003-26-000026, Total Revenues, Selected Product Discussion), a ratio of 0.521","the other oncology splits in the 10-K reflect partners rather than demand: Xtandi and Padcev are booked almost wholly in the US under the Astellas collaboration, and Adcetris outside the US belongs to Takeda. Lorbrena runs at 1.51, on international growth the 10-K attributes in part to China"
PFE,ponsegromab,,US,base,cogs_pct,,0.2567,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,sga_pct,,0.2204,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,rd_pct,,0.1668,,share of revenue,"PFE FY2025, computed from the filed lines","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,tax_rate,,0.0501,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income. Pfizer's FY2025 rate alone is negative, which in a forward model would add to cash flow rather than take from it","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,erp,,0.05,,,Damodaran US ERP estimate,"Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,beta,,0.64,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.46 raw)","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,debt_weight,,0.279719,,,"filed TotalDebt of $63,194mm over debt plus market capitalisation: 5,699.7mm shares at 2026-07-29 at the $28.55 close of 2026-09-01","Pfizer's own, as every Pfizer asset carries"
PFE,ponsegromab,,US,base,other_costs_pct,,0.126603,,share of revenue,"derived: Pfizer generated $23,703mm of free cash flow on $185,759mm of revenue over 2023, 2024 and 2025, a 12.76% margin, against the 33.8% its cost of sales, SG&A and R&D leave. The 2021 and 2022 COVID years are excluded because a 36% margin on a vaccine windfall is not what this company earns. Restated before interest: PFE paid $8,181mm of interest inside operating cash flow over 2023 to 2025, 4.40% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 22.18% to 17.77%. Checked at replacement capex: no plant depreciation on file for every year, and no amortisation line to take it out of the combined figure, so the charge stands. Restated without one-off cash: PFE's free cash flow over 2023 to 2025 carried $1,350mm of deal payments in operating cash flow, capital allocation whose assets the book values separately; $63mm of legal settlements; $4,400mm of US transition tax (2023 instalment 1,000mm; 2024 instalment 1,300mm; 2025 instalment 2,100mm). None recurs, so the charge falls from 17.77% to 14.52%. Restated without working capital build: over 2023 to 2025 PFE's cash flow statement shows receivables up $25mm, inventories up $1,462mm, payables down $1,792mm, a working capital build of $3,279mm, 1.77% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from 14.52% to 12.66%.","amortisation of acquired intangibles above all, then restructuring and the rest. Pfizer bought Seagen and its filed expense lines do not carry what that cost. Without this row the model values the company at nearly three times the cash it makes"
