# Zilebesiran (ALNY).
# Zilebesiran is Alnylam's subcutaneous GalNAc-siRNA against liver angiotensinogen, dosed 300 mg every six months and co-developed with Roche. The Phase 3 is ZENITH (NCT07181109), an event-driven cardiovascular outcomes Phase 3 of about 11,000 patients against placebo. It enrols uncontrolled hypertension (office SBP 140-170) on 2-4 antihypertensives including a diuretic, with established CVD or high CV risk. The primary endpoint is time to CV death, MI, stroke or HF event, and primary completion is estimated for 2030-09-23. Price anchor: Baxfendy (baxdrostat), the branded add-on approved in 2026 for hypertension not adequately controlled on other agents, at a WAC of $900 per 30 tablets ($10,950 a year), less the 52.7% by which Entresto's Medicare negotiated price sits below its CMS gross. Uptake anchor: Leqvio, the twice-yearly siRNA in CV prevention, reached 50,979 Medicare beneficiaries in its third full year, 0.44% of the 11.5mm US adults with ASCVD recommended add-on therapy. The engine needs a 0.0177 peak to match that. Alnylam keeps 50% of US profit and receives tiered low double-digit royalties from Roche outside the US (10-Q 0001178670-26-000062).
#
# Researched and then checked by a second reader who reopened every source, 2026-09-24.
# Company-level rows built for this seed from Alnylam's own filed lines; the charge is the house rebuild on FY2025.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
ALNY,Zilebesiran,,US,base,beta,,0.92,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (0.89 raw)",
ALNY,Zilebesiran,,US,base,cogs_pct,,0.1823,,share of revenue,"ALNY FY2025, computed from the filed lines",Alnylam's cost of goods carries the royalty it pays Sanofi on Amvuttra
ALNY,Zilebesiran,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ALNY,Zilebesiran,,US,base,debt_weight,,0.030112,,,"Alnylam's 10-Q for the quarter to 2026-06-30 (0001178670-26-000062, MD&A): $661.3mm of 0% convertible notes due 2028 and $362.8mm of 1% notes due 2027 still outstanding after the 2025 repurchases, $1,024mm, over debt plus market capitalisation: 133.8mm shares at the $246.51 close of 2026-09-23","the SEC company facts tag Alnylam's debt last in 2022, so the figure is read from the filing"
ALNY,Zilebesiran,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
ALNY,Zilebesiran,,US,base,other_costs_pct,,0,,share of revenue,"derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry. JUDGEMENT on the window: one year, because 2023 and 2024 were the turn from loss to profit"
ALNY,Zilebesiran,,US,base,rd_pct,,0.3554,,share of revenue,"ALNY FY2025, computed from the filed lines",
ALNY,Zilebesiran,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
ALNY,Zilebesiran,,US,base,sga_pct,,0.326,,share of revenue,"ALNY FY2025, computed from the filed lines",
ALNY,Zilebesiran,,US,base,tax_rate,,0.21,,effective rate,US federal statutory rate,"JUDGEMENT. The house rate, the aggregate over years with positive pre-tax income, has one year to read (2025: $9mm on $323mm, 2.9%), and H1 2026 is $29mm on about $400mm, 7.3%, both struck under a full valuation allowance on US deferred tax assets (10-Q 0001178670-26-000062), which shelters income until the losses are used. Over a forecast running past 2040 the shelter is spent, so the statutory rate is taken. The case against: state taxes add to it, and Alnylam's Swiss operations and any valuation-allowance release in H2 2026 lower the rate in the early years"
ALNY,Zilebesiran,,US,base,therapy_mode,,,chronic,,"ZENITH design: zilebesiran 300 mg every six months against placebo, open-ended until the event-driven CV outcomes analysis (Alnylam 8-K exhibit 99.1, 2025-10-30, 0001628280-25-047342; clinicaltrials.gov/study/NCT07181109)","Continuous maintenance dosing, one injection every six months"
ALNY,Zilebesiran,,US,base,list_price_per_patient,,0.01095,,mm USD per patient-year,"Baxfendy (baxdrostat, AstraZeneca) WAC of $900 per 30 tablets, once daily: $30 a day x 365 = $10,950 a year. $10,950 is the annual WAC ICER's August 2026 hypertension draft evidence report used for baxdrostat, with an identical placeholder for lorundrostat (AJMC, 'ICER Draft Flags High Cost of New Hypertension Drug Class', ajmc.com/view/icer-draft-flags-high-cost-of-new-hypertension-drug-class). Fierce Pharma ('AZ's blood pressure newcomer Baxfendy fails to meet cost-effectiveness bar, ICER says') reports the same $900 per 30 tablets annualised as twelve fills, $10,800","Judgement on the comparator. The brief says a published annual list price beats the CMS convention, and Baxfendy is the closest marketed product in the same disease and setting. Its label (DailyMed, in the book's labels table, effective 2026-09-18) covers hypertension in adults not adequately controlled on other agents, and the book's Hypertension pool was drawn for it. It has no CMS demand row yet. Cross-check: Leqvio, the same-modality twice-yearly siRNA, reads $6,135 per CMS Part B beneficiary in 2024 (lookup.py demand Leqvio: $296,288,761 over 48,298). Less the 6% Part B add-on, that is a net $5,788, close to the $5,184 net here. Case for higher: if ZENITH succeeds, zilebesiran carries an outcomes claim that Baxfendy's label says it lacks ('There are no controlled trials demonstrating risk reduction'). Case for lower: ICER found the aldosterone synthase inhibitors far above its value benchmarks at this price, which signals payer resistance to branded antihypertensives against generics. Discrepancy to flag: the book's baxdrostat seed prices Baxfendy off Leqvio's Part D $5,364, but Leqvio's Medicare beneficiaries sit 95% in Part B, and Baxfendy now has its own WAC"
ALNY,Zilebesiran,,US,base,gross_to_net_pct,,0.52657,,share taken off list,"Measured on Entresto, the book's closest cardiovascular oral brand with a CMS negotiated price. CMS Part D 2024 gross: $4,020,321,686 over 364,166,283 tablets = $11.0398 a tablet (lookup.py demand Entresto). The Maximum Fair Price for 2026 is $5.2266 a tablet, NDC 00078-0659 (book negotiated_prices, cms_mfp; $295 per 30-day equivalent supply). 1 - 5.2266 / 11.0398 = 0.5266","Judgement. A WAC anchor takes neither house convention, so the discount is sourced. Direction checked: 0.527 comes off list, and net is $5,184 a patient-year. Case for a smaller discount: a Maximum Fair Price is negotiated for a drug seven or more years past launch, so it sits below what a new launch realises (backend/gross_to_net.py says so). If zilebesiran is buy-and-bill under Part B, as Leqvio is, only the 6% add-on comes off an ASP that is already net. Case for a larger one: the gross figure is 2024 and the MFP is 2026, so list-price growth in between understates the discount slightly, and primary-care hypertension is a heavily rebated generic-dominated class. The house 0.5 on a CMS Part D figure would give almost the same net"
ALNY,Zilebesiran,,US,base,discontinuation_pct,,0.121,,share of treated stock stopping per year,"Blais JE et al., 'Adherence to PCSK9 Inhibitors in Clinical Practice: Systematic Review and Meta-Analysis of Observational Studies', JACC Adv 2026;5(5):102733, doi:10.1016/j.jacadv.2026.102733, PMID 42000553. Pooled 12-month discontinuation is 12.1% (95% CI 7.4-19.0) across alirocumab, evolocumab and inclisiran; 12-month persistence is 81.8%","Judgement on the analogue: an injectable CV-prevention agent added to cheap orals, closest to zilebesiran's infrequent dosing. It is the same value the book's olpasiran and lepodisiran seeds carry. Those seeds call it an inclisiran figure, but the pooled studies are mostly alirocumab and evolocumab, and the paper notes limited inclisiran evidence. Case for higher: 1 minus the 81.8% persistence gives 0.182, and the paper finds persistence declining beyond 12 months. Hypertension is asymptomatic, and oral antihypertensive persistence is worse. Case for lower: an HCP-administered injection twice a year needs two visits a year. Discrepancy to flag: the baxdrostat seed's discontinuation source is text about advanced solid tumours"
