# Caplyta (JNJ). 700mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
JNJ,Caplyta,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
JNJ,Caplyta,,US,base,base_revenue,,1353,,mm USD,"a 2026 run rate, not a reported year: the first half of 2026 as reported, $631mm, and the second half at the second quarter's pace, $361mm twice. Johnson & Johnson's Q1 and Q2 2026 10-Qs (0000200406-26-000087, 0000200406-26-000153), where Caplyta sold $270mm and $361mm. Its FY2025 figure of $700mm covers only the nine months after the Intra-Cellular acquisition closed on April 2, 2025",the anchor; Caplyta added adjunctive major depressive disorder in November 2025 and schizophrenia relapse prevention in April 2026
JNJ,Caplyta,,US,base,revenue_growth_pct,,0.250629,,"annual, near term","solved, not observed: the rate that carries the 1,353mm run rate to the 2,700mm peak by 2031, fading to nought as it arrives",the reported growth of a launch is a real rate and not a forecast
JNJ,Caplyta,,US,base,revenue_ceiling_musd,,2700,,mm USD,"GlobalData's forecast: 'Analysts at GlobalData forecast annual sales of $2.7bn by 2031, the furthest year in its revenue model.' (Pharmaceutical Technology, Robert Barrie, 2025-11-06). It replaces a judgement of $5bn","Johnson & Johnson itself projects 'CAPLYTA to reach $5 billion annually' (Q3 2025 call), a non-risk-adjusted peak including partner sales; an independent forecaster's figure is taken, as for every launch in the book"
JNJ,Caplyta,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
JNJ,Caplyta,,US,base,growth_fade_years,,5,,years,"the ramp's own length: growth fades to nought in 2032, the year after the 2031 figure it is solved to reach",
JNJ,Caplyta,,US,base,forecast_start_year,,2027,,year,the year after the 2026 run rate the anchor is taken from,2026 is left out of the valuation rather than filled with an estimate of its second half
JNJ,Caplyta,,US,base,forecast_years,,16,,years,long enough to carry the ramp and run past the July 2040 generic entry,
JNJ,Caplyta,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
JNJ,Caplyta,,US,base,cogs_pct,,0.3212,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Caplyta,,US,base,sga_pct,,0.2514,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Caplyta,,US,base,rd_pct,,0.1557,,share of revenue,"JNJ FY2025, from the filed lines",
JNJ,Caplyta,,US,base,other_costs_pct,,-0.048836,,share of revenue,"derived: JNJ turned 21.57% of revenue into free cash over 2023 to 2025 against the 23.4% its filed expense lines leave. Restated before interest: JNJ paid $5,540mm of interest inside operating cash flow over 2023 to 2025, 2.07% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 2.11% to 0.04%. Restated at replacement capex: JNJ spent $13,799mm on plant over 2023 to 2025 against $8,728mm of depreciation and amortisation less amortisation of intangibles, 1.89% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 0.04% to 0.00%. Restated without one-off cash: JNJ's free cash flow over 2023 to 2025 carried $6,000mm of US transition tax (2023 instalment 1,500mm; 2024 instalment 2,000mm; 2025 instalment 2,500mm). None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 27.17% pre-tax margin where the cash over 2023 to 2025 supports 31.91%, so the charge rebuilds at -4.74%. It was held at nil, but JNJ books $4,600mm of non-cash amortisation of acquired intangibles inside cost of sales in FY2025 (0000200406-26-000016), 4.88% of revenue, so the charge takes the rebuilt figure: -4.74%. Restated without working capital build: over 2023 to 2025 JNJ's cash flow statement shows receivables up $2,811mm, inventories up $3,901mm, payables and accrued liabilities up $6,344mm, a working capital build of $368mm, 0.14% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -4.74% to -4.88%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
JNJ,Caplyta,,US,base,tax_rate,,0.1395,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
JNJ,Caplyta,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
JNJ,Caplyta,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
JNJ,Caplyta,,US,base,beta,,0.47,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.20 raw)",
JNJ,Caplyta,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
JNJ,Caplyta,,US,base,debt_weight,,0.068326,,,"filed TotalDebt of 49,036mm USD at 2026-06-28 over debt plus market capitalisation",
