# PF-08634404 (SSGJ-707): the PD-1/VEGF bispecific antibody Pfizer licensed from 3SBio in July 2025 for everywhere outside China, with an option on China.
# Built on the indications Pfizer's FY2025 10-K lists in its late-stage table, first-line NSCLC (February 2029 completion, a 2031 start) and first-line colorectal cancer;
# priced off Keytruda, turned over at its own phase 2 progression-free survival, scaled abroad by Lorbrena's split and cut to the share a 10% royalty leaves.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
PFE,PF-08634404,,US,base,therapy_mode,,,chronic,,"ASCO 2026 abstract 8514 (J Clin Oncol 2026;44(16 suppl), doi:10.1200/JCO.2026.44.16_suppl.8514), the phase 2 of SSGJ-707 (NCT06361927): 10 mg/kg every 3 weeks, the FDA-aligned dose carried into phase 3, given until disease progression or unacceptable toxicity; Symbiotic-Lung-01 (NCT07222566) and Symbiotic-GYN-18 (NCT07578649) continue PF-08634404 as maintenance after chemotherapy","an infusion every three weeks continued as maintenance, not a single course"
PFE,PF-08634404,,US,base,list_price_per_patient,,0.079464,,mm USD,"Keytruda, CMS Medicare Part B 2024: $5,988,521,233 over 75,361 beneficiaries, $79,464 a beneficiary. Pembrolizumab is the comparator arm of Symbiotic-Lung-01 (NCT07222566) and Symbiotic-GYN-18 (NCT07578649) and the PD-1 antibody PF-08634404 would replace (the price the ABBV-1480 seed uses)","a comparator, not a price this product has. Spending over beneficiaries counts partial years, so it sits below a full year of therapy. In colorectal cancer the comparator is bevacizumab, priced as a biosimilar (Zirabev, Pfizer's own, $8,702 a Part B beneficiary in 2024), so a checkpoint price there assumes the bispecific is paid as a PD-1 antibody in every indication"
PFE,PF-08634404,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it (the basis the sacituzumab tirumotecan seed uses)","an infused medicine bought and billed under Part B. Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high"
PFE,PF-08634404,,US,base,discontinuation_pct,,0.4887,,share stopping a year,"ASCO 2026 abstract 8514 (doi:10.1200/JCO.2026.44.16_suppl.8514): median progression-free survival of 12.4 months on SSGJ-707 alone at 10 mg/kg every 3 weeks in 34 patients with treatment-naive advanced NSCLC and PD-L1 of 1% or more, 41.2% still on treatment at a median follow-up of 15.2 months. At a constant hazard 0.5^(12/12.4) = 51.1% remain after a year, so 48.9% stop","the molecule's own median at its phase 3 dose, and close to the class figure the ABBV-1480 seed takes from HARMONi-6 (11.1 months, 52.7% stopping). It is lung monotherapy: the randomised phase 2 with chemotherapy reported response rates but no median (J Immunother Cancer 2025;13(Suppl 3):A1568, abstract 1328, doi:10.1136/jitc-2025-SITC2025.1328), and nothing is published in endometrial or colorectal cancer, so the lung figure stands for all three indications"
PFE,PF-08634404,,US,base,forecast_start_year,,2031,,year,"Symbiotic-Lung-01 (NCT07222566, PF-08634404 with chemotherapy against pembrolizumab with chemotherapy in first-line NSCLC, 1,410 patients, recruiting since January 2026) has the earliest estimated primary completion among the asset's phase 3 trials, February 2029 (trials table and ClinicalTrials.gov, updated 17 August 2026); the book's pipeline seeds put the first full year two calendar years after it","no filing, acceptance or PDUFA date is stated in the FY2025 10-K (0000078003-26-000026) or either 2026 10-Q (0000078003-26-000054, 0000078003-26-000095). The 10-K's late-stage table lists PF-08634404 in first-line metastatic colorectal cancer and first-line squamous and non-squamous NSCLC, and neither 10-Q adds an indication. The phase 2/3 in extensive-stage small cell lung cancer (NCT07226999, June 2030) and in gastroesophageal adenocarcinoma (NCT07392892, July 2031) read out later and are not built here"
PFE,PF-08634404,,US,base,economics_share,,0.525873,,share,"derived from the lowest royalty the filings state: 3SBio is eligible for ""tiered double-digit royalties on sales of SSGJ-707/PF-08634404, if approved"", so at least 10%, Note 2F of the FY2025 10-K (0000078003-26-000026). Pfizer's company rows in this file (cost of sales 25.67%, SG&A 22.04%, R&D 16.68%, other costs 14.52%) leave a 21.09% pre-tax margin, and a royalty of 10% of sales leaves 0.5259 of it, which is the share taken, since every cost in the build scales with revenue","a floor on the royalty, so the share is a ceiling: higher tiers take more. Recompute if Pfizer's cost rows change. China sits outside the licence unless the option is exercised, and Lorbrena's international revenue includes China, so the ex-US multiple leans high"
PFE,PF-08634404,"Carcinoma, Non-Small-Cell Lung",US,base,prevalence,,192650,,patients,"226,650 new US lung cancers in 2025 (SEER), about 85% of them non-small cell, the pool the volrustomig, sacituzumab tirumotecan and ABBV-1480 seeds use",the annual diagnosed population
PFE,PF-08634404,"Carcinoma, Non-Small-Cell Lung",US,base,incidence,,192650,,patients a year,lung cancer incidence is the pool: diagnosed and treated each year rather than accumulated,
PFE,PF-08634404,"Carcinoma, Non-Small-Cell Lung",US,base,eligible_pct,,0.3546,,share of the pool,"three filters multiplied: 55% advanced or metastatic at presentation (the volrustomig seed); 81.6% without an alteration that carries a first-line targeted therapy, the complement of the 18.4% in that category among 2023 diagnoses in 8,717 profiled US patients with advanced NSCLC (Wang et al., J Natl Compr Canc Netw 2026, doi:10.6004/jnccn.2025.7131); and 79% starting first-line therapy, 2,904 of 3,661 US patients with stage IV NSCLC without EGFR or ALK alterations (Abernethy et al., PLoS One 2017, doi:10.1371/journal.pone.0178420, the ABBV-1480 seed's share). 0.55 x 0.816 x 0.79 = 0.3546, about 68,300 patients a year","Symbiotic-Lung-01 enrols first-line stage IIIB to IV squamous and non-squamous NSCLC at any PD-L1 level and excludes actionable alterations with an available first-line therapy, which is this population. Wang's share is of profiled patients and Abernethy's treated share predates first-line immunotherapy. The PD-L1 50% or more subset of these patients, about 26,000 a year, is the whole population of sigvotatug vedotin's Be6A Lung-02, so the two Pfizer seeds overlap there"
PFE,PF-08634404,"Carcinoma, Non-Small-Cell Lung",US,base,exus_multiple,,1.5135,,x US,"Lorbrena, Pfizer's own NSCLC medicine and the only Pfizer oncology product reported by region with worldwide rights and no loss of exclusivity inside the split: FY2025 revenues of $616mm International against $407mm U.S. (10-K 0000078003-26-000026, product revenue table; asset_revenue_regions), a ratio of 1.514","the same disease, but it leans high for this asset: Lorbrena's international line includes China, which is 3SBio's territory unless Pfizer exercises its option. Ibrance, Pfizer's other oncology medicine with a clean split, is 0.521 ($1,412mm against $2,710mm) after generic entry in some international markets; Padcev, Adcetris and Xtandi are split by partner territory and cannot be used. Keytruda, the class benchmark, is 0.680 for Merck ($12,812mm against $18,829mm, asset_revenue_regions). Lorbrena's own second quarter of 2026 ran $221mm against $133mm (10-Q 0000078003-26-000095), 1.66, on 'increased patient share in the first-line ALK+ metastatic NSCLC treatment setting in the U.S., China and certain other international markets', so a launch ratio leans high. Inlyta, the VEGF inhibitor Pfizer sells with pembrolizumab, is 0.789 ($407mm against $516mm, Q4 2025 results 8-K exhibit 0000078003-26-000005) but has no basic product patent left in the 10-K's list, so its split is not a launch analogue"
