# Sanofi net sales that no product on file carries, EUR 13,836mm of EUR 43,626mm in FY2025,
# so the model reconciles to the reported total rather than to the product rows alone.
#
# The FY2025 20-F (0001628280-26-008403) lists net sales by product and by vaccine franchise.
# The 23 products modelled sum to 29,790; the rest is the 15 lines below, and the two together
# are the reported total in both 2025 and 2024 (FY2024 20-F 0001121404-25-000010).
#
# Vaccines: the franchises outside Beyfortus. COVID-19 and influenza sell in the second half
# of the year, and the COVID part is Novavax's vaccine, on which Novavax takes a royalty.
# Established medicines: Lovenox, Praluent, Aprovel, Soliqua, Alprolix, Eloctate, Fasturtec,
# industrial sales of active ingredients to third parties, and 'Others', a tail Sanofi does
# not break down. Launches: Ayvakit, which came with Blueprint in July 2025 and is a growth
# product rather than a tail, with Qfitlia and Wayrilz beside it.
#
# Other revenues of 3,090 (VaxServe distribution of other companies' products 1,780, contract
# manufacturing 557, Opella products 487, royalties 146, sales to Opella 120) sit outside net
# sales, outside the reported revenue every ratio is struck on, and are not carried here.
# Opella, the consumer business, is a discontinued operation and is in neither.
#
# Margins and the discount rate are the company's, copied from the rows every Sanofi product
# carries, so the products and these lines together are the company's own P&L.
ticker,line,scenario,key,value,text_value,unit,source,note
SNY,Vaccines other,base,base_revenue,6155.0,,mm EUR,"Sanofi FY2025 20-F (0001628280-26-008403), net sales by franchise: Polio/Pertussis/Hib and Boosters 2,554, COVID-19 and Influenza 2,314, Meningitis, Travel and Endemics 1,287, EUR mm",Beyfortus is modelled as a product
SNY,Vaccines other,base,revenue_growth_pct,-0.069118,,"annual, near term","the same franchises a year earlier (FY2024 20-F 0001121404-25-000010): 2,741, 2,555 and 1,316, together 6,612, so -6.9% in reported EUR","the first half of 2026 was 2,050 against 2,184, with influenza and COVID-19 selling in the second half (6-K 0001628280-26-050803)"
SNY,Vaccines other,base,terminal_growth_pct,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,"faded to flat: a collection of products does not renew itself, the launch line does that"
SNY,Vaccines other,base,growth_fade_years,5,,years,convention: a recent rate describes next year,
SNY,Vaccines other,base,forecast_start_year,2026,,year,the year after the last reported full year,
SNY,Vaccines other,base,forecast_years,10,,years,the horizon most of SNY's marketed assets carry,
SNY,Vaccines other,base,pos,1.0,,,booked revenue,"stated, because no development phase applies"
SNY,Vaccines other,base,cogs_pct,0.279316,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Vaccines other,base,sga_pct,0.204234,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
SNY,Vaccines other,base,rd_pct,0.167907,,share of revenue,"SNY FY2025, from the filed lines. Struck on total revenue: Sanofi's filed cost lines sit against net sales of EUR 43,626mm and other revenues of EUR 3,090mm together (FY2025 20-F 0001628280-26-008403, Note D.34.2), so each ratio is scaled by 43,626 over 46,716 and charged on every revenue the model carries. The book's costs are the filed ones either way; this shares them across the revenue that earned them",", restated onto total revenue from the net sales base"
