# Fumarate (BIIB). $1,426mm in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier. Both figures come from the SEC financial statement data sets, tagged
# in the same filing, so the pair needs no reading of a table to establish.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
BIIB,Fumarate,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
BIIB,Fumarate,,US,base,base_revenue,,1426.5,,mm USD,"BIIB FY2025 reported product revenue, from the 10-K product axis (sec_fsds)",the anchor
BIIB,Fumarate,,US,base,revenue_growth_pct,,-0.105699,,"annual, near term","the same product axis a year earlier: $1,426mm in FY2025 against $1,595mm in FY2024, both from the SEC financial statement data sets. The comparative year is tagged in the same filing as the anchor",the last reported year over the one before it
BIIB,Fumarate,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
BIIB,Fumarate,,US,base,growth_fade_years,,5,,years,"convention: a recent rate describes next year, not the decade after it",
BIIB,Fumarate,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
BIIB,Fumarate,,US,base,forecast_years,,10,,years,"no exclusivity on file, so the horizon is the convention",
BIIB,Fumarate,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
BIIB,Fumarate,,US,base,cogs_pct,,0.2431,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Fumarate,,US,base,sga_pct,,0.2461,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Fumarate,,US,base,rd_pct,,0.1798,,share of revenue,"BIIB FY2025, computed from the filed lines",
BIIB,Fumarate,,US,base,other_costs_pct,,0.087762,,share of revenue,"derived: BIIB generated $6,043mm of free cash flow on $29,402mm of revenue over 2023, 2024 and 2025, a 20.55% margin, against the 28.0% its filed expense lines leave","amortisation of acquired intangibles, restructuring and capital spending, none of which the filed expense lines carry"
BIIB,Fumarate,,US,base,tax_rate,,0.1552,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
BIIB,Fumarate,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
BIIB,Fumarate,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
BIIB,Fumarate,,US,base,beta,,0.68,,,"computed from 261 weekly returns vs S&P 500, 2021-W34 to 2026-W35, Blume-adjusted (0.52 raw)",
BIIB,Fumarate,,US,base,cost_of_debt,,0.0523,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-08-26",
BIIB,Fumarate,,US,base,debt_weight,,0.161284,,,"filed TotalDebt of $6,288mm over debt plus market capitalisation: 147.6mm shares at 2026-04-27 at the $221.50 close of 2026-08-27",
