# A revenue line joined to the FDA application whose exclusivity governs it.
#
# A company books revenue under a name the FDA does not know it by. Sanofi books
# Dupixent and the BLA is Regeneron's; Pfizer books Eliquis on Bristol's NDA and Xtandi on
# Astellas's; Novo books Rybelsus on its own NDA, which the approvals feed folded into
# Ozempic; Merck books Lynparza on AstraZeneca's. The Orange Book and the Purple Book
# attach exclusivity to the applicant, so none of these lines carried a date, and 121
# of the 297 revenue-anchored forecasts ran to perpetuity for want of one.
#
# This file holds only the join. The date still comes from the books, on the same rule
# as every other asset: where the application sits under another asset on file the line
# reads that asset's resolved date (so Rybelsus takes semaglutide's curated compound
# patent, as Ozempic does); where nothing on file holds it, the book fetchers attach the
# application's own rows to the line directly. A family line names the member whose
# exclusivity runs latest, and says so.
#
# Application numbers and sponsors were checked against openFDA drugsfda on 2026-09-11.
#
# reference_product is 0 for a biosimilar or an insulin deemed a BLA in March 2020:
# neither is a reference product, so no date resting on the BPCIA twelve years is read
# for it. Blank means no claim either way.
ticker,asset,application_number,note,reference_product
NVO,Rybelsus,NDA213051,"oral semaglutide; openFDA lists the NDA under Novo and the approvals feed folded it into Ozempic, whose curated compound patent (8129343, 2031-12-05) is the same molecule"
SNY,Dupixent,BLA761055,"Regeneron's BLA; Sanofi books the global sales"
PFE,Eliquis,NDA202155,"Bristol-Myers Squibb's NDA; Pfizer books its share of the alliance"
AZN,Ultomiris,BLA761108,"Alexion's BLA, approved 2018-12-21; Alexion is AstraZeneca since 2021 and is not in the applicant map because mapping it would spawn a second Ultomiris"
AZN,Soliris,BLA125166,"Alexion's BLA, approved 2007-03-16"
AZN,Strensiq,BLA125513,"Alexion's BLA, approved 2015-10-23"
AZN,Enhertu,BLA761139,"Daiichi Sankyo's BLA, approved 2019-12-20; AstraZeneca co-commercialises"
AZN,Tezspire,BLA761224,"the BLA is Amgen's (BLA761224 under AstraZeneca AB in openFDA, held on Amgen's asset here); AstraZeneca books its share"
AZN,Beyfortus,BLA761328,"AstraZeneca AB's BLA, approved 2023-07-17, booked by AstraZeneca and marketed by Sanofi"
AZN,Synagis,BLA103770,"BLA now Sobi's; AstraZeneca books ex-US"
AZN,Zoladex,NDA019726,"TerSera holds the US NDA; AstraZeneca books ex-US. Approved 1989, no live patent"
NVO,Xultophy,BLA208583,"the same application as the Xultophy 100/3.6 asset",0
NVO,Fiasp,BLA208751,"the same application as the Fiasp Penfill asset",0
