# Ifinatamab deruxtecan (I-DXd, MK-2400): the B7-H3 DXd ADC Merck shares equally with Daiichi Sankyo.
# Dated from its October 2026 PDUFA date in small cell lung cancer, which the book cannot carry, and
# built on metastatic castration-resistant prostate cancer, its one phase 3 on file, from a 2029 launch.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
MRK,Ifinatamab Deruxtecan,,US,base,therapy_mode,,,chronic,,IDeate-Prostate01 (NCT06925737) gives 12 mg/kg every three weeks until progression,"continuing therapy, not a single course"
MRK,Ifinatamab Deruxtecan,,US,base,list_price_per_patient,,0.06914,,mm USD,"Enhertu, CMS Medicare Part B 2024: $581,465,185 over 8,410 beneficiaries, $69,140 a beneficiary. Enhertu is Daiichi Sankyo's DXd ADC on the same linker and payload, and the closest comparator on file","a comparator, not a price this product has. Spending over beneficiaries counts patients treated for part of the year, so it sits below a full year of therapy"
MRK,Ifinatamab Deruxtecan,,US,base,gross_to_net_pct,,0.0566,,share off list,"Social Security Act section 1847A: Medicare Part B pays 106% of average sales price, and ASP is already net of manufacturer discounts and rebates, so the manufacturer's price is the CMS figure divided by 1.06, which is 5.66% below it","Medicaid rebates and 340B discounts sit outside ASP and are not taken off, so the net price leans high. The 50% the AZN seeds take is a retail Part D convention and does not fit a drug bought and billed under Part B; Merck's Keytruda seed takes no haircut at all"
MRK,Ifinatamab Deruxtecan,,US,base,discontinuation_pct,,0.8169,,share stopping a year,"IDeate-Lung01 (J Clin Oncol 2026, doi:10.1200/JCO-25-02142): median progression-free survival of 4.9 months at 12 mg/kg, the dose IDeate-Prostate01 gives. At a constant hazard 0.5^(12/4.9) = 18.3% remain after a year, so 81.7% stop","the only published median for I-DXd at this dose is in small cell lung cancer, a faster disease than prostate cancer, so this overstates stopping and understates the stock. No prostate median has been published"
MRK,Ifinatamab Deruxtecan,,US,base,forecast_start_year,,2027,,year,"Merck 10-Q for Q2 2026 (0000310158-26-000212): I-DXd is under priority review in the US for previously treated extensive-stage small cell lung cancer, with a PDUFA target action date of October 10, 2026, so a first full year in 2027","small cell lung cancer is not an indication this asset carries in the book (the phase 3 IDeate-Lung02 is Daiichi Sankyo's and not on the trials table), so none of that revenue is here. Prostate launches later and carries its lag in the ramp midpoint. Dating the asset from first licensure also starts the 12-year biologic exclusivity default where the statute starts it; the compound patent Merck lists runs to 2034 (FY2025 10-K), inside that"
MRK,Ifinatamab Deruxtecan,,US,base,economics_share,,0.5,,share,"Merck FY2025 10-K (0000310158-26-000063), Note 4, Daiichi Sankyo: the companies share research and development costs equally, Daiichi Sankyo records sales worldwide, and the companies equally share expenses as well as profits worldwide except Japan, where Daiichi Sankyo keeps exclusive rights and Merck receives a 5% sales-based royalty","Merck also owes up to $5.5bn of sales-based milestones for each DXd ADC, which this share does not charge. Japan sits inside the ex-US multiple at half rather than a 5% royalty, which leans high"
MRK,Ifinatamab Deruxtecan,Prostatic Neoplasms,US,base,prevalence,,313780,,patients,"313,780 US prostate cancer diagnoses in 2025, the base the pasritamig seed uses",the diagnosed population the metastatic castration-resistant share is taken from
MRK,Ifinatamab Deruxtecan,Prostatic Neoplasms,US,base,incidence,,313780,,patients a year,"313,780 US prostate cancer diagnoses in 2025, the base the pasritamig seed uses",
MRK,Ifinatamab Deruxtecan,Prostatic Neoplasms,US,base,eligible_pct,,0.0434,,share of the pool,"three steps: 11.5% of diagnoses a year become mCRPC (the pasritamig seed, from Scher et al. 2015, about 36,100 men); 77% of 2,559 US mCRPC patients received a life-prolonging therapy and 49% of those went on to a second line (George et al., Clin Genitourin Cancer 2020, doi:10.1016/j.clgc.2019.12.019). 0.115 x 0.77 x 0.49 = 0.0434, about 13,600 men a year","IDeate-Prostate01 enrols after one or two androgen receptor pathway inhibitors and before a taxane for mCRPC, which is the line after the first. Where the inhibitor was given for hormone-sensitive disease that line comes earlier and the pool is larger"
MRK,Ifinatamab Deruxtecan,Prostatic Neoplasms,US,base,exus_multiple,,0.6804,,x US,"Keytruda, Merck's own infused oncology medicine and its closest marketed analogue: FY2025 sales outside the US of $12,812mm against $18,829mm in the US (asset_revenue_regions, SEC financial statement data sets), a ratio of 0.680","includes Japan, which is Daiichi Sankyo's alone"
