# Nebulized Tyvaso (UTHR). 586mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# The brand column reads Tyvaso, the name the asset holds under NDA22387, because the
# loader matches a brand and no product is called Nebulized Tyvaso. Under that name the
# file never loaded, and the asset carried Tyvaso DPI's 1,292.5mm and +25.0% instead.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
UTHR,Tyvaso,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
UTHR,Tyvaso,,US,base,base_revenue,,585.7,,mm USD,"UTHR FY2025 10-K (0001082554-26-000006, filed 2026-02-25), the Nebulized Tyvaso row of the revenue table, tagged NebulizedTyvaso on the product axis (sec_fsds)","the anchor. Tyvaso DPI is its own row, at 1,292.5"
UTHR,Tyvaso,,US,base,revenue_growth_pct,,-0.001875,,"annual, near term","the same 10-K table a year earlier: 585.7 in FY2025 against 586.8 in FY2024, both in USD",the last reported year over the one before it
UTHR,Tyvaso,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
UTHR,Tyvaso,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
UTHR,Tyvaso,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
UTHR,Tyvaso,,US,base,forecast_years,,10,,years,no exclusivity on file,
UTHR,Tyvaso,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
UTHR,Tyvaso,,US,base,cogs_pct,,0.1208,,share of revenue,"UTHR FY2025, from the filed lines",
UTHR,Tyvaso,,US,base,sga_pct,,0.2375,,share of revenue,"UTHR FY2025, from the filed lines",
UTHR,Tyvaso,,US,base,rd_pct,,0.1728,,share of revenue,"UTHR FY2025, from the filed lines",
UTHR,Tyvaso,,US,base,other_costs_pct,,0,,share of revenue,"derived: UTHR turned 34.20% of revenue into free cash over 2023 to 2025 against the 36.6% its filed expense lines leave. Restated before interest: UTHR paid $110mm of interest inside operating cash flow over 2023 to 2025, 1.31% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 3.03% to 1.72%. Restated at replacement capex: UTHR spent $997mm on plant over 2023 to 2025 against $209mm of plant depreciation, 9.40% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.72% to 0.00%. Restated without one-off cash: UTHR's free cash flow over 2023 to 2025 carried $136mm of deal payments in operating cash flow, capital allocation whose assets the book values separately. None recurs, so the charge stays nil. Restated without working capital build: over 2023 to 2025 UTHR's cash flow statement shows receivables up $130mm, inventories up $113mm, payables and accrued liabilities up $198mm, a working capital build of $45mm, 0.54% of revenue. Growth ties that cash up once, not on every product for ever, so the charge was held at nil where the filed figures rebuild it at -11.96%, and stays there.","amortisation, restructuring and capital spending, none of which the filed lines carry"
UTHR,Tyvaso,,US,base,tax_rate,,0.2203,,effective rate,aggregate effective rate over the 6 years to 2025 with positive pre-tax income,
UTHR,Tyvaso,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
UTHR,Tyvaso,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
UTHR,Tyvaso,,US,base,beta,,0.71,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.56 raw)",
UTHR,Tyvaso,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
UTHR,Tyvaso,,US,base,debt_weight,,0.0,,,"no debt is tagged in the SEC company facts for United Therapeutics, and its FY2025 10-K states that the outstanding balance under its 2025 revolving credit agreement, which matures in 2030, was zero as of December 31, 2025","zero is a reading of the balance sheet rather than a convention. The cost of debt beside it is inert while this holds"
