# Deramiocel (CAP-1002) (CAPR).
# Deramiocel (CAP-1002) is Capricor's allogeneic cardiosphere-derived cell therapy for Duchenne muscular dystrophy, infused IV every 3 months, for any genotype. The Phase 3 is HOPE-3 (NCT05126758, n=106, age 10+, late- or non-ambulatory). It met its primary endpoint: PUL2.0 favoured deramiocel by 4.55% at 12 months, p=0.029 (Lancet 2026;408:721, PMID 42526472). The FDA advisory committee voted 3-9 against the cardiomyopathy indication on 29 July 2026. Capricor then amended the BLA toward an upper-limb indication, and the PDUFA date moved to 2026-11-22 (8-K 0001104659-26-100071). Price anchor: Duvyzat (givinostat), the genotype-agnostic DMD add-on, at a published $700,000 a year, less Sarepta's filed 21% DMD gross-to-net. Uptake anchor: more than 2,000 Duvyzat prescriptions in about two years, halved. Nippon Shinyaku is the exclusive US distributor. Capricor receives 30-50% of product revenue (10-K 0001104659-26-029580) but is in arbitration seeking rescission over a 'fundamental pricing flaw'. Second reader: the FDA disputes the efficacy claims (BioPharm International, 'FDA Disputes Capricor's Phase 3 Efficacy Claims'; STAT, 2026-08-20, reported the BLA 'heading for an FDA rejection'), and Capricor's two 2026 10-Qs no longer restate the 30-50% US share, which was last filed in the FY2025 10-K. Neither is a refusal: the BLA is pending, and the share is filed and in force until an arbitrator rules.
#
# Researched and then checked by a second reader who reopened every source, 2026-09-25.
# Company-level rows: own beta and debt; cost lines borrowed from ALNY, the comparator, as Viking's are from Lilly's.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
CAPR,Deramiocel (CAP-1002),,US,base,beta,,1.2,,,"computed from 261 weekly returns vs S&P 500, 2021-W38 to 2026-W39, Blume-adjusted (1.29 raw)",
CAPR,Deramiocel (CAP-1002),,US,base,cogs_pct,,0.1823,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease specialist with its own filed FY2025 lines that makes its own product, as Capricor makes deramiocel. No company in the book sells an allogeneic cell therapy from filed lines; a cell therapy's cost of goods likely runs above Alnylam's 18.23%, which is the case against. CAPR has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when CAPR files a cost of sales"
CAPR,Deramiocel (CAP-1002),,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
CAPR,Deramiocel (CAP-1002),,US,base,debt_weight,,0,,,"no borrowings: Capricor's 10-Q for the quarter to 2026-06-30 (0001104659-26-097294, MD&A) puts total liabilities at about $122.5mm, $91.0mm of lease liabilities, $19.5mm of payables and accruals and $12.0mm of deferred revenue; no LongTermDebt, DebtCurrent or ShortTermBorrowings is tagged in its SEC company facts",a reading of the balance sheet
CAPR,Deramiocel (CAP-1002),,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
CAPR,Deramiocel (CAP-1002),,US,base,other_costs_pct,,0,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease specialist with its own filed FY2025 lines that makes its own product, as Capricor makes deramiocel. No company in the book sells an allogeneic cell therapy from filed lines; a cell therapy's cost of goods likely runs above Alnylam's 18.23%, which is the case against. CAPR has no product revenue of its own to read a ratio from. ALNY's source: derived: ALNY generated $465mm of free cash flow on $3,714mm of revenue in 2025, its first year of profit, a 12.52% margin, against the 10.8% its filed expense lines leave after the 21% tax. Restated before interest: Alnylam paid $219mm of interest inside operating cash flow in 2025, 5.89% of revenue, most of it likely the cost of repurchasing its 2027 notes rather than coupon. Restated at replacement capex: 0.13% of revenue. Checked without one-off cash: no one-off cash stated for the year. Restated without working capital build: $276mm, 7.44% of revenue, the stock of a product line growing 60% a year. With those the cash supports a 31.30% pre-tax margin against 13.63% on the filed lines, so the charge rebuilds at -17.67% (charge_floor.measure) and is held at nil: no amortisation of acquired intangibles is on file for Alnylam. Without the interest add-back it still rebuilds below nil","a comparator, not a measurement; revisit when CAPR files a cost of sales"
CAPR,Deramiocel (CAP-1002),,US,base,rd_pct,,0.3554,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease specialist with its own filed FY2025 lines that makes its own product, as Capricor makes deramiocel. No company in the book sells an allogeneic cell therapy from filed lines; a cell therapy's cost of goods likely runs above Alnylam's 18.23%, which is the case against. CAPR has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when CAPR files a cost of sales"
CAPR,Deramiocel (CAP-1002),,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
CAPR,Deramiocel (CAP-1002),,US,base,sga_pct,,0.326,,share of revenue,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease specialist with its own filed FY2025 lines that makes its own product, as Capricor makes deramiocel. No company in the book sells an allogeneic cell therapy from filed lines; a cell therapy's cost of goods likely runs above Alnylam's 18.23%, which is the case against. CAPR has no product revenue of its own to read a ratio from. ALNY's source: ALNY FY2025, computed from the filed lines","a comparator, not a measurement; revisit when CAPR files a cost of sales"
CAPR,Deramiocel (CAP-1002),,US,base,tax_rate,,0.21,,effective rate,"comparator estimate: ALNY's row, because Alnylam is the book's rare-disease specialist with its own filed FY2025 lines that makes its own product, as Capricor makes deramiocel. No company in the book sells an allogeneic cell therapy from filed lines; a cell therapy's cost of goods likely runs above Alnylam's 18.23%, which is the case against. CAPR has no product revenue of its own to read a ratio from. ALNY's source: US federal statutory rate","a comparator, not a measurement; revisit when CAPR files a cost of sales"
