# Povetacicept (VRTX): the dual BAFF/APRIL inhibitor from the Alpine acquisition, under FDA review for accelerated
# approval in IgA nephropathy with a PDUFA date of November 30, 2026. The pool is the claims-based US IgAN population
# in CKD stages 1 to 4 with proteinuria at RAINIER's threshold, priced at Voyxact, paced by Tarpeyo's CMS launch
# and set to take the eligible pool at the rate Filspari has measurably taken it.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
VRTX,Povetacicept,,US,base,therapy_mode,,,chronic,,Vertex FY2025 10-K (0000875320-26-000056): a small volume dose 'is expected to be self-administered at home once every four weeks via a subcutaneous auto-injector',"taken for as long as it works, which discontinuation_pct carries"
VRTX,Povetacicept,,US,base,list_price_per_patient,,0.399499,,mm USD,"the price is Voyxact's (sibeprenlimab), the anti-APRIL antibody the FDA approved for Otsuka in IgAN on 25 November 2025 and the closest comparator in the B-cell class with a CMS figure, self-injected every four weeks as povetacicept will be: CMS Medicare Quarterly Part D Spending by Drug, Q1 2026, $4,640,341 over 151 claims is $30,730.73 a claim, and 13 four-week doses a year (Voyxact label: 400 mg once every 4 weeks) give $399,499","a comparator, not a price this product has. Voyxact is not in drug_demand because Otsuka is not in the universe, so the figure is read from the CMS file. It sits 2.4% above the $30,000 package WAC ICER takes from RedBook ($390,000 a year); per beneficiary the quarter is $51,559 because most patients started inside it. Trutakna (atacicept), the dual BAFF/APRIL inhibitor approved in July 2026, has no CMS figure yet and lists at about $425,000 a year (BioPharma Dive, 7 July 2026). Filspari, the non-B-cell IgAN tier, annualises to $157,276"
VRTX,Povetacicept,,US,base,gross_to_net_pct,,0.25,,share off list,"ICER, B-Cell Directed Therapies for IgA Nephropathy, Evidence Report, 9 February 2026, Table E2.3: IPD Analytics forecasts a 25% discount from WAC for sibeprenlimab, an estimated net price of $292,500 a year","applied to the CMS figure rather than WAC, so the net price here, $299,624, is 2.4% above ICER's. Vertex's own derived floor for its CF medicines is 27.77% (vrtx_prices.csv), close to it. The book's 50% is a convention for manufacturer rebates in competitive retail classes, and no measured discount supports it here"
VRTX,Povetacicept,,US,base,discontinuation_pct,,0.275,,share stopping a year,"the tulisokibart seed's evidenced rate, reused: Dulai PS et al., Crohn's & Colitis 360, 2026 (IQVIA PharMetrics Plus, 6,726 US adults with ulcerative colitis starting an advanced therapy): 38.1% still on their first advanced therapy at 36 months, which is 27.5% of the stock stopping each year","no US persistence series exists yet for a B-cell therapy in IgAN, whose first entrant launched in late 2025, so this is the book's measured persistence for a biologic maintained in a chronic immune-mediated disease. IgAN-specific evidence is thin and points lower: 4 of 41 patients stopped sparsentan in their first year in a Spanish real-world cohort (Clin Kidney J 2026, doi:10.1093/ckj/sfag298), and ICER's model keeps patients on sibeprenlimab and atacicept until kidney failure. So this leans conservative"
VRTX,Povetacicept,,US,base,forecast_start_year,,2027,,year,"filing-stated: Vertex's Q2 2026 10-Q (0000875320-26-000259) reports the FDA accepted the BLA for accelerated approval of povetacicept for adults with IgAN and assigned a PDUFA target action date of November 30, 2026, so 2027 is the first full year of revenue",the BLA was completed in March 2026 on a priority review voucher (8-K 0000875320-26-000147). A December 2026 launch adds nothing material to 2026
VRTX,Povetacicept,,US,base,economics_share,,1.0,,share of the asset,"Vertex FY2025 10-K (0000875320-26-000056), Note B: Vertex acquired all of Alpine Immune Sciences' shares on 20 May 2024 for about $5.0bn, povetacicept was substantially all of the fair value acquired, and $4.4bn was expensed as acquired IPR&D. The contingent consideration Vertex carries relates only to up to $678.3mm of milestones potentially payable to Exonics' former equity holders, and the in-licence agreements listed (CRISPR, Moderna, Entrada) do not cover povetacicept, so no royalty or milestone owed on it is disclosed","all of the economics in Vertex's territory. Vertex out-licensed mainland China, Hong Kong, Macau, Taiwan and Singapore to Zai Lab (January 2025, $10.0mm upfront) and Japan and South Korea to Ono (June 2025, $20.6mm upfront), and receives milestones and tiered royalties there, which this seed does not add"
VRTX,Povetacicept,,US,base,pos,,0.884,,probability,"under FDA review: the BLA for accelerated approval was accepted with a PDUFA date of November 30, 2026 (10-Q 0000875320-26-000259) and rests on 'positive Week 36 interim analysis results for the primary and all secondary endpoints in the RAINIER Phase 3 trial' (Q1 2026 results 8-K exhibit 99.1, 0000875320-26-000171). BIO/Informa/QLS, Clinical Development Success Rates 2011-2020, Figure 2: NDA/BLA to approval is 88.4% (n=69) for the Other group, where the report places renal indications","the renal row rather than the 90.6% for all indications or 94.1% for autoimmune. Voyxact and Trutakna, in the same class, were both approved on proteinuria under accelerated approval (their FDA labels). Not higher: the rate counts eventual approval, and RAINIER's eGFR slope through week 104 (NCT06564142, primary completion January 2028) still has to confirm the benefit. Stated because the asset's only asset_indications row is the Phase 2 in myasthenia gravis, which would default it to 0.20"
VRTX,Povetacicept,"Glomerulonephritis, IGA",US,base,prevalence,,198887,,patients,"DeCongelio M et al., Clin Nephrol 2025;103(1):19-25 (doi:10.5414/CN111489): IgAN biopsy rates extrapolated to Komodo Health claims give 59.9 per 100,000, which on the 2021 US population of 332,031,554 is 198,887 people; Oracle claims give 208,184","the lower of the two. It is incidence times a 28.5-year disease duration, so it includes people already in kidney failure, which eligible_pct removes. ICER's budget impact uses about 40 per 100,000, some 136,400 people; Vertex's own figure for the US and Europe together, about 330,000 (10-K), divided by one plus the ex-US multiple below is 207,248, close to this"
VRTX,Povetacicept,"Glomerulonephritis, IGA",US,base,incidence,,6973,,patients a year,"DeCongelio M et al., Clin Nephrol 2025: 2.1 new IgAN diagnoses per 100,000 a year (Komodo Health), applied to the same 332,031,554","Sim JJ et al., Am J Nephrol 2025;56:172-177 (doi:10.1159/000541869) find 1.4 per 100,000 adults, standardised to the US census, in Kaiser Permanente Southern California, which would give about 4,650"
VRTX,Povetacicept,"Glomerulonephritis, IGA",US,base,eligible_pct,,0.6851,,share of the pool,"two filters on Caster DJ et al., Kidney Int Rep 2023;8:1792-1800 (doi:10.1016/j.ekir.2023.06.016; 4,375 US adults with biopsy-proven IgAN): 80.6% in CKD stages 1 to 4, the share ICER's budget impact keeps, and 85.0% (1,937 of 2,280 with data) with proteinuria of 1 g a day or more, RAINIER's entry threshold (NCT06564142: 1.0 g/day or uPCR 0.75 g/g). 0.806 x 0.85 = 0.685, about 136,300 people","both shares are read at biopsy. Proteinuria falls on supportive care, so the second leans high for a prevalent pool, and a prevalent pool holds more kidney failure than a biopsy cohort, so the first does too. Stage 4 stays in because the Voyxact and Trutakna indications, adults with primary IgAN at risk for disease progression, set no eGFR floor"
